ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
2980;Male;75 years;Standard errors;1994;;0.3;0.4;;;0.3;;;;
2981;Male;75 years;Standard errors;1995;;0.3;0.3;;;0.3;;;;
2982;Male;75 years;Standard errors;1996;;0.3;0.3;;;0.3;;;;
2983;Male;75 years;Standard errors;1997;;0.4;0.3;;;0.3;;;;
2984;Male;75 years;Standard errors;1998;;0.4;0.4;;;0.4;;;;
2985;Male;75 years;Standard errors;1999;;0.4;0.4;;;0.3;;;;
2986;Male;75 years;Standard errors;2000;;0.4;0.3;;;0.3;;;;
2987;Male;75 years;Standard errors;2001;;0.4;0.4;0.4;0.3;0.3;0.4;0.3;;
2988;Male;75 years;Standard errors;2002;;0.4;0.4;0.3;0.3;0.3;0.4;0.2;;
2989;Male;75 years;Standard errors;2003;;0.4;0.4;0.3;0.3;0.3;0.3;0.2;;
2990;Male;75 years;Standard errors;2004;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2991;Male;75 years;Standard errors;2005;;0.4;0.3;0.3;0.3;0.3;0.3;0.2;;
2992;Male;75 years;Standard errors;2006;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
2993;Male;75 years;Standard errors;2007;;0.4;0.4;0.3;0.3;0.3;0.4;0.3;;
2994;Male;75 years;Standard errors;2008;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
2995;Male;75 years;Standard errors;2009;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
2996;Male;75 years;Standard errors;2010;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2997;Male;75 years;Standard errors;2011;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
2998;Male;75 years;Standard errors;2012;;0.3;0.3;0.2;0.3;0.3;0.3;0.2;;
2999;Male;75 years;Standard errors;2013;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;;
3000;Male;75 years;Standard errors;2014;;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.3;0.3
3001;Male;75 years;Standard errors;2015;;0.3;0.3;0.3;0.4;0.2;0.3;0.1;0.3;0.2
3002;Male;75 years;Standard errors;2016;;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.3;0.2
3003;Male;75 years;Standard errors;2017;;0.3;0.3;0.3;0.3;0.2;0.3;0.1;0.3;0.2
3004;Male;75 years;Standard errors;2018;;0.3;0.3;0.2;0.3;0.2;0.3;0.2;0.3;0.2
3005;Male;75 years;Standard errors;2019;;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.3;0.2
3006;Male;75 years;Standard errors;2020;;0.3;0.2;0.2;0.2;0.2;0.2;0.1;0.3;0.2
3007;Male;75 years;Standard errors;2021;;0.3;0.3;0.2;0.3;0.2;0.2;0.2;0.3;0.2
3008;Male;75 years;Standard errors;2022;;0.3;0.2;0.2;0.2;0.2;0.2;0.1;0.3;0.2
3009;Male;75 years;Standard errors;2023;;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2
3010;Male;80 years;Percentage/average;1981;6.69;3.9;;;;0.9;;;;
3011;Male;80 years;Percentage/average;1982;6.69;3.5;;;;0.9;;;;
3012;Male;80 years;Percentage/average;1983;6.6;3.6;2.9;;;1.1;;;;
3013;Male;80 years;Percentage/average;1984;6.61;3.0;2.8;;;1.0;;;;
3014;Male;80 years;Percentage/average;1985;6.52;4.5;3.0;;;1.3;;;;
3015;Male;80 years;Percentage/average;1986;6.53;3.2;3.1;;;1.2;;;;
3016;Male;80 years;Percentage/average;1987;6.69;3.8;3.1;;;1.2;;;;
3017;Male;80 years;Percentage/average;1988;6.66;3.5;2.9;;;1.4;;;;
3018;Male;80 years;Percentage/average;1989;6.49;3.2;3.1;;;1.6;;;;
3019;Male;80 years;Percentage/average;1990;6.56;3.4;2.9;;;1.1;;;;
3020;Male;80 years;Percentage/average;1991;6.58;3.1;3.3;;;1.2;;;;
3021;Male;80 years;Percentage/average;1992;6.67;3.7;3.1;;;1.8;;;;
3022;Male;80 years;Percentage/average;1993;6.38;3.2;2.9;;;1.2;;;;
3023;Male;80 years;Percentage/average;1994;6.66;4.1;3.5;;;1.5;;;;
3024;Male;80 years;Percentage/average;1995;6.59;2.9;2.5;;;1.3;;;;
3025;Male;80 years;Percentage/average;1996;6.58;3.4;4.6;;;1.5;;;;
3026;Male;80 years;Percentage/average;1997;6.71;3.4;3.8;;;1.4;;;;
3027;Male;80 years;Percentage/average;1998;6.69;3.3;3.4;;;1.7;;;;
3028;Male;80 years;Percentage/average;1999;6.71;3.3;4.0;;;1.5;;;;
3029;Male;80 years;Percentage/average;2000;6.74;3.3;3.9;;;1.6;;;;
3030;Male;80 years;Percentage/average;2001;6.87;3.3;3.8;4.4;0.9;1.7;1.8;5.3;;
3031;Male;80 years;Percentage/average;2002;6.84;3.7;3.5;5.1;1.3;1.5;2.0;5.9;;
3032;Male;80 years;Percentage/average;2003;6.86;3.8;4.1;5.0;1.6;1.4;1.9;5.8;;
3033;Male;80 years;Percentage/average;2004;7.19;3.4;3.6;4.6;1.0;1.9;2.0;6.4;;
3034;Male;80 years;Percentage/average;2005;7.2;4.0;4.5;5.4;1.4;1.5;1.8;6.3;;
3035;Male;80 years;Percentage/average;2006;7.38;3.8;4.2;5.6;1.1;1.1;1.7;6.8;;
3036;Male;80 years;Percentage/average;2007;7.53;4.4;4.9;5.6;1.3;1.8;2.0;6.8;;
3037;Male;80 years;Percentage/average;2008;7.64;3.7;3.8;5.7;1.6;1.6;2.0;6.9;;
3038;Male;80 years;Percentage/average;2009;7.78;4.5;4.9;6.4;1.6;0.9;1.2;7.6;;
3039;Male;80 years;Percentage/average;2010;7.9;4.3;4.2;5.7;1.5;1.6;2.3;7.0;;
3040;Male;80 years;Percentage/average;2011;8.03;4.0;5.4;6.8;1.4;1.3;1.7;7.4;;
3041;Male;80 years;Percentage/average;2012;7.95;4.4;5.3;6.5;1.6;1.7;2.0;6.8;;
3042;Male;80 years;Percentage/average;2013;8.07;4.3;4.4;6.0;1.7;1.8;2.1;6.9;;
3043;Male;80 years;Percentage/average;2014;8.32;4.2;4.2;5.2;1.8;1.3;1.9;7.2;2.8;6.1
3044;Male;80 years;Percentage/average;2015;8.17;4.5;4.6;5.9;2.4;1.1;1.7;7.7;3.1;6.4
3045;Male;80 years;Percentage/average;2016;8.22;4.5;4.6;5.9;1.7;1.0;1.5;7.7;3.8;6.9
3046;Male;80 years;Percentage/average;2017;8.31;4.7;4.6;5.9;2.2;1.2;2.0;7.7;3.4;7.3
3047;Male;80 years;Percentage/average;2018;8.37;4.1;4.9;6.2;1.7;1.0;1.6;7.4;3.5;7.2
3048;Male;80 years;Percentage/average;2019;8.49;4.6;4.5;6.3;1.5;1.0;1.7;7.7;3.2;7.2
3049;Male;80 years;Percentage/average;2020;7.98;5.2;5.0;6.0;1.7;0.9;1.7;7.2;3.2;6.8
3050;Male;80 years;Percentage/average;2021;8.1;4.7;5.2;5.9;1.9;1.2;1.6;7.3;2.7;6.8
3051;Male;80 years;Percentage/average;2022;8.37;4.4;5.5;6.5;2.0;1.6;1.8;7.7;3.2;6.9
3052;Male;80 years;Percentage/average;2023;8.47;4.7;4.9;6.3;2.1;1.5;1.9;7.5;3.6;7.3
3053;Male;80 years;Standard errors;1981;;0.4;;;;0.3;;;;
3054;Male;80 years;Standard errors;1982;;0.4;;;;0.3;;;;
3055;Male;80 years;Standard errors;1983;;0.5;0.4;;;0.4;;;;
3056;Male;80 years;Standard errors;1984;;0.3;0.4;;;0.3;;;;
3057;Male;80 years;Standard errors;1985;;0.3;0.4;;;0.3;;;;
3058;Male;80 years;Standard errors;1986;;0.5;0.3;;;0.4;;;;
3059;Male;80 years;Standard errors;1987;;0.4;0.4;;;0.3;;;;
3060;Male;80 years;Standard errors;1988;;0.4;0.4;;;0.3;;;;
3061;Male;80 years;Standard errors;1989;;0.4;0.4;;;0.3;;;;
3062;Male;80 years;Standard errors;1990;;0.4;0.5;;;0.3;;;;
3063;Male;80 years;Standard errors;1991;;0.4;0.4;;;0.3;;;;
3064;Male;80 years;Standard errors;1992;;0.3;0.4;;;0.3;;;;
3065;Male;80 years;Standard errors;1993;;0.4;0.4;;;0.3;;;;
3066;Male;80 years;Standard errors;1994;;0.4;0.4;;;0.4;;;;
3067;Male;80 years;Standard errors;1995;;0.4;0.4;;;0.3;;;;
3068;Male;80 years;Standard errors;1996;;0.4;0.3;;;0.3;;;;
3069;Male;80 years;Standard errors;1997;;0.4;0.4;;;0.3;;;;
3070;Male;80 years;Standard errors;1998;;0.5;0.5;;;0.4;;;;
3071;Male;80 years;Standard errors;1999;;0.5;0.5;;;0.4;;;;
3072;Male;80 years;Standard errors;2000;;0.4;0.4;;;0.3;;;;
3073;Male;80 years;Standard errors;2001;;0.4;0.4;0.4;0.3;0.4;0.4;0.4;;
3074;Male;80 years;Standard errors;2002;;0.4;0.4;0.4;0.3;0.3;0.4;0.3;;
3075;Male;80 years;Standard errors;2003;;0.4;0.4;0.3;0.3;0.3;0.3;0.2;;
3076;Male;80 years;Standard errors;2004;;0.4;0.4;0.3;0.3;0.3;0.3;0.2;;
3077;Male;80 years;Standard errors;2005;;0.4;0.4;0.3;0.3;0.3;0.3;0.2;;
3078;Male;80 years;Standard errors;2006;;0.4;0.4;0.3;0.3;0.3;0.3;0.3;;
3079;Male;80 years;Standard errors;2007;;0.4;0.5;0.4;0.3;0.4;0.4;0.3;;
3080;Male;80 years;Standard errors;2008;;0.4;0.4;0.4;0.4;0.3;0.4;0.3;;
3081;Male;80 years;Standard errors;2009;;0.4;0.4;0.3;0.3;0.2;0.3;0.2;;
3082;Male;80 years;Standard errors;2010;;0.3;0.4;0.3;0.3;0.3;0.3;0.3;;
3083;Male;80 years;Standard errors;2011;;0.3;0.4;0.3;0.3;0.3;0.3;0.2;;
3084;Male;80 years;Standard errors;2012;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;;
3085;Male;80 years;Standard errors;2013;;0.3;0.4;0.3;0.3;0.3;0.3;0.3;;
3086;Male;80 years;Standard errors;2014;;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.3;0.3
3087;Male;80 years;Standard errors;2015;;0.3;0.4;0.3;0.3;0.2;0.3;0.2;0.3;0.3
3088;Male;80 years;Standard errors;2016;;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.3;0.2
3089;Male;80 years;Standard errors;2017;;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.3;0.2
3090;Male;80 years;Standard errors;2018;;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.3;0.2
3091;Male;80 years;Standard errors;2019;;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.3;0.2
3092;Male;80 years;Standard errors;2020;;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.3;0.2
3093;Male;80 years;Standard errors;2021;;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.3;0.2
3094;Male;80 years;Standard errors;2022;;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.3;0.2
3095;Male;80 years;Standard errors;2023;;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.3;0.2
3096;Female;0 year;Percentage/average;1981;79.32;62.4;;;;53.9;;;;
3097;Female;0 year;Percentage/average;1982;79.44;63.1;;;;54.5;;;;
3098;Female;0 year;Percentage/average;1983;79.56;62.8;64.2;;;51.5;;;;
3099;Female;0 year;Percentage/average;1984;79.67;61.4;63.3;;;49.2;;;;
3100;Female;0 year;Percentage/average;1985;79.66;62.9;65.8;;;48.8;;;;
3101;Female;0 year;Percentage/average;1986;79.61;62.5;65.3;;;50.0;;;;
3102;Female;0 year;Percentage/average;1987;80.06;63.5;65.2;;;50.1;;;;
3103;Female;0 year;Percentage/average;1988;80.24;63.6;65.1;;;50.3;;;;
3104;Female;0 year;Percentage/average;1989;79.93;62.3;66.0;;;49.3;;;;
3105;Female;0 year;Percentage/average;1990;80.11;61.9;66.4;;;48.5;;;;
3106;Female;0 year;Percentage/average;1991;80.15;61.9;65.0;;;47.9;;;;
3107;Female;0 year;Percentage/average;1992;80.28;63.3;67.0;;;48.8;;;;
3108;Female;0 year;Percentage/average;1993;80.0;61.1;65.9;;;47.1;;;;
3109;Female;0 year;Percentage/average;1994;80.31;61.4;66.3;;;47.4;;;;
3110;Female;0 year;Percentage/average;1995;80.36;61.9;64.9;;;47.3;;;;
3111;Female;0 year;Percentage/average;1996;80.35;61.7;66.8;;;45.2;;;;
3112;Female;0 year;Percentage/average;1997;80.55;61.2;68.0;;;45.3;;;;
3113;Female;0 year;Percentage/average;1998;80.69;61.6;68.9;;;45.2;;;;
3114;Female;0 year;Percentage/average;1999;80.45;60.4;66.9;;;43.7;;;;
3115;Female;0 year;Percentage/average;2000;80.58;60.9;67.8;;;44.2;;;;
3116;Female;0 year;Percentage/average;2001;80.71;61.6;68.5;72.8;52.4;42.1;45.0;70.0;;
3117;Female;0 year;Percentage/average;2002;80.69;61.9;69.2;73.5;51.7;41.3;44.5;69.9;;
3118;Female;0 year;Percentage/average;2003;80.93;61.6;68.6;72.9;50.0;41.8;44.5;72.4;;
3119;Female;0 year;Percentage/average;2004;81.44;62.0;67.8;72.8;50.6;42.9;45.6;72.0;;
3120;Female;0 year;Percentage/average;2005;81.6;61.8;67.8;72.4;49.7;41.9;45.0;72.0;;
3121;Female;0 year;Percentage/average;2006;81.89;62.9;69.2;73.7;50.6;41.8;45.6;73.0;;
3122;Female;0 year;Percentage/average;2007;82.31;63.4;69.9;74.6;51.5;42.3;45.5;73.8;;
3123;Female;0 year;Percentage/average;2008;82.28;63.5;69.5;73.6;51.1;42.4;45.5;74.3;;
3124;Female;0 year;Percentage/average;2009;82.65;63.8;69.9;74.5;52.0;41.8;45.3;73.6;;
3125;Female;0 year;Percentage/average;2010;82.72;63.0;69.7;74.4;49.6;40.6;43.4;72.7;;
3126;Female;0 year;Percentage/average;2011;82.85;63.3;70.0;74.6;50.1;40.9;43.9;73.4;;
3127;Female;0 year;Percentage/average;2012;82.82;62.6;69.5;74.4;49.7;40.5;43.7;72.6;;
3128;Female;0 year;Percentage/average;2013;83.04;63.5;70.5;75.6;50.5;42.0;45.5;73.5;;
3129;Female;0 year;Percentage/average;2014;83.29;64.0;69.5;73.4;54.5;40.7;43.7;73.3;59.1;77.7
3130;Female;0 year;Percentage/average;2015;83.13;63.2;69.4;73.0;54.8;40.5;43.3;73.6;57.5;76.9
3131;Female;0 year;Percentage/average;2016;83.13;63.3;70.5;74.0;55.5;40.8;43.9;72.5;57.9;77.6
3132;Female;0 year;Percentage/average;2017;83.32;63.8;70.7;74.9;55.9;41.4;44.7;73.7;56.6;77.4
3133;Female;0 year;Percentage/average;2018;83.33;62.7;70.8;75.0;54.3;40.2;43.3;72.3;55.8;77.7
3134;Female;0 year;Percentage/average;2019;83.56;63.2;70.8;74.7;54.0;41.2;43.7;72.7;57.0;78.3
3135;Female;0 year;Percentage/average;2020;83.08;65.8;71.8;75.6;53.2;41.3;43.7;71.9;56.9;78.9
3136;Female;0 year;Percentage/average;2021;82.99;65.1;72.4;76.2;51.3;40.5;43.2;69.0;57.6;79.1
3137;Female;0 year;Percentage/average;2022;83.09;62.3;70.6;74.6;51.8;41.2;43.8;70.6;56.7;77.8
3138;Female;0 year;Percentage/average;2023;83.33;62.4;71.0;75.1;51.5;40.7;43.3;71.4;55.5;77.7
3139;Female;0 year;Standard errors;1981;;;;;;;;;;
3140;Female;0 year;Standard errors;1982;;0.6;;;;0.6;;;;
3141;Female;0 year;Standard errors;1983;;0.7;;;;0.8;;;;
3142;Female;0 year;Standard errors;1984;;0.6;;;;0.6;;;;
3143;Female;0 year;Standard errors;1985;;0.6;;;;0.6;;;;
3144;Female;0 year;Standard errors;1986;;0.8;;;;0.8;;;;
3145;Female;0 year;Standard errors;1987;;0.6;;;;0.6;;;;
3146;Female;0 year;Standard errors;1988;;0.6;;;;0.6;;;;
3147;Female;0 year;Standard errors;1989;;0.6;;;;0.6;;;;
3148;Female;0 year;Standard errors;1990;;0.6;;;;0.7;;;;
3149;Female;0 year;Standard errors;1991;;0.6;;;;0.7;;;;
3150;Female;0 year;Standard errors;1992;;0.6;;;;0.6;;;;
3151;Female;0 year;Standard errors;1993;;0.6;;;;0.6;;;;
3152;Female;0 year;Standard errors;1994;;0.6;;;;0.6;;;;
3153;Female;0 year;Standard errors;1995;;0.6;;;;0.6;;;;
3154;Female;0 year;Standard errors;1996;;0.6;;;;0.6;;;;
3155;Female;0 year;Standard errors;1997;;0.6;;;;0.6;;;;
3156;Female;0 year;Standard errors;1998;;0.7;;;;0.7;;;;
3157;Female;0 year;Standard errors;1999;;0.6;;;;0.7;;;;
3158;Female;0 year;Standard errors;2000;;0.6;;;;0.6;;;;
3159;Female;0 year;Standard errors;2001;;0.6;;;;0.7;0.6;0.5;;
3160;Female;0 year;Standard errors;2002;;0.6;;;;0.6;0.6;0.5;;
3161;Female;0 year;Standard errors;2003;;0.6;;;;0.6;0.6;0.5;;
3162;Female;0 year;Standard errors;2004;;0.6;;;;0.5;0.6;0.4;;
3163;Female;0 year;Standard errors;2005;;0.6;;;;0.6;0.6;0.5;;
3164;Female;0 year;Standard errors;2006;;0.5;;;;0.5;0.6;0.5;;
3165;Female;0 year;Standard errors;2007;;0.5;;;;0.6;0.6;0.5;;
3166;Female;0 year;Standard errors;2008;;0.5;;;;0.6;0.6;0.5;;
3167;Female;0 year;Standard errors;2009;;0.5;;;;0.6;0.6;0.5;;
3168;Female;0 year;Standard errors;2010;;0.4;;;;0.6;0.6;0.5;;
3169;Female;0 year;Standard errors;2011;;0.4;;;;0.6;0.6;0.5;;
3170;Female;0 year;Standard errors;2012;;0.4;;;;0.6;0.6;0.5;;
3171;Female;0 year;Standard errors;2013;;0.4;;;;0.6;0.6;0.5;;
3172;Female;0 year;Standard errors;2014;;0.5;;;;0.5;0.5;0.4;;
3173;Female;0 year;Standard errors;2015;;0.5;;;;0.5;0.5;0.4;;
3174;Female;0 year;Standard errors;2016;;0.5;;;;0.5;0.5;0.4;;
3175;Female;0 year;Standard errors;2017;;0.5;;;;0.5;0.5;0.4;;
3176;Female;0 year;Standard errors;2018;;0.5;;;;0.5;0.5;0.4;;
3177;Female;0 year;Standard errors;2019;;0.5;;;;0.5;0.5;0.4;;
3178;Female;0 year;Standard errors;2020;;0.5;;;;0.5;0.6;0.5;;
3179;Female;0 year;Standard errors;2021;;0.5;;;;0.6;0.6;0.5;;
3180;Female;0 year;Standard errors;2022;;0.5;;;;0.5;0.5;0.4;;
3181;Female;0 year;Standard errors;2023;;0.5;;;;0.5;0.5;0.4;;
3182;Female;1 year;Percentage/average;1981;79.31;61.7;;;;53.3;;;;
3183;Female;1 year;Percentage/average;1982;79.41;62.5;;;;53.8;;;;
3184;Female;1 year;Percentage/average;1983;79.57;62.2;63.6;;;50.9;;;;
3185;Female;1 year;Percentage/average;1984;79.64;60.8;62.6;;;48.5;;;;
3186;Female;1 year;Percentage/average;1985;79.64;62.3;65.2;;;48.2;;;;
3187;Female;1 year;Percentage/average;1986;79.58;61.9;64.7;;;49.3;;;;
3188;Female;1 year;Percentage/average;1987;80.0;62.9;64.5;;;49.4;;;;
3189;Female;1 year;Percentage/average;1988;80.13;62.9;64.4;;;49.6;;;;
3190;Female;1 year;Percentage/average;1989;79.84;61.6;65.3;;;48.7;;;;
3191;Female;1 year;Percentage/average;1990;80.03;61.3;65.8;;;47.7;;;;
3192;Female;1 year;Percentage/average;1991;80.02;61.3;64.3;;;47.1;;;;
3193;Female;1 year;Percentage/average;1992;80.18;62.6;66.4;;;48.0;;;;
3194;Female;1 year;Percentage/average;1993;79.88;60.4;65.2;;;46.4;;;;
3195;Female;1 year;Percentage/average;1994;80.16;60.7;65.6;;;46.6;;;;
3196;Female;1 year;Percentage/average;1995;80.18;61.1;64.2;;;46.5;;;;
3197;Female;1 year;Percentage/average;1996;80.21;61.0;66.1;;;44.5;;;;
3198;Female;1 year;Percentage/average;1997;80.38;60.6;67.3;;;44.7;;;;
3199;Female;1 year;Percentage/average;1998;80.51;60.9;68.2;;;44.4;;;;
3200;Female;1 year;Percentage/average;1999;80.31;59.7;66.2;;;43.0;;;;
3201;Female;1 year;Percentage/average;2000;80.42;60.2;67.0;;;43.5;;;;
3202;Female;1 year;Percentage/average;2001;80.55;60.9;67.7;72.1;51.6;41.4;44.2;69.4;;
3203;Female;1 year;Percentage/average;2002;80.52;61.1;68.5;72.8;50.9;40.5;43.7;69.3;;
3204;Female;1 year;Percentage/average;2003;80.73;60.8;67.9;72.1;49.2;41.1;43.7;71.7;;
3205;Female;1 year;Percentage/average;2004;81.22;61.2;67.1;72.0;49.8;42.1;44.8;71.3;;
3206;Female;1 year;Percentage/average;2005;81.44;61.1;67.1;71.7;48.9;41.2;44.2;71.4;;
3207;Female;1 year;Percentage/average;2006;81.68;62.2;68.5;73.0;49.8;41.0;44.8;72.3;;
3208;Female;1 year;Percentage/average;2007;82.06;62.5;69.1;73.9;50.6;41.5;44.7;73.1;;
3209;Female;1 year;Percentage/average;2008;82.05;62.7;68.7;72.9;50.3;41.6;44.7;73.6;;
3210;Female;1 year;Percentage/average;2009;82.42;63.0;69.1;73.7;51.2;41.0;44.6;72.9;;
3211;Female;1 year;Percentage/average;2010;82.47;62.7;69.4;74.1;49.3;40.3;43.1;72.4;;
3212;Female;1 year;Percentage/average;2011;82.59;63.0;69.7;74.3;49.8;40.6;43.6;73.1;;
3213;Female;1 year;Percentage/average;2012;82.57;62.3;69.2;74.2;49.3;40.2;43.4;72.4;;
3214;Female;1 year;Percentage/average;2013;82.79;63.2;70.2;75.4;50.2;41.7;45.1;73.2;;
3215;Female;1 year;Percentage/average;2014;83.03;63.7;69.2;73.1;54.1;40.3;43.3;73.0;58.8;77.4
3216;Female;1 year;Percentage/average;2015;82.85;62.9;69.1;72.7;54.4;40.1;42.9;73.3;57.1;76.6
3217;Female;1 year;Percentage/average;2016;82.87;63.0;70.2;73.7;55.1;40.4;43.6;72.2;57.5;77.3
3218;Female;1 year;Percentage/average;2017;83.06;63.5;70.4;74.6;55.6;41.0;44.3;73.4;56.2;77.1
3219;Female;1 year;Percentage/average;2018;83.06;62.4;70.5;74.7;53.9;39.8;42.9;72.1;55.5;77.4
3220;Female;1 year;Percentage/average;2019;83.3;62.9;70.5;74.4;53.6;40.8;43.3;72.5;56.6;78.0
3221;Female;1 year;Percentage/average;2020;82.84;65.6;71.5;75.3;52.8;41.0;43.3;71.6;56.6;78.7
3222;Female;1 year;Percentage/average;2021;82.73;64.8;72.1;75.9;50.9;40.2;42.9;68.7;57.3;78.8
3223;Female;1 year;Percentage/average;2022;82.81;62.0;70.2;74.3;51.5;40.8;43.5;70.3;56.4;77.5
3224;Female;1 year;Percentage/average;2023;83.07;62.1;70.7;74.8;51.2;40.3;42.9;71.1;55.1;77.5
3225;Female;1 year;Standard errors;1981;;0.6;;;;0.6;;;;
3226;Female;1 year;Standard errors;1982;;0.6;;;;0.6;;;;
3227;Female;1 year;Standard errors;1983;;0.8;;;;0.8;;;;
3228;Female;1 year;Standard errors;1984;;0.6;;;;0.6;;;;
3229;Female;1 year;Standard errors;1985;;0.6;;;;0.6;;;;
3230;Female;1 year;Standard errors;1986;;0.8;;;;0.8;;;;
3231;Female;1 year;Standard errors;1987;;0.6;;;;0.6;;;;
3232;Female;1 year;Standard errors;1988;;0.6;;;;0.6;;;;
3233;Female;1 year;Standard errors;1989;;0.6;;;;0.6;;;;
3234;Female;1 year;Standard errors;1990;;0.7;;;;0.7;;;;
3235;Female;1 year;Standard errors;1991;;0.6;;;;0.7;;;;
3236;Female;1 year;Standard errors;1992;;0.6;;;;0.6;;;;
3237;Female;1 year;Standard errors;1993;;0.6;;;;0.6;;;;
3238;Female;1 year;Standard errors;1994;;0.6;;;;0.6;;;;
3239;Female;1 year;Standard errors;1995;;0.6;;;;0.6;;;;
3240;Female;1 year;Standard errors;1996;;0.6;;;;0.6;;;;
3241;Female;1 year;Standard errors;1997;;0.6;;;;0.6;;;;
3242;Female;1 year;Standard errors;1998;;0.7;;;;0.7;;;;
3243;Female;1 year;Standard errors;1999;;0.6;;;;0.7;;;;
3244;Female;1 year;Standard errors;2000;;0.6;;;;0.7;;;;
3245;Female;1 year;Standard errors;2001;;0.6;;;;0.7;0.6;0.5;;
3246;Female;1 year;Standard errors;2002;;0.6;;;;0.6;0.6;0.5;;
3247;Female;1 year;Standard errors;2003;;0.6;;;;0.6;0.6;0.5;;
3248;Female;1 year;Standard errors;2004;;0.6;;;;0.5;0.6;0.5;;
3249;Female;1 year;Standard errors;2005;;0.6;;;;0.6;0.6;0.5;;
3250;Female;1 year;Standard errors;2006;;0.5;;;;0.5;0.6;0.5;;
3251;Female;1 year;Standard errors;2007;;0.5;;;;0.6;0.6;0.5;;
3252;Female;1 year;Standard errors;2008;;0.5;;;;0.6;0.6;0.5;;
3253;Female;1 year;Standard errors;2009;;0.5;;;;0.6;0.6;0.5;;
3254;Female;1 year;Standard errors;2010;;0.4;;;;0.6;0.6;0.5;;
3255;Female;1 year;Standard errors;2011;;0.4;;;;0.6;0.6;0.5;;
3256;Female;1 year;Standard errors;2012;;0.4;;;;0.6;0.6;0.5;;
3257;Female;1 year;Standard errors;2013;;0.4;;;;0.6;0.6;0.5;;
3258;Female;1 year;Standard errors;2014;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3259;Female;1 year;Standard errors;2015;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3260;Female;1 year;Standard errors;2016;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3261;Female;1 year;Standard errors;2017;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3262;Female;1 year;Standard errors;2018;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3263;Female;1 year;Standard errors;2019;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3264;Female;1 year;Standard errors;2020;;0.5;;;;0.5;0.6;0.5;0.5;0.3
3265;Female;1 year;Standard errors;2021;;0.5;;;;0.6;0.6;0.5;0.5;0.3
3266;Female;1 year;Standard errors;2022;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3267;Female;1 year;Standard errors;2023;;0.5;;;;0.5;0.5;0.4;0.5;0.3
3268;Female;5 years;Percentage/average;1981;75.54;58.2;;;;49.6;;;;
3269;Female;5 years;Percentage/average;1982;75.65;59.0;;;;50.1;;;;
3270;Female;5 years;Percentage/average;1983;75.79;58.6;59.8;;;47.1;;;;
3271;Female;5 years;Percentage/average;1984;75.85;57.2;58.8;;;44.8;;;;
3272;Female;5 years;Percentage/average;1985;75.84;58.8;61.3;;;44.5;;;;
3273;Female;5 years;Percentage/average;1986;75.79;58.5;60.8;;;45.7;;;;
3274;Female;5 years;Percentage/average;1987;76.2;59.2;60.7;;;45.8;;;;
3275;Female;5 years;Percentage/average;1988;76.28;59.4;60.5;;;45.9;;;;
3276;Female;5 years;Percentage/average;1989;76.0;58.0;61.5;;;45.1;;;;
3277;Female;5 years;Percentage/average;1990;76.22;57.8;61.9;;;44.1;;;;
3278;Female;5 years;Percentage/average;1991;76.17;57.6;60.4;;;43.4;;;;
3279;Female;5 years;Percentage/average;1992;76.33;59.1;62.5;;;44.4;;;;
3280;Female;5 years;Percentage/average;1993;76.01;57.0;61.3;;;42.7;;;;
3281;Female;5 years;Percentage/average;1994;76.28;57.1;61.7;;;42.9;;;;
