ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
5660;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: middle;2014;740.0;512.0
5661;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: middle;2015;761.0;519.0
5662;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: middle;2016;789.0;542.0
5663;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: high (among highest 20 percent);2010;;
5664;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: high (among highest 20 percent);2011;;
5665;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: high (among highest 20 percent);2012;;
5666;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: high (among highest 20 percent);2013;138.0;125.0
5667;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: high (among highest 20 percent);2014;141.0;126.0
5668;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: high (among highest 20 percent);2015;145.0;130.0
5669;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Wage: high (among highest 20 percent);2016;141.0;131.0
5670;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Dutch;2010;;
5671;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Dutch;2011;;
5672;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Dutch;2012;;
5673;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Dutch;2013;958.0;641.0
5674;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Dutch;2014;963.0;637.0
5675;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Dutch;2015;975.0;642.0
5676;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Dutch;2016;989.0;658.0
5677;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Belgian;2010;;
5678;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Belgian;2011;;
5679;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Belgian;2012;;
5680;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Belgian;2013;;
5681;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Belgian;2014;;
5682;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Belgian;2015;;
5683;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Belgian;2016;;
5684;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: British;2010;;
5685;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: British;2011;;
5686;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: British;2012;;
5687;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: British;2013;;
5688;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: British;2014;;
5689;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: British;2015;;
5690;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: British;2016;;
5691;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: German;2010;;
5692;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: German;2011;;
5693;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: German;2012;;
5694;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: German;2013;;
5695;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: German;2014;;
5696;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: German;2015;;
5697;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: German;2016;;
5698;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Polish;2010;;
5699;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Polish;2011;;
5700;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Polish;2012;;
5701;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Polish;2013;;
5702;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Polish;2014;;
5703;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Polish;2015;;
5704;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Polish;2016;;
5705;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Indian;2010;;
5706;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Indian;2011;;
5707;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Indian;2012;;
5708;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Indian;2013;;
5709;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Indian;2014;;
5710;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Indian;2015;;
5711;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: Indian;2016;;
5712;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: other;2010;;
5713;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: other;2011;;
5714;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: other;2012;;
5715;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: other;2013;;
5716;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: other;2014;;
5717;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: other;2015;;
5718;Total domestic and foreign;G-I Trade, transport, hotels, catering;200 Intermediate education;Nationality: other;2016;;
5719;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Total ;2010;;
5720;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Total ;2011;;
5721;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Total ;2012;;
5722;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Total ;2013;287.0;194.0
5723;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Total ;2014;292.0;194.0
5724;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Total ;2015;299.0;199.0
5725;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Total ;2016;298.0;200.0
5726;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: specified time;2010;;
5727;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: specified time;2011;;
5728;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: specified time;2012;;
5729;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: specified time;2013;84.0;45.0
5730;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: specified time;2014;90.0;48.0
5731;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: specified time;2015;98.0;52.0
5732;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: specified time;2016;98.0;53.0
5733;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: unspecified time;2010;;
5734;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: unspecified time;2011;;
5735;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: unspecified time;2012;;
5736;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: unspecified time;2013;197.0;147.0
5737;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: unspecified time;2014;196.0;146.0
5738;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: unspecified time;2015;200.0;150.0
5739;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: unspecified time;2016;201.0;153.0
5740;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: other;2010;;
5741;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: other;2011;;
5742;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: other;2012;;
5743;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: other;2013;15.0;13.0
5744;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: other;2014;15.0;13.0
5745;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: other;2015;12.0;11.0
5746;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Type of contract: other;2016;13.0;11.0
5747;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Male;2010;;
5748;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Male;2011;;
5749;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Male;2012;;
5750;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Male;2013;173.0;133.0
5751;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Male;2014;172.0;132.0
5752;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Male;2015;175.0;133.0
5753;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Male;2016;172.0;132.0
5754;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Female;2010;;
5755;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Female;2011;;
5756;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Female;2012;;
5757;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Female;2013;115.0;63.0
5758;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Female;2014;120.0;65.0
5759;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Female;2015;125.0;67.0
5760;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Sex: Female;2016;127.0;70.0
5761;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Age: 15 to 34 years;2010;;
5762;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Age: 15 to 34 years;2011;;
5763;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Age: 15 to 34 years;2012;;
5764;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Age: 15 to 34 years;2013;128.0;71.0
5765;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Age: 15 to 34 years;2014;131.0;72.0
5766;Total domestic and foreign;G-I Trade, transport, hotels, catering;300 Higher education;Age: 15 to 34 years;2015;136.0;74.0
