ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
4426;Total health related expenditure;HP71: Government health administration;1999;0
4427;Total health related expenditure;HP71: Government health administration;2000;0
4428;Total health related expenditure;HP71: Government health administration;2001;0
4429;Total health related expenditure;HP71: Government health administration;2002;0
4430;Total health related expenditure;HP71: Government health administration;2003;0
4431;Total health related expenditure;HP71: Government health administration;2004;0
4432;Total health related expenditure;HP71: Government health administration;2005;0
4433;Total health related expenditure;HP71: Government health administration;2006;0
4434;Total health related expenditure;HP71: Government health administration;2007;0
4435;Total health related expenditure;HP71: Government health administration;2008;0
4436;Total health related expenditure;HP71: Government health administration;2009;0
4437;Total health related expenditure;HP71: Government health administration;2010;0
4438;Total health related expenditure;HP71: Government health administration;2011;0
4439;Total health related expenditure;HP71: Government health administration;2012;0
4440;Total health related expenditure;HP71: Government health administration;2013;0
4441;Total health related expenditure;HP71: Government health administration;2014;0
4442;Total health related expenditure;HP71: Government health administration;2015;0
4443;Total health related expenditure;HP71: Government health administration;2016;0
4444;Total health related expenditure;HP71: Government health administration;2017;0
4445;Total health related expenditure;HP71: Government health administration;2018;0
4446;Total health related expenditure;HP71: Government health administration;2019;0
4447;Total health related expenditure;HP71: Government health administration;2020;0
4448;Total health related expenditure;HP71: Government health administration;2021;0
4449;Total health related expenditure;HP71: Government health administration;2022;0
4450;Total health related expenditure;HP72: Social health insurance agencies;1998;0
4451;Total health related expenditure;HP72: Social health insurance agencies;1999;0
4452;Total health related expenditure;HP72: Social health insurance agencies;2000;0
4453;Total health related expenditure;HP72: Social health insurance agencies;2001;0
4454;Total health related expenditure;HP72: Social health insurance agencies;2002;0
4455;Total health related expenditure;HP72: Social health insurance agencies;2003;0
4456;Total health related expenditure;HP72: Social health insurance agencies;2004;0
4457;Total health related expenditure;HP72: Social health insurance agencies;2005;0
4458;Total health related expenditure;HP72: Social health insurance agencies;2006;0
4459;Total health related expenditure;HP72: Social health insurance agencies;2007;0
4460;Total health related expenditure;HP72: Social health insurance agencies;2008;0
4461;Total health related expenditure;HP72: Social health insurance agencies;2009;0
4462;Total health related expenditure;HP72: Social health insurance agencies;2010;0
4463;Total health related expenditure;HP72: Social health insurance agencies;2011;0
4464;Total health related expenditure;HP72: Social health insurance agencies;2012;0
4465;Total health related expenditure;HP72: Social health insurance agencies;2013;0
4466;Total health related expenditure;HP72: Social health insurance agencies;2014;0
4467;Total health related expenditure;HP72: Social health insurance agencies;2015;0
4468;Total health related expenditure;HP72: Social health insurance agencies;2016;0
4469;Total health related expenditure;HP72: Social health insurance agencies;2017;0
4470;Total health related expenditure;HP72: Social health insurance agencies;2018;0
4471;Total health related expenditure;HP72: Social health insurance agencies;2019;0
4472;Total health related expenditure;HP72: Social health insurance agencies;2020;0
4473;Total health related expenditure;HP72: Social health insurance agencies;2021;0
4474;Total health related expenditure;HP72: Social health insurance agencies;2022;0
4475;Total health related expenditure;HP73: Providers of health insurance;1998;0
4476;Total health related expenditure;HP73: Providers of health insurance;1999;0
4477;Total health related expenditure;HP73: Providers of health insurance;2000;0
4478;Total health related expenditure;HP73: Providers of health insurance;2001;0
4479;Total health related expenditure;HP73: Providers of health insurance;2002;0
4480;Total health related expenditure;HP73: Providers of health insurance;2003;0
4481;Total health related expenditure;HP73: Providers of health insurance;2004;0
4482;Total health related expenditure;HP73: Providers of health insurance;2005;0
4483;Total health related expenditure;HP73: Providers of health insurance;2006;0
4484;Total health related expenditure;HP73: Providers of health insurance;2007;0
4485;Total health related expenditure;HP73: Providers of health insurance;2008;0
4486;Total health related expenditure;HP73: Providers of health insurance;2009;0
4487;Total health related expenditure;HP73: Providers of health insurance;2010;0
4488;Total health related expenditure;HP73: Providers of health insurance;2011;0
4489;Total health related expenditure;HP73: Providers of health insurance;2012;0
4490;Total health related expenditure;HP73: Providers of health insurance;2013;0
4491;Total health related expenditure;HP73: Providers of health insurance;2014;0
4492;Total health related expenditure;HP73: Providers of health insurance;2015;0
4493;Total health related expenditure;HP73: Providers of health insurance;2016;0
4494;Total health related expenditure;HP73: Providers of health insurance;2017;0
4495;Total health related expenditure;HP73: Providers of health insurance;2018;0
4496;Total health related expenditure;HP73: Providers of health insurance;2019;0
4497;Total health related expenditure;HP73: Providers of health insurance;2020;0
4498;Total health related expenditure;HP73: Providers of health insurance;2021;0
4499;Total health related expenditure;HP73: Providers of health insurance;2022;0
4500;Total health related expenditure;HP79: Other administration agencies;1998;0
4501;Total health related expenditure;HP79: Other administration agencies;1999;0
4502;Total health related expenditure;HP79: Other administration agencies;2000;0
4503;Total health related expenditure;HP79: Other administration agencies;2001;0
4504;Total health related expenditure;HP79: Other administration agencies;2002;0
4505;Total health related expenditure;HP79: Other administration agencies;2003;0
4506;Total health related expenditure;HP79: Other administration agencies;2004;0
4507;Total health related expenditure;HP79: Other administration agencies;2005;0
4508;Total health related expenditure;HP79: Other administration agencies;2006;0
4509;Total health related expenditure;HP79: Other administration agencies;2007;0
4510;Total health related expenditure;HP79: Other administration agencies;2008;0
4511;Total health related expenditure;HP79: Other administration agencies;2009;0
4512;Total health related expenditure;HP79: Other administration agencies;2010;0
4513;Total health related expenditure;HP79: Other administration agencies;2011;0
4514;Total health related expenditure;HP79: Other administration agencies;2012;0
4515;Total health related expenditure;HP79: Other administration agencies;2013;0
4516;Total health related expenditure;HP79: Other administration agencies;2014;0
4517;Total health related expenditure;HP79: Other administration agencies;2015;0
4518;Total health related expenditure;HP79: Other administration agencies;2016;0
4519;Total health related expenditure;HP79: Other administration agencies;2017;0
4520;Total health related expenditure;HP79: Other administration agencies;2018;0
4521;Total health related expenditure;HP79: Other administration agencies;2019;0
4522;Total health related expenditure;HP79: Other administration agencies;2020;0
4523;Total health related expenditure;HP79: Other administration agencies;2021;0
4524;Total health related expenditure;HP79: Other administration agencies;2022;0
4525;Total health related expenditure;HP8: Rest of economy;1998;175
4526;Total health related expenditure;HP8: Rest of economy;1999;202
4527;Total health related expenditure;HP8: Rest of economy;2000;242
4528;Total health related expenditure;HP8: Rest of economy;2001;359
4529;Total health related expenditure;HP8: Rest of economy;2002;536
4530;Total health related expenditure;HP8: Rest of economy;2003;632
4531;Total health related expenditure;HP8: Rest of economy;2004;720
4532;Total health related expenditure;HP8: Rest of economy;2005;847
4533;Total health related expenditure;HP8: Rest of economy;2006;1119
4534;Total health related expenditure;HP8: Rest of economy;2007;1332
4535;Total health related expenditure;HP8: Rest of economy;2008;1612
4536;Total health related expenditure;HP8: Rest of economy;2009;1853
4537;Total health related expenditure;HP8: Rest of economy;2010;2193
4538;Total health related expenditure;HP8: Rest of economy;2011;2325
4539;Total health related expenditure;HP8: Rest of economy;2012;2529
4540;Total health related expenditure;HP8: Rest of economy;2013;2557
4541;Total health related expenditure;HP8: Rest of economy;2014;2683
4542;Total health related expenditure;HP8: Rest of economy;2015;3039
4543;Total health related expenditure;HP8: Rest of economy;2016;2873
4544;Total health related expenditure;HP8: Rest of economy;2017;3012
4545;Total health related expenditure;HP8: Rest of economy;2018;3213
4546;Total health related expenditure;HP8: Rest of economy;2019;3381
4547;Total health related expenditure;HP8: Rest of economy;2020;3713
4548;Total health related expenditure;HP8: Rest of economy;2021;3988
4549;Total health related expenditure;HP8: Rest of economy;2022;4140
4550;Total health related expenditure;HP81: Households prov. home health care;1998;66
4551;Total health related expenditure;HP81: Households prov. home health care;1999;73
