ID;Population;GiftCharacteristics;DonorCharacteristics;RecipientCharacteristics;Periods;NumberOfGifts_1;TotalGrossValueOfGifts_2;MeanGrossValueOfGifts_3;MedianGrossValueOfGifts_4;TotalAmountOfTaxDue_5;MeanAmountOfTaxDue_6;MedianAmountOfTaxDue_7;TotalNetValueOfGifts_8;MeanNetValueOfGifts_9;MedianNetValueOfGifts_10
6361;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2016;0.0;;;;;;;;;
6362;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2017;0.1;;;;;;;;;
6363;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2018;0.0;;;;;;;;;
6364;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2019;0.0;;;;;;;;;
6365;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2020;0.0;;;;;;;;;
6366;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2021;0.0;;;;;;;;;
6367;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: 5th 20%-group;2022;0.1;;;;;;;;;
6368;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2007;0.0;;;;;;;;;
6369;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2008;0.0;;;;;;;;;
6370;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2009;0.0;;;;;;;;;
6371;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2010;0.0;;;;;;;;;
6372;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2011;0.0;;;;;;;;;
6373;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2012;0.0;;;;;;;;;
6374;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2013;0.0;;;;;;;;;
6375;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2014;0.0;;;;;;;;;
6376;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2015;0.0;;;;;;;;;
6377;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2016;0.0;;;;;;;;;
6378;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2017;0.0;;;;;;;;;
6379;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2018;0.0;;;;;;;;;
6380;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2019;0.0;;;;;;;;;
6381;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2020;0.0;;;;;;;;;
6382;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2021;0.0;;;;;;;;;
6383;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: income unknown;2022;0.0;;;;;;;;;
6384;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2007;0.0;;;;;;;;;
6385;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2008;0.0;;;;;;;;;
6386;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2009;0.0;;;;;;;;;
6387;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2010;0.0;;;;;;;;;
6388;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2011;0.0;;;;;;;;;
6389;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2012;0.0;;;;;;;;;
6390;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2013;0.0;;;;;;;;;
6391;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2014;0.0;;;;;;;;;
6392;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2015;0.0;;;;;;;;;
6393;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2016;0.0;;;;;;;;;
6394;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2017;0.0;;;;;;;;;
6395;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2018;0.0;;;;;;;;;
6396;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2019;0.0;;;;;;;;;
6397;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2020;0.0;;;;;;;;;
6398;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2021;0.0;;;;;;;;;
6399;All gifts;No tax due on the gift;Wealth: 1st 20%-group;Wealth: unknown;2022;0.0;;;;;;;;;
6400;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2007;0.1;;;;;;;;;
6401;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2008;0.1;;;;;;;;;
6402;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2009;0.1;;;;;;;;;
6403;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2010;0.1;;;;;;;;;
6404;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2011;0.1;;;;;;;;;
6405;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2012;0.1;;;;;;;;;
6406;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2013;0.1;6.4;56.9;24.5;0.0;0.0;0.0;6.4;56.9;24.5
6407;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2014;0.3;10.5;36.0;25.0;0.0;0.0;0.0;10.5;36.0;25.0
6408;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2015;0.1;;;;;;;;;
6409;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2016;0.1;2.6;24.5;20.0;0.0;0.0;0.0;2.6;24.5;20.0
6410;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2017;0.1;4.9;34.3;20.0;0.0;0.0;0.0;4.9;34.3;20.0
6411;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2018;0.2;5.1;25.9;20.0;0.0;0.0;0.0;5.1;25.9;20.0
6412;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2019;0.3;11.8;43.8;16.6;0.0;0.0;0.0;11.8;43.8;16.6
6413;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2020;0.3;11.4;34.6;18.5;0.0;0.0;0.0;11.4;34.6;18.5
6414;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2021;0.4;9.5;23.2;20.0;0.0;0.0;0.0;9.5;23.2;20.0
6415;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;All recipients;2022;0.6;17.3;27.8;20.0;0.0;0.0;0.0;17.3;27.8;20.0
6416;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2007;0.1;;;;;;;;;
6417;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2008;0.0;;;;;;;;;
6418;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2009;0.0;;;;;;;;;
6419;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2010;0.0;;;;;;;;;
6420;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2011;0.0;;;;;;;;;
6421;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2012;0.0;;;;;;;;;
6422;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2013;0.1;;;;;;;;;
6423;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2014;0.2;6.3;38.8;25.0;0.0;0.0;0.0;6.3;38.8;25.0
6424;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2015;0.1;;;;;;;;;
6425;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2016;0.1;;;;;;;;;
6426;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2017;0.1;;;;;;;;;
6427;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2018;0.1;2.8;26.5;20.0;0.0;0.0;0.0;2.8;26.5;20.0
6428;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2019;0.1;9.1;62.0;17.3;0.0;0.0;0.0;9.1;62.0;17.3
6429;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2020;0.2;7.7;43.5;18.7;0.0;0.0;0.0;7.7;43.5;18.7
6430;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2021;0.2;4.5;21.6;19.0;0.0;0.0;0.0;4.5;21.6;19.0
6431;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: man;2022;0.3;10.3;31.1;20.0;0.0;0.0;0.0;10.3;31.1;20.0
6432;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2007;0.0;;;;;;;;;
6433;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2008;0.1;;;;;;;;;
6434;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2009;0.0;;;;;;;;;
6435;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2010;0.0;;;;;;;;;
6436;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2011;0.0;;;;;;;;;
6437;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2012;0.0;;;;;;;;;
6438;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2013;0.0;;;;;;;;;
6439;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2014;0.1;4.1;32.2;25.0;0.0;0.0;0.0;4.1;32.2;25.0
6440;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2015;0.0;;;;;;;;;
6441;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2016;0.0;;;;;;;;;
6442;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2017;0.0;;;;;;;;;
6443;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2018;0.1;;;;;;;;;
6444;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2019;0.1;2.7;22.7;16.5;0.0;0.0;0.0;2.7;22.7;16.5
6445;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2020;0.1;3.6;25.1;19.0;0.0;0.0;0.0;3.6;25.1;19.0
6446;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2021;0.2;4.9;25.5;20.0;0.0;0.0;0.0;4.9;25.5;20.0
6447;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: woman;2022;0.3;7.0;24.4;20.0;0.0;0.0;0.0;7.0;24.4;20.0
6448;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2007;0.0;;;;;;;;;
6449;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2008;0.0;;;;;;;;;
6450;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2009;0.0;;;;;;;;;
6451;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2010;0.0;;;;;;;;;
6452;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2011;0.0;;;;;;;;;
6453;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2012;0.0;;;;;;;;;
6454;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2013;0.0;;;;;;;;;
6455;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2014;0.0;;;;;;;;;
6456;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2015;0.0;;;;;;;;;
6457;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2016;0.0;;;;;;;;;
6458;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2017;0.0;;;;;;;;;
6459;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2018;0.0;;;;;;;;;
6460;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2019;0.0;;;;;;;;;
6461;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2020;0.0;;;;;;;;;
6462;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2021;0.0;;;;;;;;;
6463;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Sex: unknown;2022;0.0;;;;;;;;;
6464;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2007;0.0;;;;;;;;;
6465;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2008;0.0;;;;;;;;;
6466;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2009;0.0;;;;;;;;;
6467;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2010;0.0;;;;;;;;;
6468;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2011;0.0;;;;;;;;;
6469;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2012;0.0;;;;;;;;;
6470;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2013;0.0;;;;;;;;;
6471;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2014;0.0;;;;;;;;;
6472;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2015;0.0;;;;;;;;;
6473;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2016;0.0;;;;;;;;;
6474;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2017;0.0;;;;;;;;;
6475;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2018;0.0;;;;;;;;;
6476;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2019;0.0;;;;;;;;;
6477;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2020;0.1;;;;;;;;;
6478;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2021;0.1;;;;;;;;;
6479;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 0 to 24 years;2022;0.1;3.4;30.0;22.9;0.0;0.0;0.0;3.4;30.0;22.9
6480;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2007;0.1;;;;;;;;;
6481;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2008;0.1;;;;;;;;;
6482;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2009;0.0;;;;;;;;;
6483;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2010;0.1;;;;;;;;;
6484;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2011;0.1;;;;;;;;;
6485;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2012;0.0;;;;;;;;;
6486;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2013;0.1;;;;;;;;;
6487;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2014;0.1;4.4;31.3;25.0;0.0;0.0;0.0;4.4;31.3;25.0
6488;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2015;0.1;;;;;;;;;
6489;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2016;0.1;;;;;;;;;
6490;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2017;0.1;3.0;29.2;21.8;0.0;0.0;0.0;3.0;29.2;21.8
6491;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2018;0.1;4.1;29.9;24.0;0.0;0.0;0.0;4.1;29.9;24.0
6492;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2019;0.2;9.6;50.4;20.0;0.0;0.0;0.0;9.6;50.4;20.0
6493;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2020;0.2;7.3;32.0;20.0;0.0;0.0;0.0;7.3;32.0;20.0
6494;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2021;0.3;7.9;26.5;20.3;0.0;0.0;0.0;7.9;26.5;20.3
6495;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 25 to 44 years;2022;0.4;12.8;29.2;20.0;0.0;0.0;0.0;12.8;29.2;20.0
6496;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2007;0.0;;;;;;;;;
6497;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2008;0.0;;;;;;;;;
6498;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2009;0.0;;;;;;;;;
6499;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2010;0.0;;;;;;;;;
6500;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2011;0.0;;;;;;;;;
6501;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2012;0.0;;;;;;;;;
6502;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2013;0.0;;;;;;;;;
6503;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2014;0.1;4.9;44.3;34.5;0.0;0.0;0.0;4.9;44.3;34.5
6504;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2015;0.0;;;;;;;;;
6505;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2016;0.0;;;;;;;;;
6506;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2017;0.0;;;;;;;;;
6507;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2018;0.0;;;;;;;;;
6508;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2019;0.0;;;;;;;;;
6509;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2020;0.0;;;;;;;;;
6510;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2021;0.0;;;;;;;;;
6511;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 45 to 64 years;2022;0.1;;;;;;;;;
6512;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2007;0.0;;;;;;;;;
6513;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2008;0.0;;;;;;;;;
6514;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2009;0.0;;;;;;;;;
6515;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2010;0.0;;;;;;;;;
6516;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2011;0.0;;;;;;;;;
6517;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2012;0.0;;;;;;;;;
6518;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2013;0.0;;;;;;;;;
6519;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2014;0.0;;;;;;;;;
6520;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2015;0.0;;;;;;;;;
6521;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2016;0.0;;;;;;;;;
6522;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2017;0.0;;;;;;;;;
6523;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2018;0.0;;;;;;;;;
6524;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2019;0.0;;;;;;;;;
6525;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2020;0.0;;;;;;;;;
6526;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2021;0.0;;;;;;;;;
6527;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: 65 years or older;2022;0.0;;;;;;;;;
6528;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2007;0.0;;;;;;;;;
6529;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2008;0.0;;;;;;;;;
6530;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2009;0.0;;;;;;;;;
6531;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2010;0.0;;;;;;;;;
6532;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2011;0.0;;;;;;;;;
6533;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2012;0.0;;;;;;;;;
6534;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2013;0.0;;;;;;;;;
6535;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2014;0.0;;;;;;;;;
6536;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2015;0.0;;;;;;;;;
6537;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2016;0.0;;;;;;;;;
6538;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2017;0.0;;;;;;;;;
6539;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2018;0.0;;;;;;;;;
6540;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2019;0.0;;;;;;;;;
6541;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2020;0.0;;;;;;;;;
6542;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2021;0.0;;;;;;;;;
6543;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Age: unknown;2022;0.0;;;;;;;;;
6544;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2007;0.1;;;;;;;;;
6545;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2008;0.1;;;;;;;;;
6546;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2009;0.1;;;;;;;;;
6547;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2010;0.0;;;;;;;;;
6548;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2011;0.1;;;;;;;;;
6549;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2012;0.0;;;;;;;;;
6550;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2013;0.1;;;;;;;;;
6551;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2014;0.2;8.5;38.2;25.0;0.0;0.0;0.0;8.5;38.2;25.0
6552;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2015;0.1;;;;;;;;;
6553;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2016;0.1;;;;;;;;;
6554;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2017;0.1;;;;;;;;;
6555;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2018;0.1;3.2;27.9;25.0;0.0;0.0;0.0;3.2;27.9;25.0
6556;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2019;0.1;4.4;31.9;20.0;0.0;0.0;0.0;4.4;31.9;20.0
6557;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2020;0.2;8.2;46.0;20.0;0.0;0.0;0.0;8.2;46.0;20.0
6558;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2021;0.2;5.2;24.6;20.0;0.0;0.0;0.0;5.2;24.6;20.0
6559;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: owner-occupied home;2022;0.3;9.9;28.4;20.0;0.0;0.0;0.0;9.9;28.4;20.0
6560;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2007;0.0;;;;;;;;;
6561;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2008;0.0;;;;;;;;;
6562;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2009;0.0;;;;;;;;;
6563;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2010;0.0;;;;;;;;;
6564;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2011;0.0;;;;;;;;;
6565;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2012;0.0;;;;;;;;;
6566;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2013;0.0;;;;;;;;;
6567;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2014;0.1;;;;;;;;;
6568;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2015;0.0;;;;;;;;;
6569;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2016;0.0;;;;;;;;;
6570;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2017;0.1;;;;;;;;;
6571;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2018;0.1;;;;;;;;;
6572;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2019;0.1;7.4;58.0;15.0;0.0;0.0;0.0;7.4;58.0;15.0
6573;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2020;0.1;3.1;21.8;14.8;0.0;0.0;0.0;3.1;21.8;14.8
6574;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2021;0.2;4.1;22.1;19.0;0.0;0.0;0.0;4.1;22.1;19.0
6575;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: rent;2022;0.3;7.3;27.5;20.0;0.0;0.0;0.0;7.3;27.5;20.0
6576;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: institutional;2007;0.0;;;;;;;;;
6577;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: institutional;2008;0.0;;;;;;;;;
6578;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: institutional;2009;0.0;;;;;;;;;
6579;All gifts;No tax due on the gift;Wealth: 2nd 20%-group;Home ownership: institutional;2010;0.0;;;;;;;;;
