ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
2855;Train;Population: 12 years or older;Value;Zuid-Holland (PV);2023;4.2
2856;Train;Population: 12 years or older;Value;Zeeland (PV);2018;
2857;Train;Population: 12 years or older;Value;Zeeland (PV);2019;
2858;Train;Population: 12 years or older;Value;Zeeland (PV);2020;
2859;Train;Population: 12 years or older;Value;Zeeland (PV);2021;
2860;Train;Population: 12 years or older;Value;Zeeland (PV);2022;
2861;Train;Population: 12 years or older;Value;Zeeland (PV);2023;
2862;Train;Population: 12 years or older;Value;Noord-Brabant (PV);2018;2.8
2863;Train;Population: 12 years or older;Value;Noord-Brabant (PV);2019;3.0
2864;Train;Population: 12 years or older;Value;Noord-Brabant (PV);2020;1.1
2865;Train;Population: 12 years or older;Value;Noord-Brabant (PV);2021;1.0
2866;Train;Population: 12 years or older;Value;Noord-Brabant (PV);2022;1.6
2867;Train;Population: 12 years or older;Value;Noord-Brabant (PV);2023;2.7
2868;Train;Population: 12 years or older;Value;Limburg (PV);2018;1.4
2869;Train;Population: 12 years or older;Value;Limburg (PV);2019;1.2
2870;Train;Population: 12 years or older;Value;Limburg (PV);2020;0.6
2871;Train;Population: 12 years or older;Value;Limburg (PV);2021;0.6
2872;Train;Population: 12 years or older;Value;Limburg (PV);2022;1.2
2873;Train;Population: 12 years or older;Value;Limburg (PV);2023;1.2
2874;Train;Population: 12 years or older;Value;Extremely urbanised;2018;8.7
2875;Train;Population: 12 years or older;Value;Extremely urbanised;2019;9.4
2876;Train;Population: 12 years or older;Value;Extremely urbanised;2020;3.5
2877;Train;Population: 12 years or older;Value;Extremely urbanised;2021;4.5
2878;Train;Population: 12 years or older;Value;Extremely urbanised;2022;5.6
2879;Train;Population: 12 years or older;Value;Extremely urbanised;2023;7.5
2880;Train;Population: 12 years or older;Value;Strongly urbanised;2018;7.0
2881;Train;Population: 12 years or older;Value;Strongly urbanised;2019;7.9
2882;Train;Population: 12 years or older;Value;Strongly urbanised;2020;3.3
2883;Train;Population: 12 years or older;Value;Strongly urbanised;2021;3.1
2884;Train;Population: 12 years or older;Value;Strongly urbanised;2022;5.3
2885;Train;Population: 12 years or older;Value;Strongly urbanised;2023;7.0
2886;Train;Population: 12 years or older;Value;Moderately urbanised;2018;3.2
2887;Train;Population: 12 years or older;Value;Moderately urbanised;2019;2.9
2888;Train;Population: 12 years or older;Value;Moderately urbanised;2020;1.1
2889;Train;Population: 12 years or older;Value;Moderately urbanised;2021;1.0
2890;Train;Population: 12 years or older;Value;Moderately urbanised;2022;1.8
2891;Train;Population: 12 years or older;Value;Moderately urbanised;2023;2.4
2892;Train;Population: 12 years or older;Value;Hardly urbanised;2018;2.8
2893;Train;Population: 12 years or older;Value;Hardly urbanised;2019;2.8
2894;Train;Population: 12 years or older;Value;Hardly urbanised;2020;1.2
2895;Train;Population: 12 years or older;Value;Hardly urbanised;2021;1.2
2896;Train;Population: 12 years or older;Value;Hardly urbanised;2022;2.1
2897;Train;Population: 12 years or older;Value;Hardly urbanised;2023;2.3
2898;Train;Population: 12 years or older;Value;Not urbanised;2018;0.9
2899;Train;Population: 12 years or older;Value;Not urbanised;2019;1.0
2900;Train;Population: 12 years or older;Value;Not urbanised;2020;
2901;Train;Population: 12 years or older;Value;Not urbanised;2021;
2902;Train;Population: 12 years or older;Value;Not urbanised;2022;0.7
2903;Train;Population: 12 years or older;Value;Not urbanised;2023;0.6
2904;Train;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2018;21.3
2905;Train;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2019;22.5
2906;Train;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2020;8.7
2907;Train;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2021;9.4
2908;Train;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2022;14.5
2909;Train;Population: 12 years or older;Lower bound 95% confidence interval;The Netherlands;2023;18.6
2910;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;1.6
2911;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;1.5
2912;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;0.5
2913;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;0.8
2914;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;1.2
2915;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;1.2
2916;Train;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;4.0
2917;Train;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;4.6
2918;Train;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;1.8
2919;Train;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;1.7
2920;Train;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;3.3
2921;Train;Population: 12 years or older;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;3.6
2922;Train;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2018;10.8
2923;Train;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2019;11.4
2924;Train;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2020;4.3
2925;Train;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2021;4.9
2926;Train;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2022;6.7
2927;Train;Population: 12 years or older;Lower bound 95% confidence interval;West-Nederland (LD);2023;9.3
2928;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;3.6
2929;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;3.6
2930;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;1.3
2931;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;1.2
2932;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;2.2
2933;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;3.3
2934;Train;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2018;0.6
2935;Train;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2019;0.7
2936;Train;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2020;
2937;Train;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2021;0.4
2938;Train;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2022;0.4
2939;Train;Population: 12 years or older;Lower bound 95% confidence interval;Groningen (PV);2023;0.5
2940;Train;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2018;0.4
2941;Train;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2019;
2942;Train;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2020;
2943;Train;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2021;
2944;Train;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2022;
2945;Train;Population: 12 years or older;Lower bound 95% confidence interval;Fryslân (PV);2023;
2946;Train;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2018;
2947;Train;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2019;
2948;Train;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2020;
2949;Train;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2021;
2950;Train;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2022;
2951;Train;Population: 12 years or older;Lower bound 95% confidence interval;Drenthe (PV);2023;
2952;Train;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2018;1.0
2953;Train;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2019;1.4
2954;Train;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2020;0.4
2955;Train;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2021;0.3
2956;Train;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2022;0.8
2957;Train;Population: 12 years or older;Lower bound 95% confidence interval;Overijssel (PV);2023;0.9
2958;Train;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2018;0.5
2959;Train;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2019;0.6
2960;Train;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2020;
2961;Train;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2021;0.2
2962;Train;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2022;0.3
2963;Train;Population: 12 years or older;Lower bound 95% confidence interval;Flevoland (PV);2023;0.3
2964;Train;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2018;2.1
2965;Train;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2019;2.1
2966;Train;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2020;1.0
2967;Train;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2021;1.0
2968;Train;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2022;1.9
2969;Train;Population: 12 years or older;Lower bound 95% confidence interval;Gelderland (PV);2023;2.1
2970;Train;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2018;1.8
2971;Train;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2019;2.2
2972;Train;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2020;0.9
2973;Train;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2021;0.9
2974;Train;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2022;1.4
2975;Train;Population: 12 years or older;Lower bound 95% confidence interval;Utrecht (PV);2023;2.0
2976;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2018;4.3
2977;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2019;4.1
2978;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2020;1.6
2979;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2021;1.7
2980;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2022;2.2
2981;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2023;2.9
2982;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;4.0
2983;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;4.3
2984;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;1.4
2985;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;1.9
2986;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;2.5
2987;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;3.7
2988;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2018;
2989;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2019;
2990;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2020;
2991;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2021;
2992;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2022;
2993;Train;Population: 12 years or older;Lower bound 95% confidence interval;Zeeland (PV);2023;
2994;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;2.4
2995;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;2.5
2996;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;0.8
2997;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;0.7
2998;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;1.2
2999;Train;Population: 12 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;2.2
3000;Train;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2018;1.0
3001;Train;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2019;0.8
3002;Train;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2020;0.4
3003;Train;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2021;0.4
3004;Train;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2022;0.8
3005;Train;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2023;0.8
3006;Train;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2018;7.9
3007;Train;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2019;8.6
3008;Train;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2020;3.0
3009;Train;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2021;4.0
3010;Train;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2022;5.1
3011;Train;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2023;6.8
