ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
5454;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2021;2.4;246.5;101.1;19.3
5455;Total male and female;SEC: Self-employed (total);1.1 Financial assets;2022;2.5;253.7;101.5;19.6
5456;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2007;1.9;118.9;62.5;14.0
5457;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2008;2.0;116.8;58.3;13.1
5458;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2009;2.0;118.3;59.4;14.1
5459;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2010;2.1;125.2;60.2;12.8
5460;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2011;1.9;117.0;60.1;13.0
5461;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2012;1.9;117.1;62.9;12.3
5462;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2013;1.9;117.8;60.6;12.5
5463;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2014;2.0;114.6;58.0;11.0
5464;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2015;2.0;121.7;60.4;11.0
5465;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2016;2.2;138.8;64.3;11.0
5466;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2017;2.1;110.3;51.6;12.0
5467;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2018;2.2;120.5;54.7;12.3
5468;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2019;2.2;111.3;51.5;12.2
5469;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2020;2.3;126.6;54.6;13.3
5470;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2021;2.4;143.6;59.0;15.4
5471;Total male and female;SEC: Self-employed (total);1.1.1 Bank and savings credits;2022;2.5;149.2;59.7;16.1
5472;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2007;0.6;99.1;163.9;28.5
5473;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2008;0.6;86.8;143.7;22.5
5474;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2009;0.6;83.6;146.4;16.9
5475;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2010;0.6;106.6;175.7;17.8
5476;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2011;0.6;116.3;202.3;23.1
5477;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2012;0.5;100.1;182.3;23.9
5478;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2013;0.6;173.9;299.8;20.7
5479;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2014;0.5;133.3;249.1;23.1
5480;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2015;0.5;198.9;385.5;28.7
5481;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2016;0.5;387.2;731.9;29.4
5482;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2017;0.5;352.1;658.1;25.8
5483;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2018;0.5;236.3;444.2;44.6
5484;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2019;0.4;68.9;157.6;26.4
5485;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2020;0.5;75.3;162.6;26.0
5486;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2021;0.5;102.9;210.4;30.0
5487;Total male and female;SEC: Self-employed (total);1.1.2. Securities;2022;0.4;104.5;232.8;20.2
5488;Total male and female;SEC: Self-employed (total);1.2. Real estate;2007;1.5;448.7;289.7;200.0
5489;Total male and female;SEC: Self-employed (total);1.2. Real estate;2008;1.6;485.9;301.0;194.3
5490;Total male and female;SEC: Self-employed (total);1.2. Real estate;2009;1.6;475.5;297.7;193.5
5491;Total male and female;SEC: Self-employed (total);1.2. Real estate;2010;1.7;488.5;284.5;195.0
5492;Total male and female;SEC: Self-employed (total);1.2. Real estate;2011;1.6;470.3;293.5;191.6
5493;Total male and female;SEC: Self-employed (total);1.2. Real estate;2012;1.5;436.7;289.0;177.0
5494;Total male and female;SEC: Self-employed (total);1.2. Real estate;2013;1.6;441.0;278.6;180.7
5495;Total male and female;SEC: Self-employed (total);1.2. Real estate;2014;1.6;450.1;275.1;168.3
5496;Total male and female;SEC: Self-employed (total);1.2. Real estate;2015;1.6;399.1;249.9;168.6
5497;Total male and female;SEC: Self-employed (total);1.2. Real estate;2016;1.7;468.9;276.2;174.0
5498;Total male and female;SEC: Self-employed (total);1.2. Real estate;2017;1.7;446.2;265.4;172.0
5499;Total male and female;SEC: Self-employed (total);1.2. Real estate;2018;1.7;529.0;303.5;184.5
5500;Total male and female;SEC: Self-employed (total);1.2. Real estate;2019;1.7;490.6;288.8;190.5
5501;Total male and female;SEC: Self-employed (total);1.2. Real estate;2020;1.8;573.1;310.8;200.9
5502;Total male and female;SEC: Self-employed (total);1.2. Real estate;2021;1.9;717.6;382.9;220.3
5503;Total male and female;SEC: Self-employed (total);1.2. Real estate;2022;1.9;691.4;365.0;235.8
5504;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2007;1.5;326.5;222.7;177.0
5505;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2008;1.5;341.7;223.5;175.5
5506;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2009;1.5;335.6;222.4;176.0
5507;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2010;1.6;369.2;224.2;175.0
5508;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2011;1.5;365.6;237.1;178.0
5509;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2012;1.5;313.7;214.9;166.5
5510;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2013;1.5;306.0;201.2;158.0
5511;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2014;1.6;324.5;205.5;152.5
5512;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2015;1.5;310.7;203.5;154.3
5513;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2016;1.6;357.2;218.0;163.1
5514;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2017;1.6;349.6;215.8;158.3
5515;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2018;1.7;397.1;235.7;172.0
5516;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2019;1.6;369.5;227.7;176.0
5517;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2020;1.8;431.7;245.7;184.0
5518;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2021;1.8;497.7;277.9;207.0
5519;Total male and female;SEC: Self-employed (total);1.2.1 Principal residence;2022;1.8;557.5;304.3;227.5
5520;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2007;0.5;122.2;234.5;98.0
5521;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2008;0.5;144.1;263.0;108.6
5522;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2009;0.6;139.9;254.4;117.5
5523;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2010;0.5;119.4;250.2;111.5
5524;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2011;0.4;104.7;240.7;104.9
5525;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2012;0.4;122.9;287.2;94.2
5526;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2013;0.4;135.0;306.1;108.0
5527;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2014;0.4;125.6;302.6;93.6
5528;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2015;0.4;88.4;203.2;95.4
5529;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2016;0.5;111.7;246.5;96.3
5530;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2017;0.4;96.5;215.5;84.6
5531;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2018;0.5;131.9;278.3;93.8
5532;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2019;0.5;121.1;254.0;109.5
5533;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2020;0.5;141.4;267.4;117.6
5534;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2021;0.4;219.9;524.8;122.9
5535;Total male and female;SEC: Self-employed (total);1.2.2 Other real estate;2022;0.4;133.9;335.5;100.5
5536;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2007;1.3;373.0;288.2;54.3
5537;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2008;1.4;446.8;327.6;53.1
5538;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2009;1.3;413.2;315.1;50.7
5539;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2010;1.4;504.8;350.0;40.7
5540;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2011;1.4;935.3;660.0;47.3
5541;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2012;1.3;515.2;392.7;33.2
5542;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2013;1.4;411.7;299.4;30.0
5543;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2014;1.4;529.1;378.8;31.0
5544;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2015;1.4;387.1;279.3;32.1
5545;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2016;1.5;1022.9;662.1;32.3
5546;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2017;1.6;666.1;411.2;27.7
5547;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2018;1.7;698.7;419.9;32.1
5548;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2019;1.6;730.5;462.0;40.7
5549;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2020;1.8;1009.9;553.4;44.8
5550;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2021;1.8;1141.4;634.8;66.0
5551;Total male and female;SEC: Self-employed (total);1.3 Enterprise capital;2022;1.8;2199.1;1231.3;53.6
5552;Total male and female;SEC: Self-employed (total);1.5 Other assets;2007;1.6;131.4;81.0;10.4
5553;Total male and female;SEC: Self-employed (total);1.5 Other assets;2008;1.6;118.4;72.0;11.1
5554;Total male and female;SEC: Self-employed (total);1.5 Other assets;2009;1.6;101.7;63.9;9.4
5555;Total male and female;SEC: Self-employed (total);1.5 Other assets;2010;1.5;183.1;125.6;9.7
5556;Total male and female;SEC: Self-employed (total);1.5 Other assets;2011;1.3;116.9;88.3;11.1
5557;Total male and female;SEC: Self-employed (total);1.5 Other assets;2012;1.2;80.8;64.7;9.2
5558;Total male and female;SEC: Self-employed (total);1.5 Other assets;2013;1.3;76.7;59.5;9.7
5559;Total male and female;SEC: Self-employed (total);1.5 Other assets;2014;1.3;104.6;79.9;10.0
5560;Total male and female;SEC: Self-employed (total);1.5 Other assets;2015;1.2;118.2;97.9;10.3
5561;Total male and female;SEC: Self-employed (total);1.5 Other assets;2016;1.2;106.5;87.3;12.5
5562;Total male and female;SEC: Self-employed (total);1.5 Other assets;2017;1.1;90.5;80.6;12.5
5563;Total male and female;SEC: Self-employed (total);1.5 Other assets;2018;1.2;121.4;103.0;12.6
5564;Total male and female;SEC: Self-employed (total);1.5 Other assets;2019;1.4;122.8;86.9;10.5
5565;Total male and female;SEC: Self-employed (total);1.5 Other assets;2020;1.6;157.0;97.0;9.2
5566;Total male and female;SEC: Self-employed (total);1.5 Other assets;2021;1.6;186.6;117.6;11.4
5567;Total male and female;SEC: Self-employed (total);1.5 Other assets;2022;1.7;176.4;103.8;11.0
5568;Total male and female;SEC: Self-employed (total);2 Liabilities;2007;1.8;301.5;170.2;67.5
5569;Total male and female;SEC: Self-employed (total);2 Liabilities;2008;1.7;245.9;146.0;66.0
5570;Total male and female;SEC: Self-employed (total);2 Liabilities;2009;1.7;280.8;167.5;72.7
5571;Total male and female;SEC: Self-employed (total);2 Liabilities;2010;1.7;501.2;287.4;78.1
5572;Total male and female;SEC: Self-employed (total);2 Liabilities;2011;1.8;353.1;197.9;65.3
5573;Total male and female;SEC: Self-employed (total);2 Liabilities;2012;1.7;306.9;180.9;66.0
5574;Total male and female;SEC: Self-employed (total);2 Liabilities;2013;1.8;316.4;175.9;70.1
5575;Total male and female;SEC: Self-employed (total);2 Liabilities;2014;1.8;313.2;173.5;67.2
5576;Total male and female;SEC: Self-employed (total);2 Liabilities;2015;1.8;296.8;167.0;68.1
5577;Total male and female;SEC: Self-employed (total);2 Liabilities;2016;1.9;535.7;281.4;71.9
5578;Total male and female;SEC: Self-employed (total);2 Liabilities;2017;1.8;439.2;238.2;72.7
5579;Total male and female;SEC: Self-employed (total);2 Liabilities;2018;1.9;426.6;221.5;71.1
5580;Total male and female;SEC: Self-employed (total);2 Liabilities;2019;1.8;366.1;198.0;74.3
5581;Total male and female;SEC: Self-employed (total);2 Liabilities;2020;2.0;515.7;256.1;76.6
5582;Total male and female;SEC: Self-employed (total);2 Liabilities;2021;2.1;576.6;278.0;81.3
5583;Total male and female;SEC: Self-employed (total);2 Liabilities;2022;2.1;659.0;309.4;84.8
5584;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2007;1.0;134.3;132.4;77.2
5585;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2008;1.1;150.6;134.7;78.0
5586;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2009;1.1;167.5;149.6;86.4
5587;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2010;1.2;171.0;144.1;86.2
5588;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2011;1.1;178.3;161.9;87.5
5589;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2012;1.0;171.0;169.2;94.5
5590;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2013;1.1;167.0;154.5;97.5
5591;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2014;1.1;179.1;159.7;90.0
5592;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2015;1.1;159.5;147.4;94.3
5593;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2016;1.2;209.9;181.0;99.0
5594;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2017;1.1;183.1;167.4;95.2
5595;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2018;1.2;198.3;169.9;96.5
5596;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2019;1.2;182.2;157.7;96.2
5597;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2020;1.2;192.7;161.9;93.0
5598;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2021;1.3;194.8;154.7;99.0
5599;Total male and female;SEC: Self-employed (total);2.1 Principal residence loans;2022;1.3;215.3;167.6;104.0
5600;Total male and female;SEC: Self-employed (total);2.3 Other loans;2007;1.5;167.2;111.2;18.9
5601;Total male and female;SEC: Self-employed (total);2.3 Other loans;2008;1.3;95.3;74.8;13.5
5602;Total male and female;SEC: Self-employed (total);2.3 Other loans;2009;1.2;113.2;91.0;13.2
5603;Total male and female;SEC: Self-employed (total);2.3 Other loans;2010;1.3;330.2;252.3;19.6
5604;Total male and female;SEC: Self-employed (total);2.3 Other loans;2011;1.4;174.8;123.3;12.4
5605;Total male and female;SEC: Self-employed (total);2.3 Other loans;2012;1.4;135.8;99.9;12.1
5606;Total male and female;SEC: Self-employed (total);2.3 Other loans;2013;1.4;149.4;103.4;11.2
5607;Total male and female;SEC: Self-employed (total);2.3 Other loans;2014;1.4;134.2;93.7;14.3
5608;Total male and female;SEC: Self-employed (total);2.3 Other loans;2015;1.4;137.4;96.3;11.7
5609;Total male and female;SEC: Self-employed (total);2.3 Other loans;2016;1.5;325.8;213.9;10.0
5610;Total male and female;SEC: Self-employed (total);2.3 Other loans;2017;1.5;256.1;173.5;12.2
5611;Total male and female;SEC: Self-employed (total);2.3 Other loans;2018;1.6;228.3;147.0;13.1
5612;Total male and female;SEC: Self-employed (total);2.3 Other loans;2019;1.4;183.9;131.6;18.5
5613;Total male and female;SEC: Self-employed (total);2.3 Other loans;2020;1.6;323.1;203.8;17.8
5614;Total male and female;SEC: Self-employed (total);2.3 Other loans;2021;1.6;381.9;234.3;18.7
5615;Total male and female;SEC: Self-employed (total);2.3 Other loans;2022;1.7;443.7;262.5;19.3
5616;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2007;115.2;11193.4;97.2;15.4
5617;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2008;118.8;12249.2;103.1;17.5
5618;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2009;118.7;12033.1;101.4;18.7
5619;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2010;120.8;14214.3;117.6;24.2
5620;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2011;122.1;13487.9;110.5;24.5
5621;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2012;127.3;13762.8;108.1;24.2
5622;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2013;128.1;13309.6;103.9;23.5
5623;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2014;126.3;12791.8;101.3;22.4
5624;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2015;134.2;14099.8;105.1;23.2
5625;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2016;135.9;14839.7;109.2;22.3
5626;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2017;137.3;15493.3;112.8;23.3
5627;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2018;140.2;16117.9;115.0;24.1
5628;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2019;138.7;17438.9;125.7;26.3
5629;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2020;155.0;21157.5;136.5;28.2
5630;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2021;156.6;21943.2;140.2;31.2
5631;Total male and female;SEC: Benefit recipient and pensioner;Wealth;2022;156.1;23712.0;151.9;36.8
5632;Total male and female;SEC: Benefit recipient and pensioner;1 Assets;2007;115.2;13132.0;114.0;16.7
5633;Total male and female;SEC: Benefit recipient and pensioner;1 Assets;2008;118.8;13959.1;117.5;18.7
5634;Total male and female;SEC: Benefit recipient and pensioner;1 Assets;2009;118.7;13915.2;117.3;20.2
5635;Total male and female;SEC: Benefit recipient and pensioner;1 Assets;2010;120.8;16192.9;134.0;24.4
5636;Total male and female;SEC: Benefit recipient and pensioner;1 Assets;2011;122.1;15300.5;125.3;25.9
5637;Total male and female;SEC: Benefit recipient and pensioner;1 Assets;2012;127.3;15689.5;123.2;26.4
5638;Total male and female;SEC: Benefit recipient and pensioner;1 Assets;2013;128.1;15348.1;119.8;26.9
