ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
4707;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2013 3rd quarter;17.1
4708;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2013 4th quarter;16.8
4709;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2013;17.0
4710;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2014 1st quarter;15.8
4711;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2014 2nd quarter;15.9
4712;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2014 3rd quarter;16.3
4713;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2014 4th quarter;16.1
4714;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2014;16.0
4715;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2015 1st quarter;14.8
4716;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2015 2nd quarter;14.7
4717;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2015 3rd quarter;15.2
4718;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2015 4th quarter;15.1
4719;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2015;14.9
4720;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2016 1st quarter;14.5
4721;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2016 2nd quarter;14.7
4722;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2016 3rd quarter;15.1
4723;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2016 4th quarter;14.9
4724;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2016;14.8
4725;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2017 1st quarter;14.4
4726;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2017 2nd quarter;14.7
4727;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2017 3rd quarter;15.0
4728;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2017 4th quarter;15.2
4729;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2017;14.8
4730;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2018 1st quarter;14.2
4731;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2018 2nd quarter;14.4
4732;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2018 3rd quarter;14.6
4733;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2018 4th quarter;14.6
4734;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2018;14.4
4735;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2019 1st quarter;13.8
4736;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2019 2nd quarter;13.7
4737;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2019 3rd quarter;13.8
4738;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2019 4th quarter;13.6
4739;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2019;13.7
4740;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2020 1st quarter;12.3
4741;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2020 2nd quarter;11.2
4742;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2020 3rd quarter;11.0
4743;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2020 4th quarter;11.2
4744;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2020;11.4
4745;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2021 1st quarter;10.3
4746;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2021 2nd quarter;10.1
4747;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2021 3rd quarter;10.2
4748;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2021 4th quarter;10.2
4749;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2021;10.2
4750;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2022 1st quarter;9.2
4751;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2022 2nd quarter;7.7
4752;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2022 3rd quarter;7.3
4753;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2022 4th quarter;7.0
4754;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2022;7.8
4755;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2023 1st quarter;5.4
4756;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2023 2nd quarter;4.9
4757;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2023 3rd quarter;4.5
4758;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2023 4th quarter;4.3
4759;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Suriname;2023;4.8
4760;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2010 1st quarter;23.9
4761;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2010 2nd quarter;24.7
4762;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2010 3rd quarter;24.3
4763;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2010 4th quarter;24.2
4764;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2010;24.3
4765;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2011 1st quarter;23.9
4766;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2011 2nd quarter;24.5
4767;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2011 3rd quarter;23.7
4768;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2011 4th quarter;23.3
4769;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2011;23.9
4770;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2012 1st quarter;23.3
4771;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2012 2nd quarter;23.6
4772;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2012 3rd quarter;22.7
4773;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2012 4th quarter;22.4
4774;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2012;23.0
4775;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2013 1st quarter;21.3
4776;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2013 2nd quarter;21.4
4777;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2013 3rd quarter;20.9
4778;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2013 4th quarter;20.7
4779;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2013;21.1
4780;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2014 1st quarter;20.3
4781;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2014 2nd quarter;20.7
4782;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2014 3rd quarter;20.5
4783;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2014 4th quarter;20.1
4784;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2014;20.4
4785;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2015 1st quarter;19.5
4786;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2015 2nd quarter;19.6
4787;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2015 3rd quarter;19.4
4788;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2015 4th quarter;19.3
4789;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2015;19.5
4790;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2016 1st quarter;19.4
4791;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2016 2nd quarter;19.5
4792;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2016 3rd quarter;19.3
4793;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2016 4th quarter;19.4
4794;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2016;19.4
4795;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2017 1st quarter;19.4
4796;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2017 2nd quarter;19.5
4797;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2017 3rd quarter;19.0
4798;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2017 4th quarter;19.3
4799;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2017;19.3
4800;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2018 1st quarter;18.9
4801;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2018 2nd quarter;18.9
4802;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2018 3rd quarter;18.3
4803;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2018 4th quarter;18.6
4804;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2018;18.7
4805;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2019 1st quarter;18.3
4806;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2019 2nd quarter;18.2
4807;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2019 3rd quarter;17.8
4808;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2019 4th quarter;18.0
4809;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2019;18.1
4810;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2020 1st quarter;17.2
4811;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2020 2nd quarter;16.1
4812;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2020 3rd quarter;15.8
4813;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2020 4th quarter;15.8
4814;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2020;16.2
4815;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2021 1st quarter;15.3
4816;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2021 2nd quarter;15.4
4817;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2021 3rd quarter;15.1
4818;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2021 4th quarter;15.4
4819;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2021;15.3
4820;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2022 1st quarter;14.9
4821;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2022 2nd quarter;12.9
4822;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2022 3rd quarter;12.3
4823;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2022 4th quarter;12.4
4824;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2022;13.1
4825;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2023 1st quarter;10.7
4826;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2023 2nd quarter;10.1
4827;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2023 3rd quarter;9.6
4828;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2023 4th quarter;9.2
4829;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Turkey;2023;9.9
4830;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2010 1st quarter;25.4
4831;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2010 2nd quarter;26.2
4832;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2010 3rd quarter;27.6
4833;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2010 4th quarter;26.8
4834;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2010;26.5
4835;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2011 1st quarter;25.9
4836;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2011 2nd quarter;26.8
4837;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2011 3rd quarter;27.5
4838;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2011 4th quarter;26.4
4839;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2011;26.7
4840;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2012 1st quarter;25.9
4841;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2012 2nd quarter;26.4
4842;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Africa (excluding Morocco);2012 3rd quarter;26.9
