ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
6363;Total males and females;Total;Total;Niger;Person born abroad;Two parents born in the Netherlands;2022;18.0
6364;Total males and females;Total;Total;Niger;Person born abroad;Two parents born in the Netherlands;2023;19.0
6365;Total males and females;Total;Total;Niger;Person born abroad;Two parents born in the Netherlands;2024;19.0
6366;Total males and females;Total;Total;Niger;Person born abroad;One parent born in NL, one born abroad;2022;7.0
6367;Total males and females;Total;Total;Niger;Person born abroad;One parent born in NL, one born abroad;2023;7.0
6368;Total males and females;Total;Total;Niger;Person born abroad;One parent born in NL, one born abroad;2024;7.0
6369;Total males and females;Total;Total;Niger;Person born abroad;Two parents born abroad;2022;242.0
6370;Total males and females;Total;Total;Niger;Person born abroad;Two parents born abroad;2023;237.0
6371;Total males and females;Total;Total;Niger;Person born abroad;Two parents born abroad;2024;240.0
6372;Total males and females;Total;Total;Nigeria;Total;Total;2022;16907.0
6373;Total males and females;Total;Total;Nigeria;Total;Total;2023;19381.0
6374;Total males and females;Total;Total;Nigeria;Total;Total;2024;20322.0
6375;Total males and females;Total;Total;Nigeria;Total;Two parents born in the Netherlands;2022;767.0
6376;Total males and females;Total;Total;Nigeria;Total;Two parents born in the Netherlands;2023;772.0
6377;Total males and females;Total;Total;Nigeria;Total;Two parents born in the Netherlands;2024;767.0
6378;Total males and females;Total;Total;Nigeria;Total;One parent born in NL, one born abroad;2022;4699.0
6379;Total males and females;Total;Total;Nigeria;Total;One parent born in NL, one born abroad;2023;4793.0
6380;Total males and females;Total;Total;Nigeria;Total;One parent born in NL, one born abroad;2024;4902.0
6381;Total males and females;Total;Total;Nigeria;Total;Two parents born abroad;2022;11441.0
6382;Total males and females;Total;Total;Nigeria;Total;Two parents born abroad;2023;13816.0
6383;Total males and females;Total;Total;Nigeria;Total;Two parents born abroad;2024;14653.0
6384;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Total;2022;7188.0
6385;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Total;2023;7449.0
6386;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Total;2024;7761.0
6387;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6388;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6389;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6390;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;One parent born in NL, one born abroad;2022;4386.0
6391;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;One parent born in NL, one born abroad;2023;4476.0
6392;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;One parent born in NL, one born abroad;2024;4579.0
6393;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Two parents born abroad;2022;2802.0
6394;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Two parents born abroad;2023;2973.0
6395;Total males and females;Total;Total;Nigeria;Person born in the Netherlands;Two parents born abroad;2024;3182.0
6396;Total males and females;Total;Total;Nigeria;Person born abroad;Total;2022;9719.0
6397;Total males and females;Total;Total;Nigeria;Person born abroad;Total;2023;11932.0
6398;Total males and females;Total;Total;Nigeria;Person born abroad;Total;2024;12561.0
6399;Total males and females;Total;Total;Nigeria;Person born abroad;Two parents born in the Netherlands;2022;767.0
6400;Total males and females;Total;Total;Nigeria;Person born abroad;Two parents born in the Netherlands;2023;772.0
6401;Total males and females;Total;Total;Nigeria;Person born abroad;Two parents born in the Netherlands;2024;767.0
6402;Total males and females;Total;Total;Nigeria;Person born abroad;One parent born in NL, one born abroad;2022;313.0
6403;Total males and females;Total;Total;Nigeria;Person born abroad;One parent born in NL, one born abroad;2023;317.0
6404;Total males and females;Total;Total;Nigeria;Person born abroad;One parent born in NL, one born abroad;2024;323.0
6405;Total males and females;Total;Total;Nigeria;Person born abroad;Two parents born abroad;2022;8639.0
6406;Total males and females;Total;Total;Nigeria;Person born abroad;Two parents born abroad;2023;10843.0
6407;Total males and females;Total;Total;Nigeria;Person born abroad;Two parents born abroad;2024;11471.0
6408;Total males and females;Total;Total;Niue;Total;Total;2022;0.0
6409;Total males and females;Total;Total;Niue;Total;Total;2023;0.0
6410;Total males and females;Total;Total;Niue;Total;Total;2024;0.0
6411;Total males and females;Total;Total;Niue;Total;Two parents born in the Netherlands;2022;0.0
6412;Total males and females;Total;Total;Niue;Total;Two parents born in the Netherlands;2023;0.0
6413;Total males and females;Total;Total;Niue;Total;Two parents born in the Netherlands;2024;0.0
6414;Total males and females;Total;Total;Niue;Total;One parent born in NL, one born abroad;2022;0.0
6415;Total males and females;Total;Total;Niue;Total;One parent born in NL, one born abroad;2023;0.0
6416;Total males and females;Total;Total;Niue;Total;One parent born in NL, one born abroad;2024;0.0
6417;Total males and females;Total;Total;Niue;Total;Two parents born abroad;2022;0.0
6418;Total males and females;Total;Total;Niue;Total;Two parents born abroad;2023;0.0
6419;Total males and females;Total;Total;Niue;Total;Two parents born abroad;2024;0.0
6420;Total males and females;Total;Total;Niue;Person born in the Netherlands;Total;2022;0.0
6421;Total males and females;Total;Total;Niue;Person born in the Netherlands;Total;2023;0.0
6422;Total males and females;Total;Total;Niue;Person born in the Netherlands;Total;2024;0.0
6423;Total males and females;Total;Total;Niue;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6424;Total males and females;Total;Total;Niue;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6425;Total males and females;Total;Total;Niue;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6426;Total males and females;Total;Total;Niue;Person born in the Netherlands;One parent born in NL, one born abroad;2022;0.0
6427;Total males and females;Total;Total;Niue;Person born in the Netherlands;One parent born in NL, one born abroad;2023;0.0
6428;Total males and females;Total;Total;Niue;Person born in the Netherlands;One parent born in NL, one born abroad;2024;0.0
6429;Total males and females;Total;Total;Niue;Person born in the Netherlands;Two parents born abroad;2022;0.0
6430;Total males and females;Total;Total;Niue;Person born in the Netherlands;Two parents born abroad;2023;0.0
6431;Total males and females;Total;Total;Niue;Person born in the Netherlands;Two parents born abroad;2024;0.0
6432;Total males and females;Total;Total;Niue;Person born abroad;Total;2022;0.0
6433;Total males and females;Total;Total;Niue;Person born abroad;Total;2023;0.0
6434;Total males and females;Total;Total;Niue;Person born abroad;Total;2024;0.0
6435;Total males and females;Total;Total;Niue;Person born abroad;Two parents born in the Netherlands;2022;0.0
6436;Total males and females;Total;Total;Niue;Person born abroad;Two parents born in the Netherlands;2023;0.0
6437;Total males and females;Total;Total;Niue;Person born abroad;Two parents born in the Netherlands;2024;0.0
6438;Total males and females;Total;Total;Niue;Person born abroad;One parent born in NL, one born abroad;2022;0.0
6439;Total males and females;Total;Total;Niue;Person born abroad;One parent born in NL, one born abroad;2023;0.0
6440;Total males and females;Total;Total;Niue;Person born abroad;One parent born in NL, one born abroad;2024;0.0
6441;Total males and females;Total;Total;Niue;Person born abroad;Two parents born abroad;2022;0.0
6442;Total males and females;Total;Total;Niue;Person born abroad;Two parents born abroad;2023;0.0
6443;Total males and females;Total;Total;Niue;Person born abroad;Two parents born abroad;2024;0.0
6444;Total males and females;Total;Total;Northern Marianas;Total;Total;2022;1.0
6445;Total males and females;Total;Total;Northern Marianas;Total;Total;2023;1.0
6446;Total males and females;Total;Total;Northern Marianas;Total;Total;2024;2.0
6447;Total males and females;Total;Total;Northern Marianas;Total;Two parents born in the Netherlands;2022;0.0
6448;Total males and females;Total;Total;Northern Marianas;Total;Two parents born in the Netherlands;2023;0.0
6449;Total males and females;Total;Total;Northern Marianas;Total;Two parents born in the Netherlands;2024;0.0
6450;Total males and females;Total;Total;Northern Marianas;Total;One parent born in NL, one born abroad;2022;0.0
6451;Total males and females;Total;Total;Northern Marianas;Total;One parent born in NL, one born abroad;2023;0.0
6452;Total males and females;Total;Total;Northern Marianas;Total;One parent born in NL, one born abroad;2024;0.0
6453;Total males and females;Total;Total;Northern Marianas;Total;Two parents born abroad;2022;1.0
6454;Total males and females;Total;Total;Northern Marianas;Total;Two parents born abroad;2023;1.0
6455;Total males and females;Total;Total;Northern Marianas;Total;Two parents born abroad;2024;2.0
6456;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Total;2022;0.0
6457;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Total;2023;0.0
6458;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Total;2024;0.0
6459;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Two parents born in the Netherlands;2022;
6460;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Two parents born in the Netherlands;2023;
6461;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Two parents born in the Netherlands;2024;
6462;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;One parent born in NL, one born abroad;2022;0.0
6463;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;One parent born in NL, one born abroad;2023;0.0
6464;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;One parent born in NL, one born abroad;2024;0.0
6465;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Two parents born abroad;2022;0.0
6466;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Two parents born abroad;2023;0.0
6467;Total males and females;Total;Total;Northern Marianas;Person born in the Netherlands;Two parents born abroad;2024;0.0
6468;Total males and females;Total;Total;Northern Marianas;Person born abroad;Total;2022;1.0
6469;Total males and females;Total;Total;Northern Marianas;Person born abroad;Total;2023;1.0
6470;Total males and females;Total;Total;Northern Marianas;Person born abroad;Total;2024;2.0
6471;Total males and females;Total;Total;Northern Marianas;Person born abroad;Two parents born in the Netherlands;2022;0.0
6472;Total males and females;Total;Total;Northern Marianas;Person born abroad;Two parents born in the Netherlands;2023;0.0
6473;Total males and females;Total;Total;Northern Marianas;Person born abroad;Two parents born in the Netherlands;2024;0.0
6474;Total males and females;Total;Total;Northern Marianas;Person born abroad;One parent born in NL, one born abroad;2022;0.0
6475;Total males and females;Total;Total;Northern Marianas;Person born abroad;One parent born in NL, one born abroad;2023;0.0
