ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
3988;Taxes and actual social contributions;Provinces;2018 4th quarter;436
3989;Taxes and actual social contributions;Provinces;2018;1659
3990;Taxes and actual social contributions;Provinces;2019 1st quarter;423
3991;Taxes and actual social contributions;Provinces;2019 2nd quarter;422
3992;Taxes and actual social contributions;Provinces;2019 3rd quarter;424
3993;Taxes and actual social contributions;Provinces;2019 4th quarter;424
3994;Taxes and actual social contributions;Provinces;2019;1693
3995;Taxes and actual social contributions;Provinces;2020 1st quarter;427
3996;Taxes and actual social contributions;Provinces;2020 2nd quarter;428
3997;Taxes and actual social contributions;Provinces;2020 3rd quarter;430
3998;Taxes and actual social contributions;Provinces;2020 4th quarter;430
3999;Taxes and actual social contributions;Provinces;2020;1715
4000;Taxes and actual social contributions;Provinces;2021 1st quarter;438
4001;Taxes and actual social contributions;Provinces;2021 2nd quarter;438
4002;Taxes and actual social contributions;Provinces;2021 3rd quarter;438
4003;Taxes and actual social contributions;Provinces;2021 4th quarter;436
4004;Taxes and actual social contributions;Provinces;2021;1750
4005;Taxes and actual social contributions;Provinces;2022 1st quarter;447
4006;Taxes and actual social contributions;Provinces;2022 2nd quarter;447
4007;Taxes and actual social contributions;Provinces;2022 3rd quarter;447
4008;Taxes and actual social contributions;Provinces;2022 4th quarter;447
4009;Taxes and actual social contributions;Provinces;2022;1788
4010;Taxes and actual social contributions;Provinces;2023 1st quarter;454
4011;Taxes and actual social contributions;Provinces;2023 2nd quarter;455
4012;Taxes and actual social contributions;Provinces;2023 3rd quarter;454
4013;Taxes and actual social contributions;Provinces;2023 4th quarter;454
4014;Taxes and actual social contributions;Provinces;2023;1817
4015;Taxes and actual social contributions;Provinces;2024 1st quarter;473
4016;Taxes and actual social contributions;Provinces;2024 2nd quarter;474
4017;Taxes and actual social contributions;Provinces;2024 3rd quarter;472
4018;Taxes and actual social contributions;Provinces;2024 4th quarter;474
4019;Taxes and actual social contributions;Provinces;2024;1893
4020;Taxes and actual social contributions;Public water boards;1995;1131
4021;Taxes and actual social contributions;Public water boards;1996;1165
4022;Taxes and actual social contributions;Public water boards;1997;1331
4023;Taxes and actual social contributions;Public water boards;1998;1358
4024;Taxes and actual social contributions;Public water boards;1999 1st quarter;353
4025;Taxes and actual social contributions;Public water boards;1999 2nd quarter;352
4026;Taxes and actual social contributions;Public water boards;1999 3rd quarter;352
4027;Taxes and actual social contributions;Public water boards;1999 4th quarter;353
4028;Taxes and actual social contributions;Public water boards;1999;1410
4029;Taxes and actual social contributions;Public water boards;2000 1st quarter;379
4030;Taxes and actual social contributions;Public water boards;2000 2nd quarter;379
4031;Taxes and actual social contributions;Public water boards;2000 3rd quarter;379
4032;Taxes and actual social contributions;Public water boards;2000 4th quarter;380
4033;Taxes and actual social contributions;Public water boards;2000;1517
4034;Taxes and actual social contributions;Public water boards;2001 1st quarter;403
4035;Taxes and actual social contributions;Public water boards;2001 2nd quarter;402
4036;Taxes and actual social contributions;Public water boards;2001 3rd quarter;402
4037;Taxes and actual social contributions;Public water boards;2001 4th quarter;403
4038;Taxes and actual social contributions;Public water boards;2001;1610
4039;Taxes and actual social contributions;Public water boards;2002 1st quarter;419
4040;Taxes and actual social contributions;Public water boards;2002 2nd quarter;420
4041;Taxes and actual social contributions;Public water boards;2002 3rd quarter;421
4042;Taxes and actual social contributions;Public water boards;2002 4th quarter;421
4043;Taxes and actual social contributions;Public water boards;2002;1681
4044;Taxes and actual social contributions;Public water boards;2003 1st quarter;447
4045;Taxes and actual social contributions;Public water boards;2003 2nd quarter;445
4046;Taxes and actual social contributions;Public water boards;2003 3rd quarter;447
4047;Taxes and actual social contributions;Public water boards;2003 4th quarter;447
4048;Taxes and actual social contributions;Public water boards;2003;1786
4049;Taxes and actual social contributions;Public water boards;2004 1st quarter;468
4050;Taxes and actual social contributions;Public water boards;2004 2nd quarter;468
4051;Taxes and actual social contributions;Public water boards;2004 3rd quarter;468
4052;Taxes and actual social contributions;Public water boards;2004 4th quarter;466
4053;Taxes and actual social contributions;Public water boards;2004;1870
4054;Taxes and actual social contributions;Public water boards;2005 1st quarter;480
4055;Taxes and actual social contributions;Public water boards;2005 2nd quarter;478
4056;Taxes and actual social contributions;Public water boards;2005 3rd quarter;478
4057;Taxes and actual social contributions;Public water boards;2005 4th quarter;479
4058;Taxes and actual social contributions;Public water boards;2005;1915
4059;Taxes and actual social contributions;Public water boards;2006 1st quarter;491
4060;Taxes and actual social contributions;Public water boards;2006 2nd quarter;491
4061;Taxes and actual social contributions;Public water boards;2006 3rd quarter;490
4062;Taxes and actual social contributions;Public water boards;2006 4th quarter;490
4063;Taxes and actual social contributions;Public water boards;2006;1962
4064;Taxes and actual social contributions;Public water boards;2007 1st quarter;498
4065;Taxes and actual social contributions;Public water boards;2007 2nd quarter;497
4066;Taxes and actual social contributions;Public water boards;2007 3rd quarter;497
4067;Taxes and actual social contributions;Public water boards;2007 4th quarter;499
4068;Taxes and actual social contributions;Public water boards;2007;1991
4069;Taxes and actual social contributions;Public water boards;2008 1st quarter;517
4070;Taxes and actual social contributions;Public water boards;2008 2nd quarter;518
4071;Taxes and actual social contributions;Public water boards;2008 3rd quarter;545
4072;Taxes and actual social contributions;Public water boards;2008 4th quarter;462
4073;Taxes and actual social contributions;Public water boards;2008;2042
4074;Taxes and actual social contributions;Public water boards;2009 1st quarter;529
4075;Taxes and actual social contributions;Public water boards;2009 2nd quarter;532
4076;Taxes and actual social contributions;Public water boards;2009 3rd quarter;533
4077;Taxes and actual social contributions;Public water boards;2009 4th quarter;548
4078;Taxes and actual social contributions;Public water boards;2009;2142
4079;Taxes and actual social contributions;Public water boards;2010 1st quarter;558
4080;Taxes and actual social contributions;Public water boards;2010 2nd quarter;559
4081;Taxes and actual social contributions;Public water boards;2010 3rd quarter;560
4082;Taxes and actual social contributions;Public water boards;2010 4th quarter;552
4083;Taxes and actual social contributions;Public water boards;2010;2229
4084;Taxes and actual social contributions;Public water boards;2011 1st quarter;574
4085;Taxes and actual social contributions;Public water boards;2011 2nd quarter;576
4086;Taxes and actual social contributions;Public water boards;2011 3rd quarter;582
4087;Taxes and actual social contributions;Public water boards;2011 4th quarter;553
4088;Taxes and actual social contributions;Public water boards;2011;2285
4089;Taxes and actual social contributions;Public water boards;2012 1st quarter;595
4090;Taxes and actual social contributions;Public water boards;2012 2nd quarter;591
4091;Taxes and actual social contributions;Public water boards;2012 3rd quarter;573
4092;Taxes and actual social contributions;Public water boards;2012 4th quarter;572
4093;Taxes and actual social contributions;Public water boards;2012;2331
4094;Taxes and actual social contributions;Public water boards;2013 1st quarter;610
4095;Taxes and actual social contributions;Public water boards;2013 2nd quarter;609
4096;Taxes and actual social contributions;Public water boards;2013 3rd quarter;610
4097;Taxes and actual social contributions;Public water boards;2013 4th quarter;587
4098;Taxes and actual social contributions;Public water boards;2013;2416
4099;Taxes and actual social contributions;Public water boards;2014 1st quarter;622
4100;Taxes and actual social contributions;Public water boards;2014 2nd quarter;622
4101;Taxes and actual social contributions;Public water boards;2014 3rd quarter;623
4102;Taxes and actual social contributions;Public water boards;2014 4th quarter;607
4103;Taxes and actual social contributions;Public water boards;2014;2474
4104;Taxes and actual social contributions;Public water boards;2015 1st quarter;638
4105;Taxes and actual social contributions;Public water boards;2015 2nd quarter;638
4106;Taxes and actual social contributions;Public water boards;2015 3rd quarter;637
4107;Taxes and actual social contributions;Public water boards;2015 4th quarter;629
4108;Taxes and actual social contributions;Public water boards;2015;2542
4109;Taxes and actual social contributions;Public water boards;2016 1st quarter;652
4110;Taxes and actual social contributions;Public water boards;2016 2nd quarter;652
4111;Taxes and actual social contributions;Public water boards;2016 3rd quarter;650
4112;Taxes and actual social contributions;Public water boards;2016 4th quarter;655
4113;Taxes and actual social contributions;Public water boards;2016;2609
4114;Taxes and actual social contributions;Public water boards;2017 1st quarter;666
