ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
5075;"D41 Interest; definition National Acco..";Local government;2021 4th quarter;40
5076;"D41 Interest; definition National Acco..";Local government;2021;106
5077;"D41 Interest; definition National Acco..";Local government;2022 1st quarter;43
5078;"D41 Interest; definition National Acco..";Local government;2022 2nd quarter;129
5079;"D41 Interest; definition National Acco..";Local government;2022 3rd quarter;178
5080;"D41 Interest; definition National Acco..";Local government;2022 4th quarter;255
5081;"D41 Interest; definition National Acco..";Local government;2022;605
5082;"D41 Interest; definition National Acco..";Local government;2023 1st quarter;307
5083;"D41 Interest; definition National Acco..";Local government;2023 2nd quarter;311
5084;"D41 Interest; definition National Acco..";Local government;2023 3rd quarter;272
5085;"D41 Interest; definition National Acco..";Local government;2023 4th quarter;292
5086;"D41 Interest; definition National Acco..";Local government;2023;1182
5087;"D41 Interest; definition National Acco..";Local government;2024 1st quarter;313
5088;"D41 Interest; definition National Acco..";Local government;2024 2nd quarter;325
5089;"D41 Interest; definition National Acco..";Local government;2024 3rd quarter;287
5090;"D41 Interest; definition National Acco..";Local government;2024 4th quarter;261
5091;"D41 Interest; definition National Acco..";Local government;2024;1186
5092;"D41 Interest; definition National Acco..";Municipalities;1995;4061
5093;"D41 Interest; definition National Acco..";Municipalities;1996;2687
5094;"D41 Interest; definition National Acco..";Municipalities;1997;2600
5095;"D41 Interest; definition National Acco..";Municipalities;1998;2495
5096;"D41 Interest; definition National Acco..";Municipalities;1999 1st quarter;619
5097;"D41 Interest; definition National Acco..";Municipalities;1999 2nd quarter;618
5098;"D41 Interest; definition National Acco..";Municipalities;1999 3rd quarter;619
5099;"D41 Interest; definition National Acco..";Municipalities;1999 4th quarter;622
5100;"D41 Interest; definition National Acco..";Municipalities;1999;2478
5101;"D41 Interest; definition National Acco..";Municipalities;2000 1st quarter;601
5102;"D41 Interest; definition National Acco..";Municipalities;2000 2nd quarter;598
5103;"D41 Interest; definition National Acco..";Municipalities;2000 3rd quarter;595
5104;"D41 Interest; definition National Acco..";Municipalities;2000 4th quarter;595
5105;"D41 Interest; definition National Acco..";Municipalities;2000;2389
5106;"D41 Interest; definition National Acco..";Municipalities;2001 1st quarter;509
5107;"D41 Interest; definition National Acco..";Municipalities;2001 2nd quarter;512
5108;"D41 Interest; definition National Acco..";Municipalities;2001 3rd quarter;498
5109;"D41 Interest; definition National Acco..";Municipalities;2001 4th quarter;459
5110;"D41 Interest; definition National Acco..";Municipalities;2001;1978
5111;"D41 Interest; definition National Acco..";Municipalities;2002 1st quarter;447
5112;"D41 Interest; definition National Acco..";Municipalities;2002 2nd quarter;456
5113;"D41 Interest; definition National Acco..";Municipalities;2002 3rd quarter;431
5114;"D41 Interest; definition National Acco..";Municipalities;2002 4th quarter;419
5115;"D41 Interest; definition National Acco..";Municipalities;2002;1753
5116;"D41 Interest; definition National Acco..";Municipalities;2003 1st quarter;372
5117;"D41 Interest; definition National Acco..";Municipalities;2003 2nd quarter;364
5118;"D41 Interest; definition National Acco..";Municipalities;2003 3rd quarter;370
5119;"D41 Interest; definition National Acco..";Municipalities;2003 4th quarter;384
5120;"D41 Interest; definition National Acco..";Municipalities;2003;1490
5121;"D41 Interest; definition National Acco..";Municipalities;2004 1st quarter;383
5122;"D41 Interest; definition National Acco..";Municipalities;2004 2nd quarter;397
5123;"D41 Interest; definition National Acco..";Municipalities;2004 3rd quarter;398
5124;"D41 Interest; definition National Acco..";Municipalities;2004 4th quarter;392
5125;"D41 Interest; definition National Acco..";Municipalities;2004;1570
5126;"D41 Interest; definition National Acco..";Municipalities;2005 1st quarter;394
5127;"D41 Interest; definition National Acco..";Municipalities;2005 2nd quarter;375
5128;"D41 Interest; definition National Acco..";Municipalities;2005 3rd quarter;366
5129;"D41 Interest; definition National Acco..";Municipalities;2005 4th quarter;373
5130;"D41 Interest; definition National Acco..";Municipalities;2005;1508
5131;"D41 Interest; definition National Acco..";Municipalities;2006 1st quarter;395
5132;"D41 Interest; definition National Acco..";Municipalities;2006 2nd quarter;399
5133;"D41 Interest; definition National Acco..";Municipalities;2006 3rd quarter;393
5134;"D41 Interest; definition National Acco..";Municipalities;2006 4th quarter;435
5135;"D41 Interest; definition National Acco..";Municipalities;2006;1622
5136;"D41 Interest; definition National Acco..";Municipalities;2007 1st quarter;389
5137;"D41 Interest; definition National Acco..";Municipalities;2007 2nd quarter;407
5138;"D41 Interest; definition National Acco..";Municipalities;2007 3rd quarter;402
5139;"D41 Interest; definition National Acco..";Municipalities;2007 4th quarter;450
5140;"D41 Interest; definition National Acco..";Municipalities;2007;1648
5141;"D41 Interest; definition National Acco..";Municipalities;2008 1st quarter;407
5142;"D41 Interest; definition National Acco..";Municipalities;2008 2nd quarter;449
5143;"D41 Interest; definition National Acco..";Municipalities;2008 3rd quarter;435
5144;"D41 Interest; definition National Acco..";Municipalities;2008 4th quarter;392
5145;"D41 Interest; definition National Acco..";Municipalities;2008;1683
5146;"D41 Interest; definition National Acco..";Municipalities;2009 1st quarter;332
5147;"D41 Interest; definition National Acco..";Municipalities;2009 2nd quarter;347
5148;"D41 Interest; definition National Acco..";Municipalities;2009 3rd quarter;384
5149;"D41 Interest; definition National Acco..";Municipalities;2009 4th quarter;347
5150;"D41 Interest; definition National Acco..";Municipalities;2009;1410
5151;"D41 Interest; definition National Acco..";Municipalities;2010 1st quarter;336
5152;"D41 Interest; definition National Acco..";Municipalities;2010 2nd quarter;341
5153;"D41 Interest; definition National Acco..";Municipalities;2010 3rd quarter;305
5154;"D41 Interest; definition National Acco..";Municipalities;2010 4th quarter;300
5155;"D41 Interest; definition National Acco..";Municipalities;2010;1282
5156;"D41 Interest; definition National Acco..";Municipalities;2011 1st quarter;327
5157;"D41 Interest; definition National Acco..";Municipalities;2011 2nd quarter;334
5158;"D41 Interest; definition National Acco..";Municipalities;2011 3rd quarter;288
5159;"D41 Interest; definition National Acco..";Municipalities;2011 4th quarter;274
5160;"D41 Interest; definition National Acco..";Municipalities;2011;1223
5161;"D41 Interest; definition National Acco..";Municipalities;2012 1st quarter;278
5162;"D41 Interest; definition National Acco..";Municipalities;2012 2nd quarter;280
5163;"D41 Interest; definition National Acco..";Municipalities;2012 3rd quarter;248
5164;"D41 Interest; definition National Acco..";Municipalities;2012 4th quarter;239
5165;"D41 Interest; definition National Acco..";Municipalities;2012;1045
5166;"D41 Interest; definition National Acco..";Municipalities;2013 1st quarter;233
5167;"D41 Interest; definition National Acco..";Municipalities;2013 2nd quarter;232
5168;"D41 Interest; definition National Acco..";Municipalities;2013 3rd quarter;251
5169;"D41 Interest; definition National Acco..";Municipalities;2013 4th quarter;248
5170;"D41 Interest; definition National Acco..";Municipalities;2013;964
5171;"D41 Interest; definition National Acco..";Municipalities;2014 1st quarter;220
5172;"D41 Interest; definition National Acco..";Municipalities;2014 2nd quarter;196
5173;"D41 Interest; definition National Acco..";Municipalities;2014 3rd quarter;154
5174;"D41 Interest; definition National Acco..";Municipalities;2014 4th quarter;137
5175;"D41 Interest; definition National Acco..";Municipalities;2014;707
5176;"D41 Interest; definition National Acco..";Municipalities;2015 1st quarter;128
5177;"D41 Interest; definition National Acco..";Municipalities;2015 2nd quarter;128
5178;"D41 Interest; definition National Acco..";Municipalities;2015 3rd quarter;127
5179;"D41 Interest; definition National Acco..";Municipalities;2015 4th quarter;127
5180;"D41 Interest; definition National Acco..";Municipalities;2015;510
5181;"D41 Interest; definition National Acco..";Municipalities;2016 1st quarter;100
5182;"D41 Interest; definition National Acco..";Municipalities;2016 2nd quarter;90
5183;"D41 Interest; definition National Acco..";Municipalities;2016 3rd quarter;71
5184;"D41 Interest; definition National Acco..";Municipalities;2016 4th quarter;92
5185;"D41 Interest; definition National Acco..";Municipalities;2016;353
5186;"D41 Interest; definition National Acco..";Municipalities;2017 1st quarter;82
5187;"D41 Interest; definition National Acco..";Municipalities;2017 2nd quarter;85
5188;"D41 Interest; definition National Acco..";Municipalities;2017 3rd quarter;87
5189;"D41 Interest; definition National Acco..";Municipalities;2017 4th quarter;88
5190;"D41 Interest; definition National Acco..";Municipalities;2017;342
5191;"D41 Interest; definition National Acco..";Municipalities;2018 1st quarter;89
5192;"D41 Interest; definition National Acco..";Municipalities;2018 2nd quarter;96
5193;"D41 Interest; definition National Acco..";Municipalities;2018 3rd quarter;89
5194;"D41 Interest; definition National Acco..";Municipalities;2018 4th quarter;97
5195;"D41 Interest; definition National Acco..";Municipalities;2018;371
5196;"D41 Interest; definition National Acco..";Municipalities;2019 1st quarter;65
5197;"D41 Interest; definition National Acco..";Municipalities;2019 2nd quarter;58
5198;"D41 Interest; definition National Acco..";Municipalities;2019 3rd quarter;29
