ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
3115;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Value;2019;68.8;16.3
3116;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Value;2020;58.2;8.5
3117;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Value;2021;64.7;9.8
3118;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Value;2022;68.1;13.7
3119;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Value;2023;69.3;14.4
3120;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Lower bound 95% confidence interval;2018;71.1;16.6
3121;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Lower bound 95% confidence interval;2019;67.6;15.4
3122;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Lower bound 95% confidence interval;2020;57.1;7.9
3123;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Lower bound 95% confidence interval;2021;63.7;9.2
3124;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Lower bound 95% confidence interval;2022;67.0;12.9
3125;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Lower bound 95% confidence interval;2023;68.3;13.7
3126;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2018;73.4;18.4
3127;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2019;70.1;17.3
3128;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2020;59.2;9.1
3129;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2021;65.7;10.4
3130;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2022;69.2;14.4
3131;Population: 12 years or older;Total male and female;"No driver's license; 17 years or older";Upper bound 95% confidence interval;2023;70.3;15.2
3132;Population: 12 years or older;Total male and female;"No driver's license; under 17";Value;2018;85.9;9.1
3133;Population: 12 years or older;Total male and female;"No driver's license; under 17";Value;2019;86.7;8.8
3134;Population: 12 years or older;Total male and female;"No driver's license; under 17";Value;2020;73.1;5.2
3135;Population: 12 years or older;Total male and female;"No driver's license; under 17";Value;2021;78.7;5.6
3136;Population: 12 years or older;Total male and female;"No driver's license; under 17";Value;2022;82.2;7.5
3137;Population: 12 years or older;Total male and female;"No driver's license; under 17";Value;2023;83.6;8.1
3138;Population: 12 years or older;Total male and female;"No driver's license; under 17";Lower bound 95% confidence interval;2018;84.5;8.2
3139;Population: 12 years or older;Total male and female;"No driver's license; under 17";Lower bound 95% confidence interval;2019;85.1;7.8
3140;Population: 12 years or older;Total male and female;"No driver's license; under 17";Lower bound 95% confidence interval;2020;71.4;4.4
3141;Population: 12 years or older;Total male and female;"No driver's license; under 17";Lower bound 95% confidence interval;2021;77.2;4.9
3142;Population: 12 years or older;Total male and female;"No driver's license; under 17";Lower bound 95% confidence interval;2022;80.4;6.6
3143;Population: 12 years or older;Total male and female;"No driver's license; under 17";Lower bound 95% confidence interval;2023;82.0;7.2
3144;Population: 12 years or older;Total male and female;"No driver's license; under 17";Upper bound 95% confidence interval;2018;87.2;10.1
3145;Population: 12 years or older;Total male and female;"No driver's license; under 17";Upper bound 95% confidence interval;2019;88.1;9.9
3146;Population: 12 years or older;Total male and female;"No driver's license; under 17";Upper bound 95% confidence interval;2020;74.7;6.1
3147;Population: 12 years or older;Total male and female;"No driver's license; under 17";Upper bound 95% confidence interval;2021;80.2;6.5
3148;Population: 12 years or older;Total male and female;"No driver's license; under 17";Upper bound 95% confidence interval;2022;83.9;8.5
3149;Population: 12 years or older;Total male and female;"No driver's license; under 17";Upper bound 95% confidence interval;2023;85.1;9.1
3150;Population: 12 years or older;Male;Total persons;Value;2018;82.4;8.5
3151;Population: 12 years or older;Male;Total persons;Value;2019;82.1;8.4
3152;Population: 12 years or older;Male;Total persons;Value;2020;73.9;3.8
3153;Population: 12 years or older;Male;Total persons;Value;2021;77.4;4.1
3154;Population: 12 years or older;Male;Total persons;Value;2022;79.5;5.9
3155;Population: 12 years or older;Male;Total persons;Value;2023;80.2;6.9
3156;Population: 12 years or older;Male;Total persons;Lower bound 95% confidence interval;2018;81.8;8.1
3157;Population: 12 years or older;Male;Total persons;Lower bound 95% confidence interval;2019;81.4;8.0
3158;Population: 12 years or older;Male;Total persons;Lower bound 95% confidence interval;2020;73.4;3.6
3159;Population: 12 years or older;Male;Total persons;Lower bound 95% confidence interval;2021;76.8;3.8
3160;Population: 12 years or older;Male;Total persons;Lower bound 95% confidence interval;2022;78.8;5.6
3161;Population: 12 years or older;Male;Total persons;Lower bound 95% confidence interval;2023;79.6;6.6
3162;Population: 12 years or older;Male;Total persons;Upper bound 95% confidence interval;2018;83.0;8.9
3163;Population: 12 years or older;Male;Total persons;Upper bound 95% confidence interval;2019;82.7;8.8
3164;Population: 12 years or older;Male;Total persons;Upper bound 95% confidence interval;2020;74.5;4.1
3165;Population: 12 years or older;Male;Total persons;Upper bound 95% confidence interval;2021;77.9;4.3
3166;Population: 12 years or older;Male;Total persons;Upper bound 95% confidence interval;2022;80.0;6.2
3167;Population: 12 years or older;Male;Total persons;Upper bound 95% confidence interval;2023;80.7;7.2
3168;Population: 12 years or older;Male;Age: 6 to 11 years;Value;2018;;
3169;Population: 12 years or older;Male;Age: 6 to 11 years;Value;2019;;
3170;Population: 12 years or older;Male;Age: 6 to 11 years;Value;2020;;
3171;Population: 12 years or older;Male;Age: 6 to 11 years;Value;2021;;
3172;Population: 12 years or older;Male;Age: 6 to 11 years;Value;2022;;
3173;Population: 12 years or older;Male;Age: 6 to 11 years;Value;2023;;
3174;Population: 12 years or older;Male;Age: 6 to 11 years;Lower bound 95% confidence interval;2018;;
3175;Population: 12 years or older;Male;Age: 6 to 11 years;Lower bound 95% confidence interval;2019;;
3176;Population: 12 years or older;Male;Age: 6 to 11 years;Lower bound 95% confidence interval;2020;;
3177;Population: 12 years or older;Male;Age: 6 to 11 years;Lower bound 95% confidence interval;2021;;
3178;Population: 12 years or older;Male;Age: 6 to 11 years;Lower bound 95% confidence interval;2022;;
3179;Population: 12 years or older;Male;Age: 6 to 11 years;Lower bound 95% confidence interval;2023;;
3180;Population: 12 years or older;Male;Age: 6 to 11 years;Upper bound 95% confidence interval;2018;;
3181;Population: 12 years or older;Male;Age: 6 to 11 years;Upper bound 95% confidence interval;2019;;
3182;Population: 12 years or older;Male;Age: 6 to 11 years;Upper bound 95% confidence interval;2020;;
3183;Population: 12 years or older;Male;Age: 6 to 11 years;Upper bound 95% confidence interval;2021;;
3184;Population: 12 years or older;Male;Age: 6 to 11 years;Upper bound 95% confidence interval;2022;;
3185;Population: 12 years or older;Male;Age: 6 to 11 years;Upper bound 95% confidence interval;2023;;
3186;Population: 12 years or older;Male;Age: 12 to 17 years;Value;2018;85.7;10.1
3187;Population: 12 years or older;Male;Age: 12 to 17 years;Value;2019;86.3;9.3
3188;Population: 12 years or older;Male;Age: 12 to 17 years;Value;2020;72.1;6.2
3189;Population: 12 years or older;Male;Age: 12 to 17 years;Value;2021;77.7;5.4
3190;Population: 12 years or older;Male;Age: 12 to 17 years;Value;2022;82.5;7.6
3191;Population: 12 years or older;Male;Age: 12 to 17 years;Value;2023;83.5;8.5
3192;Population: 12 years or older;Male;Age: 12 to 17 years;Lower bound 95% confidence interval;2018;83.9;8.9
3193;Population: 12 years or older;Male;Age: 12 to 17 years;Lower bound 95% confidence interval;2019;84.2;7.9
3194;Population: 12 years or older;Male;Age: 12 to 17 years;Lower bound 95% confidence interval;2020;69.8;5.1
3195;Population: 12 years or older;Male;Age: 12 to 17 years;Lower bound 95% confidence interval;2021;75.6;4.5
3196;Population: 12 years or older;Male;Age: 12 to 17 years;Lower bound 95% confidence interval;2022;80.2;6.4
3197;Population: 12 years or older;Male;Age: 12 to 17 years;Lower bound 95% confidence interval;2023;81.4;7.2
3198;Population: 12 years or older;Male;Age: 12 to 17 years;Upper bound 95% confidence interval;2018;87.4;11.6
3199;Population: 12 years or older;Male;Age: 12 to 17 years;Upper bound 95% confidence interval;2019;88.2;10.9
3200;Population: 12 years or older;Male;Age: 12 to 17 years;Upper bound 95% confidence interval;2020;74.3;7.5
3201;Population: 12 years or older;Male;Age: 12 to 17 years;Upper bound 95% confidence interval;2021;79.7;6.6
3202;Population: 12 years or older;Male;Age: 12 to 17 years;Upper bound 95% confidence interval;2022;84.6;8.9
3203;Population: 12 years or older;Male;Age: 12 to 17 years;Upper bound 95% confidence interval;2023;85.3;9.8
3204;Population: 12 years or older;Male;Age: 18 to 24 years;Value;2018;85.6;21.1
3205;Population: 12 years or older;Male;Age: 18 to 24 years;Value;2019;83.4;20.7
3206;Population: 12 years or older;Male;Age: 18 to 24 years;Value;2020;73.3;9.3
3207;Population: 12 years or older;Male;Age: 18 to 24 years;Value;2021;75.6;11.9
3208;Population: 12 years or older;Male;Age: 18 to 24 years;Value;2022;79.5;16.4
3209;Population: 12 years or older;Male;Age: 18 to 24 years;Value;2023;79.3;17.3
3210;Population: 12 years or older;Male;Age: 18 to 24 years;Lower bound 95% confidence interval;2018;83.7;19.4
3211;Population: 12 years or older;Male;Age: 18 to 24 years;Lower bound 95% confidence interval;2019;81.2;18.8
