ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
4891;Nat. person without sole proprietorship;Age unknown;2019 May;0
4892;Nat. person without sole proprietorship;Age unknown;2019 June;0
4893;Nat. person without sole proprietorship;Age unknown;2019 2nd quarter;0
4894;Nat. person without sole proprietorship;Age unknown;2019 July;0
4895;Nat. person without sole proprietorship;Age unknown;2019 August;0
4896;Nat. person without sole proprietorship;Age unknown;2019 September;0
4897;Nat. person without sole proprietorship;Age unknown;2019 3rd quarter;0
4898;Nat. person without sole proprietorship;Age unknown;2019 October;0
4899;Nat. person without sole proprietorship;Age unknown;2019 November;0
4900;Nat. person without sole proprietorship;Age unknown;2019 December;0
4901;Nat. person without sole proprietorship;Age unknown;2019 4th quarter;0
4902;Nat. person without sole proprietorship;Age unknown;2019;0
4903;Nat. person without sole proprietorship;Age unknown;2020 January;0
4904;Nat. person without sole proprietorship;Age unknown;2020 February;0
4905;Nat. person without sole proprietorship;Age unknown;2020 March;0
4906;Nat. person without sole proprietorship;Age unknown;2020 1st quarter;0
4907;Nat. person without sole proprietorship;Age unknown;2020 April;0
4908;Nat. person without sole proprietorship;Age unknown;2020 May;0
4909;Nat. person without sole proprietorship;Age unknown;2020 June;0
4910;Nat. person without sole proprietorship;Age unknown;2020 2nd quarter;0
4911;Nat. person without sole proprietorship;Age unknown;2020 July;0
4912;Nat. person without sole proprietorship;Age unknown;2020 August;0
4913;Nat. person without sole proprietorship;Age unknown;2020 September;0
4914;Nat. person without sole proprietorship;Age unknown;2020 3rd quarter;0
4915;Nat. person without sole proprietorship;Age unknown;2020 October;0
4916;Nat. person without sole proprietorship;Age unknown;2020 November;0
4917;Nat. person without sole proprietorship;Age unknown;2020 December;0
4918;Nat. person without sole proprietorship;Age unknown;2020 4th quarter;0
4919;Nat. person without sole proprietorship;Age unknown;2020;0
4920;Nat. person without sole proprietorship;Age unknown;2021 January;0
4921;Nat. person without sole proprietorship;Age unknown;2021 February;0
4922;Nat. person without sole proprietorship;Age unknown;2021 March;0
4923;Nat. person without sole proprietorship;Age unknown;2021 1st quarter;0
4924;Nat. person without sole proprietorship;Age unknown;2021 April;0
4925;Nat. person without sole proprietorship;Age unknown;2021 May;0
4926;Nat. person without sole proprietorship;Age unknown;2021 June;0
4927;Nat. person without sole proprietorship;Age unknown;2021 2nd quarter;0
4928;Nat. person without sole proprietorship;Age unknown;2021 July;0
4929;Nat. person without sole proprietorship;Age unknown;2021 August;0
4930;Nat. person without sole proprietorship;Age unknown;2021 September;0
4931;Nat. person without sole proprietorship;Age unknown;2021 3rd quarter;0
4932;Nat. person without sole proprietorship;Age unknown;2021 October;0
4933;Nat. person without sole proprietorship;Age unknown;2021 November;0
4934;Nat. person without sole proprietorship;Age unknown;2021 December;0
4935;Nat. person without sole proprietorship;Age unknown;2021 4th quarter;0
4936;Nat. person without sole proprietorship;Age unknown;2021;0
4937;Nat. person without sole proprietorship;Age unknown;2022 January;0
4938;Nat. person without sole proprietorship;Age unknown;2022 February;0
4939;Nat. person without sole proprietorship;Age unknown;2022 March;0
4940;Nat. person without sole proprietorship;Age unknown;2022 1st quarter;0
4941;Nat. person without sole proprietorship;Age unknown;2022 April;0
4942;Nat. person without sole proprietorship;Age unknown;2022 May;0
4943;Nat. person without sole proprietorship;Age unknown;2022 June;0
4944;Nat. person without sole proprietorship;Age unknown;2022 2nd quarter;0
4945;Nat. person without sole proprietorship;Age unknown;2022 July;0
4946;Nat. person without sole proprietorship;Age unknown;2022 August;0
4947;Nat. person without sole proprietorship;Age unknown;2022 September;0
4948;Nat. person without sole proprietorship;Age unknown;2022 3rd quarter;0
4949;Nat. person without sole proprietorship;Age unknown;2022 October;0
4950;Nat. person without sole proprietorship;Age unknown;2022 November;0
4951;Nat. person without sole proprietorship;Age unknown;2022 December;0
4952;Nat. person without sole proprietorship;Age unknown;2022 4th quarter;0
4953;Nat. person without sole proprietorship;Age unknown;2022;0
4954;Nat. person without sole proprietorship;Age unknown;2023 January;0
4955;Nat. person without sole proprietorship;Age unknown;2023 February;0
4956;Nat. person without sole proprietorship;Age unknown;2023 March;0
4957;Nat. person without sole proprietorship;Age unknown;2023 1st quarter;0
4958;Nat. person without sole proprietorship;Age unknown;2023 April;0
4959;Nat. person without sole proprietorship;Age unknown;2023 May;0
4960;Nat. person without sole proprietorship;Age unknown;2023 June;0
4961;Nat. person without sole proprietorship;Age unknown;2023 2nd quarter;0
4962;Nat. person without sole proprietorship;Age unknown;2023 July;0
4963;Nat. person without sole proprietorship;Age unknown;2023 August;0
4964;Nat. person without sole proprietorship;Age unknown;2023 September;0
4965;Nat. person without sole proprietorship;Age unknown;2023 3rd quarter;0
4966;Nat. person without sole proprietorship;Age unknown;2023 October;0
4967;Nat. person without sole proprietorship;Age unknown;2023 November;0
4968;Nat. person without sole proprietorship;Age unknown;2023 December;0
4969;Nat. person without sole proprietorship;Age unknown;2023 4th quarter;0
4970;Nat. person without sole proprietorship;Age unknown;2023;0
4971;Nat. person without sole proprietorship;Age unknown;2024 January;0
4972;Nat. person without sole proprietorship;Age unknown;2024 February;0
4973;Nat. person without sole proprietorship;Age unknown;2024 March;1
4974;Nat. person without sole proprietorship;Age unknown;2024 1st quarter;1
4975;Nat. person without sole proprietorship;Age unknown;2024 April;1
4976;Nat. person without sole proprietorship;Age unknown;2024 May;0
4977;Nat. person without sole proprietorship;Age unknown;2024 June;0
4978;Nat. person without sole proprietorship;Age unknown;2024 2nd quarter;1
4979;Nat. person without sole proprietorship;Age unknown;2024 July;0
4980;Nat. person without sole proprietorship;Age unknown;2024 August;0
4981;Nat. person without sole proprietorship;Age unknown;2024 September;0
4982;Nat. person without sole proprietorship;Age unknown;2024 3rd quarter;0
4983;Nat. person without sole proprietorship;Age unknown;2024 October;0
4984;Nat. person without sole proprietorship;Age unknown;2024 November;0
4985;Nat. person without sole proprietorship;Age unknown;2024 December;0
4986;Nat. person without sole proprietorship;Age unknown;2024 4th quarter;0
4987;Nat. person without sole proprietorship;Age unknown;2024;2
4988;Nat. person without sole proprietorship;Age unknown;2025 January;0
4989;Nat. person without sole proprietorship;Age unknown;2025 February;0
4990;Nat. person without sole proprietorship;Age unknown;2025 March;0
4991;Nat. person without sole proprietorship;Age unknown;2025 1st quarter;0
4992;Nat. person with sole proprietorship;Total;2013 January;101
4993;Nat. person with sole proprietorship;Total;2013 February;72
4994;Nat. person with sole proprietorship;Total;2013 March;99
4995;Nat. person with sole proprietorship;Total;2013 1st quarter;272
4996;Nat. person with sole proprietorship;Total;2013 April;93
4997;Nat. person with sole proprietorship;Total;2013 May;91
4998;Nat. person with sole proprietorship;Total;2013 June;85
4999;Nat. person with sole proprietorship;Total;2013 2nd quarter;269
5000;Nat. person with sole proprietorship;Total;2013 July;101
5001;Nat. person with sole proprietorship;Total;2013 August;72
5002;Nat. person with sole proprietorship;Total;2013 September;79
5003;Nat. person with sole proprietorship;Total;2013 3rd quarter;252
5004;Nat. person with sole proprietorship;Total;2013 October;92
5005;Nat. person with sole proprietorship;Total;2013 November;96
5006;Nat. person with sole proprietorship;Total;2013 December;74
5007;Nat. person with sole proprietorship;Total;2013 4th quarter;262
5008;Nat. person with sole proprietorship;Total;2013;1055
5009;Nat. person with sole proprietorship;Total;2014 January;102
5010;Nat. person with sole proprietorship;Total;2014 February;72
5011;Nat. person with sole proprietorship;Total;2014 March;70
5012;Nat. person with sole proprietorship;Total;2014 1st quarter;244
5013;Nat. person with sole proprietorship;Total;2014 April;113
5014;Nat. person with sole proprietorship;Total;2014 May;69
5015;Nat. person with sole proprietorship;Total;2014 June;60
5016;Nat. person with sole proprietorship;Total;2014 2nd quarter;242
5017;Nat. person with sole proprietorship;Total;2014 July;90
5018;Nat. person with sole proprietorship;Total;2014 August;72
5019;Nat. person with sole proprietorship;Total;2014 September;91
5020;Nat. person with sole proprietorship;Total;2014 3rd quarter;253
5021;Nat. person with sole proprietorship;Total;2014 October;71
5022;Nat. person with sole proprietorship;Total;2014 November;70
5023;Nat. person with sole proprietorship;Total;2014 December;96
5024;Nat. person with sole proprietorship;Total;2014 4th quarter;237
5025;Nat. person with sole proprietorship;Total;2014;976
5026;Nat. person with sole proprietorship;Total;2015 January;75
5027;Nat. person with sole proprietorship;Total;2015 February;58
5028;Nat. person with sole proprietorship;Total;2015 March;67
5029;Nat. person with sole proprietorship;Total;2015 1st quarter;200
5030;Nat. person with sole proprietorship;Total;2015 April;58
5031;Nat. person with sole proprietorship;Total;2015 May;54
5032;Nat. person with sole proprietorship;Total;2015 June;66
5033;Nat. person with sole proprietorship;Total;2015 2nd quarter;178
5034;Nat. person with sole proprietorship;Total;2015 July;55
5035;Nat. person with sole proprietorship;Total;2015 August;47
5036;Nat. person with sole proprietorship;Total;2015 September;75
5037;Nat. person with sole proprietorship;Total;2015 3rd quarter;177
5038;Nat. person with sole proprietorship;Total;2015 October;51
5039;Nat. person with sole proprietorship;Total;2015 November;49
5040;Nat. person with sole proprietorship;Total;2015 December;80
5041;Nat. person with sole proprietorship;Total;2015 4th quarter;180
5042;Nat. person with sole proprietorship;Total;2015;735
5043;Nat. person with sole proprietorship;Total;2016 January;50
5044;Nat. person with sole proprietorship;Total;2016 February;51
5045;Nat. person with sole proprietorship;Total;2016 March;71
5046;Nat. person with sole proprietorship;Total;2016 1st quarter;172
5047;Nat. person with sole proprietorship;Total;2016 April;49
5048;Nat. person with sole proprietorship;Total;2016 May;54
5049;Nat. person with sole proprietorship;Total;2016 June;56
5050;Nat. person with sole proprietorship;Total;2016 2nd quarter;159
5051;Nat. person with sole proprietorship;Total;2016 July;51
5052;Nat. person with sole proprietorship;Total;2016 August;51
5053;Nat. person with sole proprietorship;Total;2016 September;53
5054;Nat. person with sole proprietorship;Total;2016 3rd quarter;155
5055;Nat. person with sole proprietorship;Total;2016 October;48
5056;Nat. person with sole proprietorship;Total;2016 November;45
5057;Nat. person with sole proprietorship;Total;2016 December;34
