ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
4448;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2002;93.4;88.0
4449;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2006;90.6;89.1
4450;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2009;92.9;84.6
4451;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;91.8;87.1
4452;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;87.5;87.5
4453;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;92.0;88.3
4454;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;88.3;87.8
4455;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2024;86.9;88.4
4456;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2002;97.0;92.5
4457;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2006;94.9;93.3
4458;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2009;96.5;90.1
4459;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;96.5;93.3
4460;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;93.0;92.4
4461;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;95.5;92.8
4462;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;93.4;92.8
4463;Total;Age head of household: older than 74;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2024;91.7;92.7
4464;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2002;93.6;89.1
4465;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2006;93.8;89.1
4466;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2009;92.4;87.0
4467;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2012;92.3;89.4
4468;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2015;92.5;88.0
4469;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2018;90.0;86.9
4470;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2021;91.5;85.2
4471;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Value;2024;87.8;85.3
4472;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2002;92.3;87.4
4473;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2006;92.5;87.6
4474;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2009;90.9;85.2
4475;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;90.7;87.7
4476;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;91.0;86.2
4477;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;88.3;85.1
4478;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;89.8;83.1
4479;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2024;85.7;83.1
4480;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2002;94.7;90.5
4481;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2006;94.9;90.5
4482;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2009;93.7;88.6
4483;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;93.7;90.9
4484;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;93.9;89.6
4485;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;91.4;88.5
4486;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;93.0;87.1
4487;Total;Age head of household: older than 74;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2024;89.6;87.3
4488;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2002;92.9;88.6
4489;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2006;93.6;88.9
4490;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2009;94.6;89.8
4491;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2012;94.0;89.7
4492;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2015;91.9;86.7
4493;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2018;92.5;89.2
4494;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2021;91.1;88.5
4495;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Value;2024;89.5;87.4
4496;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2002;91.1;86.4
4497;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2006;92.0;86.8
4498;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2009;92.9;87.8
4499;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;92.1;87.4
4500;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;90.0;84.5
4501;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;90.8;87.3
4502;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;89.2;86.5
4503;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2024;87.8;85.5
4504;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2002;94.4;90.4
4505;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2006;94.9;90.8
4506;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2009;95.9;91.4
4507;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;95.5;91.7
4508;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;93.4;88.6
4509;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;93.9;90.8
4510;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;92.7;90.2
4511;Total;Age head of household: older than 74;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2024;91.1;89.1
4512;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2002;96.2;91.6
4513;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2006;95.8;90.9
4514;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2009;95.8;90.2
4515;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2012;95.3;91.2
4516;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2015;95.2;90.3
4517;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2018;93.5;90.8
4518;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2021;94.5;91.1
4519;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Value;2024;90.4;89.6
4520;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2002;94.6;89.5
4521;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2006;94.4;88.9
4522;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2009;94.2;88.3
4523;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;93.6;89.0
4524;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;93.4;88.0
4525;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;91.9;88.9
4526;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;92.9;89.1
4527;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2024;88.5;87.7
4528;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2002;97.3;93.4
4529;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2006;96.9;92.5
4530;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2009;96.9;91.9
4531;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;96.6;93.0
4532;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;96.6;92.2
4533;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;94.9;92.4
4534;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;95.7;92.8
4535;Total;Age head of household: older than 74;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2024;92.1;91.3
4536;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2002;100.0;91.8
4537;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2006;94.8;91.0
4538;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2009;95.9;91.2
4539;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2012;96.5;92.9
4540;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2015;93.5;87.8
4541;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2018;94.4;90.5
4542;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2021;95.8;90.4
4543;Total;Age head of household: older than 74;Year of construction: from 2001;Value;2024;93.7;89.8
4544;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2002;100.0;75.8
4545;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2006;89.5;84.7
4546;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2009;92.6;87.5
4547;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2012;94.2;89.7
4548;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2015;90.7;84.5
4549;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2018;92.4;88.0
4550;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2021;93.9;87.7
4551;Total;Age head of household: older than 74;Year of construction: from 2001;Lower bound 95% confidence interval;2024;91.6;87.6
4552;Total;Age head of household: older than 74;Year of construction: from 2001;Upper bound 95% confidence interval;2002;100.0;97.5
4553;Total;Age head of household: older than 74;Year of construction: from 2001;Upper bound 95% confidence interval;2006;97.5;94.9
4554;Total;Age head of household: older than 74;Year of construction: from 2001;Upper bound 95% confidence interval;2009;97.8;93.8
4555;Total;Age head of household: older than 74;Year of construction: from 2001;Upper bound 95% confidence interval;2012;97.9;95.2
