ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
4111;Local intergovernmental organisations;B2n Net operating surplus;2017;0
4112;Local intergovernmental organisations;B2n Net operating surplus;2018;0
4113;Local intergovernmental organisations;B2n Net operating surplus;2019;0
4114;Local intergovernmental organisations;B2n Net operating surplus;2020;0
4115;Local intergovernmental organisations;B2n Net operating surplus;2021;0
4116;Local intergovernmental organisations;B2n Net operating surplus;2022;0
4117;Local intergovernmental organisations;B2n Net operating surplus;2023;0
4118;Local intergovernmental organisations;P3 Final consumption expenditure;1995;1534
4119;Local intergovernmental organisations;P3 Final consumption expenditure;1996;1350
4120;Local intergovernmental organisations;P3 Final consumption expenditure;1997;1376
4121;Local intergovernmental organisations;P3 Final consumption expenditure;1998;1508
4122;Local intergovernmental organisations;P3 Final consumption expenditure;1999;1471
4123;Local intergovernmental organisations;P3 Final consumption expenditure;2000;1885
4124;Local intergovernmental organisations;P3 Final consumption expenditure;2001;1988
4125;Local intergovernmental organisations;P3 Final consumption expenditure;2002;2176
4126;Local intergovernmental organisations;P3 Final consumption expenditure;2003;2402
4127;Local intergovernmental organisations;P3 Final consumption expenditure;2004;2586
4128;Local intergovernmental organisations;P3 Final consumption expenditure;2005;2957
4129;Local intergovernmental organisations;P3 Final consumption expenditure;2006;3091
4130;Local intergovernmental organisations;P3 Final consumption expenditure;2007;3414
4131;Local intergovernmental organisations;P3 Final consumption expenditure;2008;3833
4132;Local intergovernmental organisations;P3 Final consumption expenditure;2009;4064
4133;Local intergovernmental organisations;P3 Final consumption expenditure;2010;4378
4134;Local intergovernmental organisations;P3 Final consumption expenditure;2011;4487
4135;Local intergovernmental organisations;P3 Final consumption expenditure;2012;4662
4136;Local intergovernmental organisations;P3 Final consumption expenditure;2013;5386
4137;Local intergovernmental organisations;P3 Final consumption expenditure;2014;5472
4138;Local intergovernmental organisations;P3 Final consumption expenditure;2015;5865
4139;Local intergovernmental organisations;P3 Final consumption expenditure;2016;6142
4140;Local intergovernmental organisations;P3 Final consumption expenditure;2017;6481
4141;Local intergovernmental organisations;P3 Final consumption expenditure;2018;6653
4142;Local intergovernmental organisations;P3 Final consumption expenditure;2019;6940
4143;Local intergovernmental organisations;P3 Final consumption expenditure;2020;7802
4144;Local intergovernmental organisations;P3 Final consumption expenditure;2021;9037
4145;Local intergovernmental organisations;P3 Final consumption expenditure;2022;8778
4146;Local intergovernmental organisations;P3 Final consumption expenditure;2023;8682
4147;Local intergovernmental organisations;P31 Individual final consumption expen..;1995;1313
4148;Local intergovernmental organisations;P31 Individual final consumption expen..;1996;1164
4149;Local intergovernmental organisations;P31 Individual final consumption expen..;1997;1194
4150;Local intergovernmental organisations;P31 Individual final consumption expen..;1998;1318
4151;Local intergovernmental organisations;P31 Individual final consumption expen..;1999;1294
4152;Local intergovernmental organisations;P31 Individual final consumption expen..;2000;1670
4153;Local intergovernmental organisations;P31 Individual final consumption expen..;2001;1798
4154;Local intergovernmental organisations;P31 Individual final consumption expen..;2002;1882
4155;Local intergovernmental organisations;P31 Individual final consumption expen..;2003;2047
4156;Local intergovernmental organisations;P31 Individual final consumption expen..;2004;2124
4157;Local intergovernmental organisations;P31 Individual final consumption expen..;2005;2306
4158;Local intergovernmental organisations;P31 Individual final consumption expen..;2006;2346
4159;Local intergovernmental organisations;P31 Individual final consumption expen..;2007;2455
4160;Local intergovernmental organisations;P31 Individual final consumption expen..;2008;2799
4161;Local intergovernmental organisations;P31 Individual final consumption expen..;2009;2858
4162;Local intergovernmental organisations;P31 Individual final consumption expen..;2010;3109
4163;Local intergovernmental organisations;P31 Individual final consumption expen..;2011;3067
4164;Local intergovernmental organisations;P31 Individual final consumption expen..;2012;3161
4165;Local intergovernmental organisations;P31 Individual final consumption expen..;2013;3451
4166;Local intergovernmental organisations;P31 Individual final consumption expen..;2014;3116
4167;Local intergovernmental organisations;P31 Individual final consumption expen..;2015;3449
4168;Local intergovernmental organisations;P31 Individual final consumption expen..;2016;3645
4169;Local intergovernmental organisations;P31 Individual final consumption expen..;2017;3996
4170;Local intergovernmental organisations;P31 Individual final consumption expen..;2018;4064
4171;Local intergovernmental organisations;P31 Individual final consumption expen..;2019;4198
4172;Local intergovernmental organisations;P31 Individual final consumption expen..;2020;4936
4173;Local intergovernmental organisations;P31 Individual final consumption expen..;2021;5631
4174;Local intergovernmental organisations;P31 Individual final consumption expen..;2022;5362
4175;Local intergovernmental organisations;P31 Individual final consumption expen..;2023;5183
4176;Local intergovernmental organisations;D631 Transfers in kind non-market produc;1995;1313
4177;Local intergovernmental organisations;D631 Transfers in kind non-market produc;1996;1164
4178;Local intergovernmental organisations;D631 Transfers in kind non-market produc;1997;1194
4179;Local intergovernmental organisations;D631 Transfers in kind non-market produc;1998;1318
4180;Local intergovernmental organisations;D631 Transfers in kind non-market produc;1999;1294
4181;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2000;1670
4182;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2001;1790
4183;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2002;1871
4184;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2003;2026
4185;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2004;2097
4186;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2005;2209
4187;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2006;2229
4188;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2007;2253
4189;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2008;2413
4190;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2009;2424
4191;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2010;2518
4192;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2011;2494
4193;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2012;2564
4194;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2013;2840
4195;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2014;2755
4196;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2015;2803
4197;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2016;2949
4198;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2017;3274
4199;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2018;3249
4200;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2019;3296
4201;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2020;4015
4202;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2021;4696
4203;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2022;4329
4204;Local intergovernmental organisations;D631 Transfers in kind non-market produc;2023;4012
4205;Local intergovernmental organisations;D632 Social transfers in kind via mark..;1995;0
4206;Local intergovernmental organisations;D632 Social transfers in kind via mark..;1996;0
4207;Local intergovernmental organisations;D632 Social transfers in kind via mark..;1997;0
4208;Local intergovernmental organisations;D632 Social transfers in kind via mark..;1998;0
4209;Local intergovernmental organisations;D632 Social transfers in kind via mark..;1999;0
4210;Local intergovernmental organisations;D632 Social transfers in kind via mark..;2000;0
4211;Local intergovernmental organisations;D632 Social transfers in kind via mark..;2001;8
4212;Local intergovernmental organisations;D632 Social transfers in kind via mark..;2002;11
4213;Local intergovernmental organisations;D632 Social transfers in kind via mark..;2003;21
4214;Local intergovernmental organisations;D632 Social transfers in kind via mark..;2004;27
4215;Local intergovernmental organisations;D632 Social transfers in kind via mark..;2005;97
4216;Local intergovernmental organisations;D632 Social transfers in kind via mark..;2006;117
