ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
6580;Total;Household with Dutch background;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;833.0;608.0;224.0;29.9;;;
6581;Total;Household with Dutch background;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;808.0;591.0;216.0;28.5;;;
6582;Total;Household with Dutch background;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;829.0;614.0;214.0;27.8;;;
6583;Total;Household with Dutch background;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;825.0;620.0;204.0;25.5;;;
6584;Total;Household with Dutch background;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;852.0;626.0;227.0;30.6;;;
6585;Total;Household with Dutch background;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;822.0;604.0;218.0;29.1;;;
6586;Total;Household with Dutch background;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;842.0;627.0;216.0;28.4;;;
6587;Total;Household with Dutch background;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;840.0;635.0;206.0;26.2;;;
6588;Total;Household with Dutch background;Living surface: 150 m² or more;Value;2012;1098.0;828.0;270.0;30.7;;;
6589;Total;Household with Dutch background;Living surface: 150 m² or more;Value;2015;1120.0;849.0;271.0;28.4;;;
6590;Total;Household with Dutch background;Living surface: 150 m² or more;Value;2018;1126.0;860.0;266.0;27.8;;;
6591;Total;Household with Dutch background;Living surface: 150 m² or more;Value;2021;1123.0;857.0;266.0;25.0;;;
6592;Total;Household with Dutch background;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;1083.0;813.0;269.0;30.2;;;
6593;Total;Household with Dutch background;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;1098.0;828.0;269.0;27.9;;;
6594;Total;Household with Dutch background;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;1110.0;845.0;264.0;27.4;;;
6595;Total;Household with Dutch background;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;1106.0;841.0;264.0;24.5;;;
6596;Total;Household with Dutch background;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;1113.0;842.0;272.0;31.1;;;
6597;Total;Household with Dutch background;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;1141.0;870.0;273.0;28.9;;;
6598;Total;Household with Dutch background;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;1141.0;875.0;268.0;28.3;;;
6599;Total;Household with Dutch background;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;1139.0;873.0;268.0;25.4;;;
6600;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Value;2012;681.0;478.0;203.0;28.0;;;
6601;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Value;2015;675.0;472.0;202.0;28.4;;;
6602;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Value;2018;704.0;501.0;203.0;27.2;;;
6603;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Value;2021;723.0;530.0;193.0;24.1;;;
6604;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;659.0;457.0;199.0;27.0;;;
6605;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2015;657.0;455.0;198.0;27.0;;;
6606;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2018;685.0;482.0;199.0;25.8;;;
6607;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2021;696.0;503.0;189.0;22.9;;;
6608;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2012;704.0;500.0;207.0;29.1;;;
6609;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2015;693.0;490.0;207.0;29.7;;;
6610;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2018;723.0;520.0;207.0;28.6;;;
6611;Total;Household with mixed background;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2021;751.0;558.0;197.0;25.2;;;
6612;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Value;2012;813.0;591.0;221.0;27.1;;;
6613;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Value;2015;791.0;581.0;210.0;26.5;;;
6614;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Value;2018;848.0;637.0;211.0;26.4;;;
6615;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Value;2021;820.0;613.0;208.0;23.0;;;
6616;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2012;782.0;561.0;218.0;26.2;;;
6617;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2015;774.0;564.0;206.0;25.8;;;
6618;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2018;818.0;608.0;208.0;25.6;;;
6619;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2021;795.0;588.0;204.0;22.1;;;
6620;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2012;843.0;622.0;225.0;27.9;;;
6621;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2015;809.0;599.0;213.0;27.3;;;
6622;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2018;878.0;667.0;214.0;27.2;;;
6623;Total;Household with mixed background;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2021;845.0;637.0;212.0;23.9;;;
6624;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Value;2012;944.0;706.0;238.0;27.6;;;
6625;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Value;2015;909.0;683.0;226.0;26.1;;;
6626;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Value;2018;940.0;715.0;225.0;25.2;;;
6627;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Value;2021;940.0;724.0;216.0;22.2;;;
6628;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2012;921.0;683.0;234.0;26.8;;;
6629;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2015;889.0;663.0;223.0;25.3;;;
6630;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2018;920.0;695.0;221.0;24.4;;;
6631;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2021;914.0;698.0;212.0;21.4;;;
6632;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2012;966.0;728.0;241.0;28.5;;;
6633;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2015;930.0;704.0;229.0;27.0;;;
6634;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2018;959.0;734.0;228.0;25.9;;;
6635;Total;Household with mixed background;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2021;966.0;749.0;219.0;22.9;;;
6636;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Value;2012;1284.0;996.0;288.0;28.2;;;
6637;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Value;2015;1248.0;975.0;273.0;26.2;;;
6638;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Value;2018;1287.0;1019.0;267.0;26.2;;;
6639;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Value;2021;1327.0;1074.0;254.0;23.5;;;
6640;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2012;1244.0;958.0;283.0;27.2;;;
6641;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2015;1210.0;938.0;268.0;25.3;;;
6642;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2018;1244.0;978.0;263.0;25.1;;;
6643;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2021;1287.0;1035.0;249.0;22.7;;;
6644;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2012;1324.0;1035.0;292.0;29.1;;;
6645;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2015;1287.0;1013.0;278.0;27.1;;;
6646;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2018;1329.0;1061.0;272.0;27.2;;;
6647;Total;Household with mixed background;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2021;1367.0;1113.0;258.0;24.2;;;
6648;Total;Household with mixed background;Year of construction: 1000 to 1945;Value;2012;1060.0;794.0;266.0;27.3;;;
6649;Total;Household with mixed background;Year of construction: 1000 to 1945;Value;2015;1058.0;801.0;256.0;26.3;;;
6650;Total;Household with mixed background;Year of construction: 1000 to 1945;Value;2018;1113.0;861.0;252.0;26.8;;;
6651;Total;Household with mixed background;Year of construction: 1000 to 1945;Value;2021;1195.0;944.0;251.0;23.4;;;
6652;Total;Household with mixed background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;1010.0;746.0;260.0;26.1;;;
6653;Total;Household with mixed background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;1009.0;755.0;250.0;25.2;;;
6654;Total;Household with mixed background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;1062.0;812.0;247.0;25.6;;;
6655;Total;Household with mixed background;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;1141.0;893.0;245.0;22.4;;;
6656;Total;Household with mixed background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;1110.0;842.0;272.0;28.6;;;
6657;Total;Household with mixed background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;1106.0;848.0;262.0;27.4;;;
6658;Total;Household with mixed background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;1164.0;910.0;258.0;28.0;;;
6659;Total;Household with mixed background;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;1249.0;996.0;257.0;24.3;;;
6660;Total;Household with mixed background;Year of construction: 1946 to 1970;Value;2012;848.0;609.0;239.0;27.9;;;
6661;Total;Household with mixed background;Year of construction: 1946 to 1970;Value;2015;872.0;634.0;238.0;27.2;;;
6662;Total;Household with mixed background;Year of construction: 1946 to 1970;Value;2018;894.0;663.0;231.0;26.1;;;
6663;Total;Household with mixed background;Year of construction: 1946 to 1970;Value;2021;889.0;663.0;226.0;23.1;;;
6664;Total;Household with mixed background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;819.0;582.0;234.0;27.1;;;
6665;Total;Household with mixed background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;835.0;599.0;233.0;26.1;;;
6666;Total;Household with mixed background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;857.0;628.0;226.0;25.1;;;
6667;Total;Household with mixed background;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;849.0;626.0;220.0;22.0;;;
6668;Total;Household with mixed background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;877.0;637.0;243.0;28.8;;;
6669;Total;Household with mixed background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;909.0;668.0;243.0;28.2;;;
6670;Total;Household with mixed background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;930.0;698.0;235.0;27.1;;;
6671;Total;Household with mixed background;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;929.0;701.0;231.0;24.2;;;
6672;Total;Household with mixed background;Year of construction: 1971 to 1985;Value;2012;919.0;673.0;247.0;27.6;;;
6673;Total;Household with mixed background;Year of construction: 1971 to 1985;Value;2015;860.0;627.0;233.0;25.9;;;
6674;Total;Household with mixed background;Year of construction: 1971 to 1985;Value;2018;906.0;674.0;232.0;25.6;;;
6675;Total;Household with mixed background;Year of construction: 1971 to 1985;Value;2021;907.0;680.0;227.0;22.9;;;
6676;Total;Household with mixed background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;883.0;637.0;242.0;26.6;;;
6677;Total;Household with mixed background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;835.0;604.0;229.0;25.0;;;
6678;Total;Household with mixed background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;870.0;639.0;228.0;24.6;;;
6679;Total;Household with mixed background;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;875.0;649.0;223.0;22.0;;;
6680;Total;Household with mixed background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;956.0;708.0;251.0;28.5;;;
6681;Total;Household with mixed background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;884.0;650.0;237.0;26.8;;;
6682;Total;Household with mixed background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;942.0;710.0;236.0;26.5;;;
6683;Total;Household with mixed background;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;939.0;711.0;231.0;23.8;;;
6684;Total;Household with mixed background;Year of construction: 1986 to 2000;Value;2012;1020.0;782.0;238.0;26.9;;;
6685;Total;Household with mixed background;Year of construction: 1986 to 2000;Value;2015;961.0;735.0;226.0;25.4;;;
6686;Total;Household with mixed background;Year of construction: 1986 to 2000;Value;2018;1013.0;785.0;228.0;24.6;;;
6687;Total;Household with mixed background;Year of construction: 1986 to 2000;Value;2021;950.0;733.0;217.0;21.8;;;
6688;Total;Household with mixed background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;983.0;746.0;234.0;25.9;;;
6689;Total;Household with mixed background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;931.0;706.0;222.0;24.3;;;
6690;Total;Household with mixed background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;971.0;744.0;224.0;23.7;;;
6691;Total;Household with mixed background;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;907.0;692.0;212.0;20.8;;;
6692;Total;Household with mixed background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;1057.0;817.0;243.0;27.9;;;
6693;Total;Household with mixed background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;991.0;764.0;230.0;26.5;;;
6694;Total;Household with mixed background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;1055.0;826.0;233.0;25.6;;;
6695;Total;Household with mixed background;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;993.0;775.0;221.0;22.8;;;
