ID;OwnerTenant;HouseholdCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
5745;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2006;93.5;90.3
5746;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2009;93.6;87.9
5747;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2012;92.7;87.8
5748;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2015;89.0;88.4
5749;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2018;89.1;86.6
5750;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2021;97.6;89.5
5751;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zeeland (PV);2024;88.2;89.3
5752;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2002;92.1;87.5
5753;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2006;92.7;88.3
5754;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2009;90.7;85.8
5755;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2012;91.7;87.7
5756;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2015;88.1;84.0
5757;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;85.0;86.1
5758;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;88.3;89.1
5759;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Brabant (PV);2024;80.7;82.9
5760;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2002;91.6;84.5
5761;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2006;93.2;85.3
5762;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2009;91.5;83.9
5763;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2012;90.3;83.9
5764;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2015;86.9;83.3
5765;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2018;83.5;87.0
5766;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2021;87.0;87.3
5767;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Limburg (PV);2024;86.9;86.5
5768;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2002;96.0;91.0
5769;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2006;96.6;91.1
5770;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2009;97.4;90.6
5771;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2012;87.6;80.8
5772;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2015;94.3;84.2
5773;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2018;92.5;98.5
5774;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2021;;
5775;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Oost-Groningen (CR);2024;91.6;95.2
5776;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2002;98.3;93.5
5777;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2006;;
5778;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2009;;
5779;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2012;;
5780;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2015;;
5781;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2018;;
5782;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2021;;
5783;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2024;;
5784;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2002;89.8;89.5
5785;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2006;95.0;90.2
5786;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2009;89.6;88.9
5787;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2012;91.4;94.3
5788;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2015;84.8;78.8
5789;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2018;82.3;83.7
5790;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2021;92.2;88.6
5791;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Overig Groningen (CR);2024;86.2;82.2
5792;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2002;92.8;91.5
5793;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2006;93.5;91.7
5794;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2009;93.4;91.7
5795;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2012;92.2;88.6
5796;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2015;87.2;87.0
5797;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2018;88.5;88.9
5798;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2021;89.9;93.3
5799;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Friesland (CR);2024;84.1;92.5
5800;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2002;97.3;93.5
5801;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2006;95.6;97.0
5802;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2009;95.8;97.9
5803;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2012;96.9;98.8
5804;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2015;94.6;88.9
5805;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2018;97.2;94.8
5806;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2021;88.6;97.4
5807;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2024;95.0;95.1
5808;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2002;93.0;93.5
5809;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2006;93.9;91.6
5810;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2009;95.3;93.0
5811;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2012;94.2;92.6
5812;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2015;91.6;94.8
5813;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2018;83.0;85.5
5814;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2021;91.8;95.9
5815;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2024;88.4;91.8
5816;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2002;92.9;92.7
5817;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2006;96.3;92.5
5818;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2009;95.2;90.0
5819;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2012;97.9;96.7
5820;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2015;95.8;94.0
5821;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2018;87.7;97.5
5822;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2021;91.9;96.4
5823;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Drenthe (CR);2024;91.5;94.4
5824;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2002;93.9;90.9
5825;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2006;95.3;92.4
5826;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2009;94.3;89.0
5827;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2012;94.1;93.3
5828;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2015;95.1;87.1
5829;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2018;93.6;90.9
5830;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2021;98.0;87.3
5831;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2024;96.0;91.7
5832;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2002;95.9;92.0
5833;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2006;97.2;93.2
5834;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2009;93.5;89.0
5835;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2012;94.1;95.2
5836;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2015;88.4;87.2
5837;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2018;86.3;88.0
5838;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2021;92.4;96.4
5839;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2024;89.8;94.6
5840;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2002;94.1;88.9
5841;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2006;93.8;90.7
5842;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2009;94.7;89.0
5843;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2012;91.3;89.2
5844;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2015;89.7;89.0
5845;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2018;90.4;91.9
5846;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2021;89.7;90.1
5847;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Noord-Overijssel (CR);2024;93.9;90.5
5848;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2002;96.3;90.8
5849;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2006;91.4;85.8
5850;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2009;92.4;88.8
5851;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2012;93.6;97.7
5852;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2015;96.9;86.9
5853;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2018;98.0;93.0
5854;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2021;93.6;99.8
5855;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2024;89.1;91.0
5856;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2002;91.4;87.4
5857;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2006;89.6;86.1
5858;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2009;91.9;87.5
5859;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2012;91.3;88.0
5860;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2015;88.8;88.6
5861;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2018;81.4;81.6
5862;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2021;92.7;91.6
5863;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Twente (CR);2024;90.9;91.9
5864;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2002;93.3;90.0
5865;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2006;92.9;91.3
5866;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2009;94.8;88.1
5867;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2012;95.8;90.9
5868;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2015;92.9;87.4
5869;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2018;85.6;87.0
5870;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2021;92.4;94.6
5871;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Veluwe (CR);2024;89.1;89.7
5872;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2002;94.6;91.5
5873;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2006;93.9;94.1
5874;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2009;97.0;91.3
5875;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2012;94.8;91.6
5876;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2015;91.1;83.4
5877;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2018;91.0;90.0
5878;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2021;92.7;92.1
5879;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Achterhoek (CR);2024;85.5;90.3
5880;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2002;88.8;86.1
5881;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2006;90.7;86.4
5882;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2009;91.3;83.0
5883;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2012;89.4;86.6
5884;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2015;86.5;81.2
5885;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2018;85.3;86.8
5886;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2021;85.9;86.0
5887;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2024;87.0;87.8
5888;Total;Age head of household: 35 to 44;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2002;95.4;89.2
