ID;ModesOfTravel;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
6327;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Hardly urbanised;2021;16.85;36.38
6328;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Hardly urbanised;2022;18.07;37.28
6329;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Hardly urbanised;2023;17.62;37.23
6330;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Not urbanised;2018;21.48;42.34
6331;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Not urbanised;2019;22.58;46.16
6332;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Not urbanised;2020;20.34;41.59
6333;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Not urbanised;2021;20.54;41.1
6334;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Not urbanised;2022;26.01;49.98
6335;Total;Population: 12 years or older;Attending education/courses;Upper bound 95% confidence interval;Not urbanised;2023;22.93;42.42
6336;Total;Population: 12 years or older;Visits including staying overnight;Value;The Netherlands;2018;23.4;31.02
6337;Total;Population: 12 years or older;Visits including staying overnight;Value;The Netherlands;2019;22.39;30.99
6338;Total;Population: 12 years or older;Visits including staying overnight;Value;The Netherlands;2020;18.03;26.85
6339;Total;Population: 12 years or older;Visits including staying overnight;Value;The Netherlands;2021;19.09;28.32
6340;Total;Population: 12 years or older;Visits including staying overnight;Value;The Netherlands;2022;19.85;29.01
6341;Total;Population: 12 years or older;Visits including staying overnight;Value;The Netherlands;2023;20.11;29.49
6342;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Nederland (LD);2018;26.72;31.98
6343;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Nederland (LD);2019;28.07;34.33
6344;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Nederland (LD);2020;19.04;26.93
6345;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Nederland (LD);2021;23.85;30.67
6346;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Nederland (LD);2022;22.95;30.69
6347;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Nederland (LD);2023;23.33;32.58
6348;Total;Population: 12 years or older;Visits including staying overnight;Value;Oost-Nederland (LD);2018;24.0;30.43
6349;Total;Population: 12 years or older;Visits including staying overnight;Value;Oost-Nederland (LD);2019;21.5;28.5
6350;Total;Population: 12 years or older;Visits including staying overnight;Value;Oost-Nederland (LD);2020;18.27;26.61
6351;Total;Population: 12 years or older;Visits including staying overnight;Value;Oost-Nederland (LD);2021;18.51;27.19
6352;Total;Population: 12 years or older;Visits including staying overnight;Value;Oost-Nederland (LD);2022;20.83;29.41
6353;Total;Population: 12 years or older;Visits including staying overnight;Value;Oost-Nederland (LD);2023;19.1;26.65
6354;Total;Population: 12 years or older;Visits including staying overnight;Value;West-Nederland (LD);2018;24.62;33.27
6355;Total;Population: 12 years or older;Visits including staying overnight;Value;West-Nederland (LD);2019;23.1;33.64
6356;Total;Population: 12 years or older;Visits including staying overnight;Value;West-Nederland (LD);2020;19.28;29.12
6357;Total;Population: 12 years or older;Visits including staying overnight;Value;West-Nederland (LD);2021;20.4;30.85
6358;Total;Population: 12 years or older;Visits including staying overnight;Value;West-Nederland (LD);2022;20.16;30.1
6359;Total;Population: 12 years or older;Visits including staying overnight;Value;West-Nederland (LD);2023;20.99;32.03
6360;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Nederland (LD);2018;19.1;26.88
6361;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Nederland (LD);2019;19.52;26.92
6362;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Nederland (LD);2020;15.3;23.19
6363;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Nederland (LD);2021;15.13;23.68
6364;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Nederland (LD);2022;16.98;25.86
6365;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Nederland (LD);2023;18.12;26.24
6366;Total;Population: 12 years or older;Visits including staying overnight;Value;Groningen (PV);2018;26.76;35.25
6367;Total;Population: 12 years or older;Visits including staying overnight;Value;Groningen (PV);2019;31.59;36.64
6368;Total;Population: 12 years or older;Visits including staying overnight;Value;Groningen (PV);2020;16.84;25.4
6369;Total;Population: 12 years or older;Visits including staying overnight;Value;Groningen (PV);2021;25.3;30.91
6370;Total;Population: 12 years or older;Visits including staying overnight;Value;Groningen (PV);2022;22.3;30.89
6371;Total;Population: 12 years or older;Visits including staying overnight;Value;Groningen (PV);2023;24.09;35.02
6372;Total;Population: 12 years or older;Visits including staying overnight;Value;Fryslân (PV);2018;30.04;32.64
6373;Total;Population: 12 years or older;Visits including staying overnight;Value;Fryslân (PV);2019;29.67;33.88
6374;Total;Population: 12 years or older;Visits including staying overnight;Value;Fryslân (PV);2020;19.16;28.23
6375;Total;Population: 12 years or older;Visits including staying overnight;Value;Fryslân (PV);2021;25.51;33.15
6376;Total;Population: 12 years or older;Visits including staying overnight;Value;Fryslân (PV);2022;21.8;29.61
6377;Total;Population: 12 years or older;Visits including staying overnight;Value;Fryslân (PV);2023;22.04;30.95
6378;Total;Population: 12 years or older;Visits including staying overnight;Value;Drenthe (PV);2018;22.55;27.77
6379;Total;Population: 12 years or older;Visits including staying overnight;Value;Drenthe (PV);2019;22.53;32.36
6380;Total;Population: 12 years or older;Visits including staying overnight;Value;Drenthe (PV);2020;21.15;26.62
6381;Total;Population: 12 years or older;Visits including staying overnight;Value;Drenthe (PV);2021;20.22;27.48
6382;Total;Population: 12 years or older;Visits including staying overnight;Value;Drenthe (PV);2022;25.41;32.02
6383;Total;Population: 12 years or older;Visits including staying overnight;Value;Drenthe (PV);2023;24.1;31.68
6384;Total;Population: 12 years or older;Visits including staying overnight;Value;Overijssel (PV);2018;25.06;30.38
6385;Total;Population: 12 years or older;Visits including staying overnight;Value;Overijssel (PV);2019;19.54;26.26
6386;Total;Population: 12 years or older;Visits including staying overnight;Value;Overijssel (PV);2020;17.55;28.4
6387;Total;Population: 12 years or older;Visits including staying overnight;Value;Overijssel (PV);2021;15.6;25.19
6388;Total;Population: 12 years or older;Visits including staying overnight;Value;Overijssel (PV);2022;17.54;26.45
6389;Total;Population: 12 years or older;Visits including staying overnight;Value;Overijssel (PV);2023;16.85;23.2
6390;Total;Population: 12 years or older;Visits including staying overnight;Value;Flevoland (PV);2018;27.52;33.54
6391;Total;Population: 12 years or older;Visits including staying overnight;Value;Flevoland (PV);2019;26.27;31.82
6392;Total;Population: 12 years or older;Visits including staying overnight;Value;Flevoland (PV);2020;20.69;27.93
6393;Total;Population: 12 years or older;Visits including staying overnight;Value;Flevoland (PV);2021;23.53;30.92
6394;Total;Population: 12 years or older;Visits including staying overnight;Value;Flevoland (PV);2022;27.55;32.15
6395;Total;Population: 12 years or older;Visits including staying overnight;Value;Flevoland (PV);2023;20.56;27.79
6396;Total;Population: 12 years or older;Visits including staying overnight;Value;Gelderland (PV);2018;22.84;29.96
6397;Total;Population: 12 years or older;Visits including staying overnight;Value;Gelderland (PV);2019;21.98;29.44
6398;Total;Population: 12 years or older;Visits including staying overnight;Value;Gelderland (PV);2020;18.3;25.49
6399;Total;Population: 12 years or older;Visits including staying overnight;Value;Gelderland (PV);2021;19.39;27.73
6400;Total;Population: 12 years or older;Visits including staying overnight;Value;Gelderland (PV);2022;21.88;30.78
6401;Total;Population: 12 years or older;Visits including staying overnight;Value;Gelderland (PV);2023;20.09;28.32
6402;Total;Population: 12 years or older;Visits including staying overnight;Value;Utrecht (PV);2018;25.58;32.05
6403;Total;Population: 12 years or older;Visits including staying overnight;Value;Utrecht (PV);2019;28.14;36.38
6404;Total;Population: 12 years or older;Visits including staying overnight;Value;Utrecht (PV);2020;20.92;29.11
6405;Total;Population: 12 years or older;Visits including staying overnight;Value;Utrecht (PV);2021;21.98;30.35
6406;Total;Population: 12 years or older;Visits including staying overnight;Value;Utrecht (PV);2022;21.71;31.2
6407;Total;Population: 12 years or older;Visits including staying overnight;Value;Utrecht (PV);2023;23.09;33.08
6408;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Holland (PV);2018;27.17;36.16
6409;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Holland (PV);2019;23.3;36.62
6410;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Holland (PV);2020;18.6;29.42
6411;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Holland (PV);2021;20.51;31.85
6412;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Holland (PV);2022;21.28;31.79
6413;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Holland (PV);2023;19.6;31.4
6414;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Holland (PV);2018;22.89;32.27
6415;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Holland (PV);2019;20.54;30.43
6416;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Holland (PV);2020;18.85;28.73
6417;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Holland (PV);2021;19.72;30.83
6418;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Holland (PV);2022;18.52;28.5
6419;Total;Population: 12 years or older;Visits including staying overnight;Value;Zuid-Holland (PV);2023;21.36;32.92
6420;Total;Population: 12 years or older;Visits including staying overnight;Value;Zeeland (PV);2018;18.33;25.8
6421;Total;Population: 12 years or older;Visits including staying overnight;Value;Zeeland (PV);2019;29.41;34.55
6422;Total;Population: 12 years or older;Visits including staying overnight;Value;Zeeland (PV);2020;21.85;30.75
6423;Total;Population: 12 years or older;Visits including staying overnight;Value;Zeeland (PV);2021;20.28;25.44
6424;Total;Population: 12 years or older;Visits including staying overnight;Value;Zeeland (PV);2022;22.32;29.33
6425;Total;Population: 12 years or older;Visits including staying overnight;Value;Zeeland (PV);2023;19.69;24.04
6426;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Brabant (PV);2018;20.3;28.49
6427;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Brabant (PV);2019;20.65;28.1
6428;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Brabant (PV);2020;15.27;23.19
6429;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Brabant (PV);2021;15.08;23.7
6430;Total;Population: 12 years or older;Visits including staying overnight;Value;Noord-Brabant (PV);2022;16.77;25.98
