ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
5235;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zeeland (PV);2021;;;;;;
5236;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zeeland (PV);2022;;;;;;
5237;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Zeeland (PV);2023;;;;;;
5238;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Brabant (PV);2018;1.23;2.35;18.31;447.0;859.0;111.4
5239;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Brabant (PV);2019;1.14;2.32;17.81;417.0;847.0;108.3
5240;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Brabant (PV);2020;0.85;1.92;16.22;313.0;701.0;98.9
5241;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Brabant (PV);2021;1.0;2.11;20.96;367.0;769.0;127.5
5242;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Brabant (PV);2022;0.92;1.85;18.34;337.0;675.0;111.6
5243;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Noord-Brabant (PV);2023;0.97;2.06;17.89;353.0;753.0;108.8
5244;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Limburg (PV);2018;1.06;2.22;18.42;387.0;812.0;112.1
5245;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Limburg (PV);2019;1.09;2.62;26.43;397.0;958.0;160.8
5246;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Limburg (PV);2020;0.73;1.64;16.04;269.0;600.0;97.9
5247;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Limburg (PV);2021;0.88;2.12;18.48;323.0;775.0;112.4
5248;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Limburg (PV);2022;;;;;;
5249;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Limburg (PV);2023;0.87;1.68;15.39;318.0;615.0;93.6
5250;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Extremely urbanised;2018;1.1;2.41;18.58;401.0;879.0;113.0
5251;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Extremely urbanised;2019;1.01;2.39;19.61;367.0;872.0;119.3
5252;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Extremely urbanised;2020;0.89;2.16;18.37;326.0;791.0;112.1
5253;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Extremely urbanised;2021;0.84;2.12;19.54;305.0;774.0;118.9
5254;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Extremely urbanised;2022;0.95;2.27;18.74;347.0;829.0;114.0
5255;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Extremely urbanised;2023;0.89;2.13;18.92;325.0;777.0;115.1
5256;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Strongly urbanised;2018;1.25;2.45;18.57;456.0;893.0;113.0
5257;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Strongly urbanised;2019;1.19;2.4;17.88;433.0;875.0;108.7
5258;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Strongly urbanised;2020;0.98;2.14;19.21;360.0;782.0;117.2
5259;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Strongly urbanised;2021;0.96;2.08;20.53;351.0;758.0;124.9
5260;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Strongly urbanised;2022;1.03;2.19;19.09;376.0;798.0;116.1
5261;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Strongly urbanised;2023;1.03;2.31;19.37;376.0;843.0;117.8
5262;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Moderately urbanised;2018;1.21;2.6;20.43;442.0;950.0;124.3
5263;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Moderately urbanised;2019;1.21;2.63;21.95;441.0;958.0;133.5
5264;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Moderately urbanised;2020;1.08;2.51;22.49;397.0;920.0;137.2
5265;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Moderately urbanised;2021;1.08;2.48;21.15;393.0;906.0;128.6
5266;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Moderately urbanised;2022;1.19;2.57;20.93;435.0;937.0;127.3
5267;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Moderately urbanised;2023;1.22;2.61;21.4;445.0;953.0;130.2
5268;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Hardly urbanised;2018;1.52;2.73;20.34;555.0;997.0;123.7
5269;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Hardly urbanised;2019;1.39;2.49;19.6;508.0;911.0;119.2
5270;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Hardly urbanised;2020;1.06;2.02;16.2;387.0;740.0;98.8
5271;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Hardly urbanised;2021;1.25;2.85;25.01;455.0;1040.0;152.2
5272;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Hardly urbanised;2022;1.2;2.33;19.14;439.0;852.0;116.5
5273;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Hardly urbanised;2023;1.23;2.44;18.43;450.0;891.0;112.1
5274;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Not urbanised;2018;1.34;2.78;18.74;489.0;1016.0;114.0
5275;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Not urbanised;2019;1.2;2.91;24.77;440.0;1064.0;150.7
5276;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Not urbanised;2020;1.0;2.11;17.44;366.0;774.0;106.4
5277;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Not urbanised;2021;0.93;;17.0;340.0;;103.4
5278;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Not urbanised;2022;1.27;2.75;20.72;465.0;1003.0;126.0
5279;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Value;Not urbanised;2023;1.17;2.3;18.24;428.0;838.0;110.9
5280;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;The Netherlands;2018;1.22;2.42;18.21;446.0;882.0;110.7
5281;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;The Netherlands;2019;1.13;2.32;18.24;414.0;848.0;111.0
5282;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;The Netherlands;2020;0.94;2.04;17.26;346.0;746.0;105.3
5283;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;The Netherlands;2021;0.96;2.18;19.52;350.0;795.0;118.7
5284;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;The Netherlands;2022;1.04;2.2;17.83;379.0;802.0;108.5
5285;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;The Netherlands;2023;1.03;2.18;17.77;375.0;796.0;108.1
5286;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;1.27;2.48;18.41;463.0;906.0;112.0
5287;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;1.22;2.45;18.32;445.0;895.0;111.4
5288;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;0.88;1.54;11.47;321.0;564.0;70.0
5289;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;0.96;1.77;17.28;350.0;645.0;105.1
5290;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;1.23;2.61;19.26;449.0;952.0;117.2
5291;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;1.01;2.07;16.21;367.0;755.0;98.6
5292;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;1.33;2.5;17.79;484.0;912.0;108.2
5293;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;1.1;2.15;15.02;400.0;783.0;91.4
5294;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;1.0;2.13;16.73;366.0;781.0;102.1
5295;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;0.98;2.24;18.95;358.0;817.0;115.3
5296;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;1.06;2.13;15.2;387.0;777.0;92.4
5297;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;1.08;2.15;16.26;393.0;785.0;98.9
5298;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;West-Nederland (LD);2018;1.13;2.27;17.33;412.0;828.0;105.4
5299;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;West-Nederland (LD);2019;1.08;2.18;17.11;395.0;794.0;104.1
5300;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;West-Nederland (LD);2020;0.93;2.04;17.67;340.0;745.0;107.8
5301;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;West-Nederland (LD);2021;0.9;2.06;18.35;328.0;751.0;111.6
5302;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;West-Nederland (LD);2022;1.02;2.22;18.02;371.0;812.0;109.6
5303;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;West-Nederland (LD);2023;0.99;2.14;17.37;360.0;781.0;105.6
5304;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;1.07;2.04;15.82;390.0;743.0;96.2
5305;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;1.0;1.99;16.64;363.0;727.0;101.2
5306;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;0.72;1.54;13.0;262.0;565.0;79.3
5307;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;0.85;1.78;16.33;312.0;650.0;99.3
5308;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;0.72;1.37;12.24;263.0;500.0;74.4
5309;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;0.82;1.65;13.96;300.0;603.0;84.9
5310;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Groningen (PV);2018;1.01;2.23;16.03;369.0;816.0;97.5
5311;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Groningen (PV);2019;1.11;1.77;;405.0;647.0;
5312;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Groningen (PV);2020;;;;;;
5313;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Groningen (PV);2021;0.87;1.67;13.55;319.0;611.0;82.4
5314;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Groningen (PV);2022;1.07;2.1;14.36;391.0;767.0;87.4
5315;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Groningen (PV);2023;;;;;;
5316;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Fryslân (PV);2018;1.2;1.9;14.23;436.0;695.0;86.5
5317;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Fryslân (PV);2019;1.25;2.72;17.8;457.0;994.0;108.3
5318;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Fryslân (PV);2020;;;;;;
5319;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Fryslân (PV);2021;0.89;1.76;13.04;323.0;642.0;79.3
5320;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Fryslân (PV);2022;1.22;2.56;19.35;446.0;936.0;117.7
5321;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Fryslân (PV);2023;;;;;;
5322;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Drenthe (PV);2018;1.22;2.52;17.44;446.0;920.0;106.1
5323;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Drenthe (PV);2019;;;;;;
5324;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Drenthe (PV);2020;;;;;;
5325;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Drenthe (PV);2021;;;;;;
5326;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Drenthe (PV);2022;;;;;;
5327;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Drenthe (PV);2023;;;;;;
5328;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Overijssel (PV);2018;1.32;2.45;17.4;483.0;893.0;105.9
5329;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Overijssel (PV);2019;0.99;1.82;10.67;361.0;666.0;64.9
5330;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Overijssel (PV);2020;0.92;1.9;14.46;336.0;694.0;88.2
5331;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Overijssel (PV);2021;0.94;2.36;19.53;342.0;862.0;118.8
5332;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Overijssel (PV);2022;1.1;2.02;12.72;400.0;737.0;77.4
5333;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Overijssel (PV);2023;1.09;1.97;13.23;398.0;717.0;80.5
5334;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Flevoland (PV);2018;0.85;1.83;13.38;311.0;669.0;81.4
5335;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Flevoland (PV);2019;;;;;;
5336;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Flevoland (PV);2020;;;;;;
5337;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Flevoland (PV);2021;;;;;;
5338;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Flevoland (PV);2022;0.68;1.26;9.67;249.0;459.0;58.8
5339;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Flevoland (PV);2023;0.65;1.47;12.03;238.0;536.0;73.2
5340;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Gelderland (PV);2018;1.31;2.36;16.71;479.0;863.0;101.6
5341;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Gelderland (PV);2019;1.08;2.01;14.32;395.0;733.0;87.1
5342;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Gelderland (PV);2020;1.03;2.13;15.69;377.0;779.0;95.7
5343;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Gelderland (PV);2021;1.03;2.14;18.07;376.0;782.0;109.9
5344;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Gelderland (PV);2022;0.99;2.04;14.51;361.0;746.0;88.3
5345;Population 6 years or older;Total male and female;Age: 6 to 11 years;Bike;Lower bound 95% confidence interval;Gelderland (PV);2023;1.03;2.06;15.6;375.0;752.0;94.9
