ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
4784;Men;45 to 55 years;Total, degree of disablement;2006 January;180;110;20;20;10;20;130;10;40;510;270;;240;410;30;80
4785;Men;45 to 55 years;Total, degree of disablement;2006 February;150;70;30;30;10;20;100;10;40;310;160;;160;270;10;40
4786;Men;45 to 55 years;Total, degree of disablement;2006 March;90;60;10;20;0;10;70;0;20;480;140;;330;420;20;40
4787;Men;45 to 55 years;Total, degree of disablement;2006 April;100;50;20;20;10;10;60;10;30;450;150;;290;360;40;50
4788;Men;45 to 55 years;Total, degree of disablement;2006 May;80;50;10;10;10;10;60;10;20;440;180;;270;360;20;60
4789;Men;45 to 55 years;Total, degree of disablement;2006 June;90;50;10;20;10;10;60;10;20;410;180;;230;340;20;50
4790;Men;45 to 55 years;Total, degree of disablement;2006 July;90;60;10;10;0;10;70;10;20;410;170;;230;340;20;50
4791;Men;45 to 55 years;Total, degree of disablement;2006 August;110;90;10;10;10;10;100;10;10;390;140;;260;330;10;50
4792;Men;45 to 55 years;Total, degree of disablement;2006 September;190;80;10;10;10;80;100;10;90;400;130;;270;310;20;70
4793;Men;45 to 55 years;Total, degree of disablement;2006 October;100;70;10;10;10;10;70;10;10;390;130;;260;340;20;30
4794;Men;45 to 55 years;Total, degree of disablement;2006 November;110;60;10;20;10;10;70;10;30;370;170;;200;320;20;30
4795;Men;45 to 55 years;Total, degree of disablement;2006 December;80;50;10;10;10;0;70;10;10;390;200;;190;330;10;50
4796;Men;45 to 55 years;Total, degree of disablement;2006 annual total;1390;790;150;170;100;180;950;100;330;4940;2010;;2930;4110;240;590
4797;Men;45 to 55 years;Total, degree of disablement;2007 January;100;70;10;10;20;10;80;20;10;630;240;;390;540;30;60
4798;Men;45 to 55 years;Total, degree of disablement;2007 February;110;70;10;10;10;10;80;20;10;460;220;;240;400;20;40
4799;Men;45 to 55 years;Total, degree of disablement;2007 March;90;60;10;10;10;10;70;10;10;510;250;;260;440;20;50
4800;Men;45 to 55 years;Total, degree of disablement;2007 April;100;70;10;10;20;10;80;20;10;330;140;;200;280;20;40
4801;Men;45 to 55 years;Total, degree of disablement;2007 May;80;60;0;10;10;0;60;20;10;330;120;;200;280;10;40
4802;Men;45 to 55 years;Total, degree of disablement;2007 June;100;70;10;10;10;10;70;10;10;270;100;;170;220;10;30
4803;Men;45 to 55 years;Total, degree of disablement;2007 July;180;140;10;0;10;10;150;10;10;340;90;;250;300;20;20
4804;Men;45 to 55 years;Total, degree of disablement;2007 August;70;50;10;0;10;0;60;10;0;240;90;;150;210;10;20
4805;Men;45 to 55 years;Total, degree of disablement;2007 September;80;50;10;10;10;10;60;10;10;180;70;;120;150;10;10
4806;Men;45 to 55 years;Total, degree of disablement;2007 October;190;140;10;10;10;10;160;10;10;320;90;;230;290;20;10
4807;Men;45 to 55 years;Total, degree of disablement;2007 November;240;180;10;10;20;10;200;30;20;350;80;;270;290;30;30
4808;Men;45 to 55 years;Total, degree of disablement;2007 December;80;60;0;0;20;0;60;20;0;150;50;;100;130;10;10
4809;Men;45 to 55 years;Total, degree of disablement;2007 annual total;1420;1010;90;70;170;80;1120;180;120;4120;1540;;2580;3530;220;360
4810;Men;45 to 55 years;Total, degree of disablement;2008 January;130;100;0;10;10;10;110;10;10;240;70;;170;190;30;20
4811;Men;45 to 55 years;Total, degree of disablement;2008 February;100;70;0;10;10;10;70;20;10;250;60;;190;210;30;20
4812;Men;45 to 55 years;Total, degree of disablement;2008 March;100;60;10;10;10;10;70;10;10;210;80;;130;170;20;20
4813;Men;45 to 55 years;Total, degree of disablement;2008 April;120;80;10;10;10;10;90;20;10;240;80;;150;200;20;20
4814;Men;45 to 55 years;Total, degree of disablement;2008 May;70;50;0;0;10;10;50;10;10;170;60;;120;140;10;20
4815;Men;45 to 55 years;Total, degree of disablement;2008 June;130;70;0;10;10;50;110;10;10;150;50;;100;130;20;10
4816;Men;45 to 55 years;Total, degree of disablement;2008 July;100;70;10;10;10;10;80;10;10;160;40;;120;130;20;10
4817;Men;45 to 55 years;Total, degree of disablement;2008 August;80;50;0;0;20;10;60;20;10;200;50;;150;160;20;20
4818;Men;45 to 55 years;Total, degree of disablement;2008 September;90;60;10;0;20;10;70;20;10;200;30;;170;160;20;20
4819;Men;45 to 55 years;Total, degree of disablement;2008 October;70;40;10;0;20;10;50;20;10;160;40;;120;120;20;10
4820;Men;45 to 55 years;Total, degree of disablement;2008 November;90;50;10;10;20;10;70;20;10;200;60;;140;170;10;10
4821;Men;45 to 55 years;Total, degree of disablement;2008 December;60;40;0;10;10;0;40;10;10;120;50;;70;110;0;10
4822;Men;45 to 55 years;Total, degree of disablement;2008 annual total;1120;730;60;60;150;130;870;160;100;2290;680;;1610;1890;230;180
4823;Men;45 to 55 years;Total, degree of disablement;2009 January;90;60;0;0;10;10;70;20;10;250;70;;180;200;20;20
4824;Men;45 to 55 years;Total, degree of disablement;2009 February;100;70;0;10;10;10;70;20;10;190;50;;140;150;20;20
4825;Men;45 to 55 years;Total, degree of disablement;2009 March;70;60;0;0;10;10;60;10;0;180;50;;130;140;20;20
4826;Men;45 to 55 years;Total, degree of disablement;2009 April;60;30;0;10;10;10;40;10;10;150;40;;120;130;20;10
4827;Men;45 to 55 years;Total, degree of disablement;2009 May;130;120;0;0;10;0;120;10;0;220;100;;120;200;10;10
4828;Men;45 to 55 years;Total, degree of disablement;2009 June;70;50;0;0;10;10;50;10;10;110;20;;90;80;10;20
4829;Men;45 to 55 years;Total, degree of disablement;2009 July;70;50;0;0;10;10;60;10;0;110;10;;100;80;20;10
4830;Men;45 to 55 years;Total, degree of disablement;2009 August;50;30;10;0;0;10;40;10;0;70;10;;70;50;20;10
4831;Men;45 to 55 years;Total, degree of disablement;2009 September;60;40;0;0;10;10;50;10;0;100;10;;90;70;20;10
4832;Men;45 to 55 years;Total, degree of disablement;2009 October;80;50;0;0;20;0;60;20;0;100;10;;90;70;20;10
4833;Men;45 to 55 years;Total, degree of disablement;2009 November;90;50;0;0;10;20;60;10;20;130;0;;130;60;60;10
4834;Men;45 to 55 years;Total, degree of disablement;2009 December;50;20;0;0;10;10;30;10;0;40;0;;40;20;20;0
4835;Men;45 to 55 years;Total, degree of disablement;2009 annual total;920;630;30;30;140;90;710;140;60;1650;370;;1280;1250;260;140
4836;Men;45 to 55 years;Complete disablement (>= 80%);1998 January;1210;940;150;30;10;90;1100;20;90;640;110;;530;540;70;40
4837;Men;45 to 55 years;Complete disablement (>= 80%);1998 February;880;610;90;20;0;160;720;20;140;660;80;;580;520;90;50
4838;Men;45 to 55 years;Complete disablement (>= 80%);1998 March;850;640;90;30;10;90;760;10;80;360;100;;250;280;40;30
4839;Men;45 to 55 years;Complete disablement (>= 80%);1998 April;900;650;100;50;10;100;780;10;110;440;90;;350;360;40;50
4840;Men;45 to 55 years;Complete disablement (>= 80%);1998 May;720;530;50;30;50;60;600;50;70;400;80;;320;320;60;20
4841;Men;45 to 55 years;Complete disablement (>= 80%);1998 June;710;540;60;30;10;60;620;20;70;450;80;;370;350;60;40
4842;Men;45 to 55 years;Complete disablement (>= 80%);1998 July;650;490;70;30;10;60;580;10;60;420;80;;350;330;60;30
4843;Men;45 to 55 years;Complete disablement (>= 80%);1998 August;670;540;70;20;0;40;620;0;50;350;70;;290;280;30;40
4844;Men;45 to 55 years;Complete disablement (>= 80%);1998 September;710;560;80;30;0;50;650;0;70;380;70;;310;300;40;40
4845;Men;45 to 55 years;Complete disablement (>= 80%);1998 October;730;540;100;40;10;40;660;10;60;320;70;;250;260;30;30
4846;Men;45 to 55 years;Complete disablement (>= 80%);1998 November;1040;660;110;30;10;240;970;10;60;430;70;;360;360;30;40
4847;Men;45 to 55 years;Complete disablement (>= 80%);1998 December;1070;640;120;60;10;240;920;60;90;430;80;;350;380;30;20
4848;Men;45 to 55 years;Complete disablement (>= 80%);1998 annual total;10140;7350;1070;390;110;1220;8970;210;960;5280;980;;4290;4290;560;430
4849;Men;45 to 55 years;Complete disablement (>= 80%);1999 January;750;510;170;30;0;30;690;10;60;540;80;;460;490;20;30
4850;Men;45 to 55 years;Complete disablement (>= 80%);1999 February;890;700;100;30;0;60;810;10;70;410;70;;340;350;40;30
4851;Men;45 to 55 years;Complete disablement (>= 80%);1999 March;820;610;110;50;10;50;740;10;80;460;80;;380;350;80;30
4852;Men;45 to 55 years;Complete disablement (>= 80%);1999 April;760;550;130;30;0;40;690;10;60;360;80;;280;300;30;40
4853;Men;45 to 55 years;Complete disablement (>= 80%);1999 May;680;540;80;20;10;30;630;10;40;320;80;;240;270;20;20
4854;Men;45 to 55 years;Complete disablement (>= 80%);1999 June;690;530;100;30;10;30;630;10;50;290;70;;220;260;10;20
4855;Men;45 to 55 years;Complete disablement (>= 80%);1999 July;650;510;60;20;20;40;570;20;50;320;70;;250;270;30;20
4856;Men;45 to 55 years;Complete disablement (>= 80%);1999 August;670;530;60;40;10;40;600;10;70;330;70;;260;270;20;40
4857;Men;45 to 55 years;Complete disablement (>= 80%);1999 September;690;560;70;20;0;40;630;0;60;340;70;;270;300;20;20
4858;Men;45 to 55 years;Complete disablement (>= 80%);1999 October;700;580;70;30;10;30;650;10;50;310;50;;260;270;20;20
4859;Men;45 to 55 years;Complete disablement (>= 80%);1999 November;1110;760;260;30;10;50;1040;10;60;350;90;;270;310;20;20
4860;Men;45 to 55 years;Complete disablement (>= 80%);1999 December;770;630;60;30;0;50;700;0;70;430;80;;360;400;20;20
4861;Men;45 to 55 years;Complete disablement (>= 80%);1999 annual total;9160;7010;1260;340;80;480;8370;90;710;4470;890;;3580;3840;320;300
4862;Men;45 to 55 years;Complete disablement (>= 80%);2000 January;690;550;80;30;0;30;630;10;50;280;70;;210;240;20;30
4863;Men;45 to 55 years;Complete disablement (>= 80%);2000 February;850;660;100;30;10;60;760;10;80;420;110;;300;380;20;20
4864;Men;45 to 55 years;Complete disablement (>= 80%);2000 March;800;590;130;30;0;50;720;0;80;400;90;;310;360;0;30
4865;Men;45 to 55 years;Complete disablement (>= 80%);2000 April;720;550;80;30;10;40;640;10;70;370;70;;300;320;20;30
4866;Men;45 to 55 years;Complete disablement (>= 80%);2000 May;750;600;70;30;10;40;680;10;60;310;70;;230;260;20;30
4867;Men;45 to 55 years;Complete disablement (>= 80%);2000 June;650;490;90;30;10;40;580;10;60;510;90;;420;380;100;30
4868;Men;45 to 55 years;Complete disablement (>= 80%);2000 July;620;500;60;20;10;40;560;10;50;420;70;;350;350;40;30
4869;Men;45 to 55 years;Complete disablement (>= 80%);2000 August;640;540;30;20;0;50;570;0;70;430;90;;350;370;40;30
4870;Men;45 to 55 years;Complete disablement (>= 80%);2000 September;710;530;110;20;10;40;650;10;60;340;70;;280;300;20;30
4871;Men;45 to 55 years;Complete disablement (>= 80%);2000 October;700;560;70;20;0;40;640;0;60;320;70;;250;270;20;20
4872;Men;45 to 55 years;Complete disablement (>= 80%);2000 November;900;710;100;30;10;50;820;10;80;370;100;;270;310;30;30
4873;Men;45 to 55 years;Complete disablement (>= 80%);2000 December;760;600;100;30;0;30;700;0;60;340;90;;250;280;30;30
4874;Men;45 to 55 years;Complete disablement (>= 80%);2000 annual total;8780;6860;1020;320;60;520;7940;70;780;4500;980;;3510;3820;360;320
4875;Men;45 to 55 years;Complete disablement (>= 80%);2001 January;700;500;130;20;10;40;640;10;60;300;70;;230;270;10;20
4876;Men;45 to 55 years;Complete disablement (>= 80%);2001 February;810;650;90;30;0;40;750;0;60;380;80;;300;320;30;30
4877;Men;45 to 55 years;Complete disablement (>= 80%);2001 March;770;580;120;30;0;50;700;10;70;330;80;;250;280;30;20
4878;Men;45 to 55 years;Complete disablement (>= 80%);2001 April;690;500;110;20;10;50;610;10;70;340;90;;250;280;40;30
4879;Men;45 to 55 years;Complete disablement (>= 80%);2001 May;950;510;360;20;0;50;870;0;70;320;100;;230;290;20;20
4880;Men;45 to 55 years;Complete disablement (>= 80%);2001 June;650;470;120;30;0;30;590;0;60;370;80;;290;300;20;50
4881;Men;45 to 55 years;Complete disablement (>= 80%);2001 July;530;410;40;40;10;40;450;10;80;540;100;;440;510;20;20
4882;Men;45 to 55 years;Complete disablement (>= 80%);2001 August;620;490;50;20;10;50;550;10;60;400;70;;330;340;20;40
4883;Men;45 to 55 years;Complete disablement (>= 80%);2001 September;580;460;50;30;0;40;520;10;60;320;80;;230;280;20;30
4884;Men;45 to 55 years;Complete disablement (>= 80%);2001 October;650;510;50;30;0;50;570;0;80;340;80;;260;280;30;30
4885;Men;45 to 55 years;Complete disablement (>= 80%);2001 November;650;520;70;20;0;40;590;10;60;290;80;;210;250;20;20
4886;Men;45 to 55 years;Complete disablement (>= 80%);2001 December;610;490;60;20;0;40;560;0;60;280;80;;200;230;30;30
4887;Men;45 to 55 years;Complete disablement (>= 80%);2001 annual total;8200;6100;1250;310;40;500;7380;50;770;4210;1000;;3210;3600;280;330
4888;Men;45 to 55 years;Complete disablement (>= 80%);2002 January;650;530;60;30;0;40;590;10;60;310;80;;230;250;30;30
4889;Men;45 to 55 years;Complete disablement (>= 80%);2002 February;620;490;50;20;10;50;540;10;70;380;80;;300;330;20;30
4890;Men;45 to 55 years;Complete disablement (>= 80%);2002 March;660;520;60;30;0;50;580;0;80;290;80;;210;240;20;30
4891;Men;45 to 55 years;Complete disablement (>= 80%);2002 April;690;540;60;20;10;60;610;10;80;360;110;;250;290;40;30
4892;Men;45 to 55 years;Complete disablement (>= 80%);2002 May;590;450;50;30;0;50;500;10;80;280;80;;200;240;30;20
4893;Men;45 to 55 years;Complete disablement (>= 80%);2002 June;530;410;60;40;0;20;480;0;50;280;100;;180;250;20;20
4894;Men;45 to 55 years;Complete disablement (>= 80%);2002 July;670;510;70;70;0;30;580;0;90;340;100;;240;280;30;30
4895;Men;45 to 55 years;Complete disablement (>= 80%);2002 August;550;420;60;50;0;20;480;0;60;350;110;;240;290;30;30
4896;Men;45 to 55 years;Complete disablement (>= 80%);2002 September;540;400;70;50;0;20;480;0;60;310;80;;230;260;30;20
4897;Men;45 to 55 years;Complete disablement (>= 80%);2002 October;680;530;70;60;0;20;600;0;80;320;100;;230;270;30;30
4898;Men;45 to 55 years;Complete disablement (>= 80%);2002 November;550;430;50;50;10;20;480;10;60;290;70;;220;240;30;30
4899;Men;45 to 55 years;Complete disablement (>= 80%);2002 December;530;400;80;40;0;10;480;0;50;330;100;;240;270;30;30
4900;Men;45 to 55 years;Complete disablement (>= 80%);2002 annual total;7260;5630;730;480;40;380;6400;50;810;3840;1100;;2740;3200;330;310
4901;Men;45 to 55 years;Complete disablement (>= 80%);2003 January;690;550;60;70;10;10;610;10;80;250;70;;190;200;30;30
4902;Men;45 to 55 years;Complete disablement (>= 80%);2003 February;590;460;60;40;0;20;530;10;50;510;90;;430;430;40;50
4903;Men;45 to 55 years;Complete disablement (>= 80%);2003 March;480;360;50;50;10;20;410;10;60;330;80;;240;270;30;30
4904;Men;45 to 55 years;Complete disablement (>= 80%);2003 April;500;390;40;50;0;20;430;0;70;370;100;;270;290;50;30
4905;Men;45 to 55 years;Complete disablement (>= 80%);2003 May;450;340;30;50;0;20;380;0;70;330;90;;240;260;40;30
4906;Men;45 to 55 years;Complete disablement (>= 80%);2003 June;490;360;30;70;0;20;400;0;80;330;90;;240;260;40;20
4907;Men;45 to 55 years;Complete disablement (>= 80%);2003 July;500;370;40;60;0;30;410;0;80;340;90;;250;260;40;40
4908;Men;45 to 55 years;Complete disablement (>= 80%);2003 August;390;310;30;40;0;20;340;0;50;260;70;;190;200;20;30
4909;Men;45 to 55 years;Complete disablement (>= 80%);2003 September;470;360;40;50;0;10;410;0;60;340;90;;260;270;40;30
4910;Men;45 to 55 years;Complete disablement (>= 80%);2003 October;420;350;40;30;0;10;380;0;40;340;90;;250;280;30;30
4911;Men;45 to 55 years;Complete disablement (>= 80%);2003 November;550;430;50;40;0;30;490;0;60;310;70;;240;230;40;40
4912;Men;45 to 55 years;Complete disablement (>= 80%);2003 December;490;370;60;40;10;20;430;10;50;330;90;;240;280;20;30
4913;Men;45 to 55 years;Complete disablement (>= 80%);2003 annual total;6010;4650;520;580;40;230;5210;50;760;4020;1000;;3020;3240;410;370
4914;Men;45 to 55 years;Complete disablement (>= 80%);2004 January;460;270;140;20;10;20;420;10;40;310;70;;240;260;20;30
4915;Men;45 to 55 years;Complete disablement (>= 80%);2004 February;490;360;70;30;10;30;420;10;60;370;70;;310;310;30;30
4916;Men;45 to 55 years;Complete disablement (>= 80%);2004 March;470;360;40;50;0;20;400;0;60;310;70;;250;260;30;20
4917;Men;45 to 55 years;Complete disablement (>= 80%);2004 April;500;370;60;50;0;20;430;0;70;260;60;;200;220;20;20
4918;Men;45 to 55 years;Complete disablement (>= 80%);2004 May;380;290;40;40;0;10;320;0;50;240;60;;180;210;20;20
4919;Men;45 to 55 years;Complete disablement (>= 80%);2004 June;440;340;40;40;0;20;380;0;60;300;70;;230;260;20;20
4920;Men;45 to 55 years;Complete disablement (>= 80%);2004 July;400;300;40;50;0;10;340;0;60;230;60;;170;180;30;20
4921;Men;45 to 55 years;Complete disablement (>= 80%);2004 August;410;300;50;40;0;20;350;10;50;270;70;;200;220;20;30
4922;Men;45 to 55 years;Complete disablement (>= 80%);2004 September;420;320;50;40;0;20;360;0;60;280;50;;230;220;20;40
4923;Men;45 to 55 years;Complete disablement (>= 80%);2004 October;390;280;30;50;0;30;310;0;70;220;40;;180;180;10;30
4924;Men;45 to 55 years;Complete disablement (>= 80%);2004 November;520;380;50;70;0;20;430;0;80;290;50;;240;250;20;20
4925;Men;45 to 55 years;Complete disablement (>= 80%);2004 December;450;350;30;40;0;30;380;0;60;260;50;;200;200;20;30
4926;Men;45 to 55 years;Complete disablement (>= 80%);2004 annual total;5320;3910;620;520;40;230;4560;40;720;3330;720;;2610;2780;240;310
4927;Men;45 to 55 years;Complete disablement (>= 80%);2005 January;330;230;20;40;10;30;250;10;70;220;60;;160;190;20;20
4928;Men;45 to 55 years;Complete disablement (>= 80%);2005 February;390;180;150;40;0;20;330;0;50;290;60;;230;250;20;30
4929;Men;45 to 55 years;Complete disablement (>= 80%);2005 March;170;100;10;50;0;10;120;0;60;260;70;;200;220;20;20
4930;Men;45 to 55 years;Complete disablement (>= 80%);2005 April;130;70;20;20;0;30;80;0;50;210;50;;160;180;10;20
4931;Men;45 to 55 years;Complete disablement (>= 80%);2005 May;130;90;10;10;10;20;90;10;30;260;70;;190;220;30;20
4932;Men;45 to 55 years;Complete disablement (>= 80%);2005 June;230;100;30;60;10;50;130;10;100;270;80;;180;220;30;20
4933;Men;45 to 55 years;Complete disablement (>= 80%);2005 July;90;40;10;30;0;10;50;0;40;150;40;;110;130;10;10
4934;Men;45 to 55 years;Complete disablement (>= 80%);2005 August;110;50;20;30;0;10;60;10;40;240;60;;180;190;30;20
4935;Men;45 to 55 years;Complete disablement (>= 80%);2005 September;140;40;70;10;10;10;110;10;20;210;60;;150;180;20;20
4936;Men;45 to 55 years;Complete disablement (>= 80%);2005 October;90;50;10;20;0;10;60;10;30;150;40;;120;120;20;10
4937;Men;45 to 55 years;Complete disablement (>= 80%);2005 November;90;40;20;20;0;10;60;0;20;180;60;;110;130;20;20
4938;Men;45 to 55 years;Complete disablement (>= 80%);2005 December;50;30;10;10;0;0;40;0;10;150;50;;90;120;10;20
4939;Men;45 to 55 years;Complete disablement (>= 80%);2005 annual total;1960;1010;380;330;50;200;1390;50;510;2600;710;;1900;2140;240;230
4940;Men;45 to 55 years;Complete disablement (>= 80%);2006 January;100;60;10;10;10;10;70;10;20;210;70;;140;160;30;20
4941;Men;45 to 55 years;Complete disablement (>= 80%);2006 February;90;40;10;20;10;10;50;10;30;130;40;;100;110;10;10
4942;Men;45 to 55 years;Complete disablement (>= 80%);2006 March;50;40;0;10;0;0;40;0;10;200;40;;150;170;20;10
4943;Men;45 to 55 years;Complete disablement (>= 80%);2006 April;70;30;10;20;10;10;40;10;20;210;40;;170;150;40;20
4944;Men;45 to 55 years;Complete disablement (>= 80%);2006 May;50;30;0;10;10;0;30;10;10;180;40;;140;130;20;20
4945;Men;45 to 55 years;Complete disablement (>= 80%);2006 June;60;40;0;10;10;0;40;10;10;180;50;;130;150;20;10
4946;Men;45 to 55 years;Complete disablement (>= 80%);2006 July;60;40;10;10;0;0;50;10;10;170;50;;120;140;20;10
4947;Men;45 to 55 years;Complete disablement (>= 80%);2006 August;80;60;0;0;10;0;70;10;10;160;40;;120;140;10;10
4948;Men;45 to 55 years;Complete disablement (>= 80%);2006 September;90;50;10;10;10;30;60;10;30;180;50;;130;140;20;20
