ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
2209;8   Communications;CPI all households;1997;109.1;;0.4;1862
2210;8   Communications;CPI all households;1998 January;109.1;1.7;-0.2;1862
2211;8   Communications;CPI all households;1998 February;109.1;0.0;-0.2;1862
2212;8   Communications;CPI all households;1998 March;109.1;0.0;-0.2;1862
2213;8   Communications;CPI all households;1998 April;109.1;0.0;-0.2;1862
2214;8   Communications;CPI all households;1998 May;109.1;0.0;-0.2;1862
2215;8   Communications;CPI all households;1998 June;109.1;0.0;0.0;1862
2216;8   Communications;CPI all households;1998 July;110.9;1.6;1.6;1862
2217;8   Communications;CPI all households;1998 August;110.9;0.0;1.6;1862
2218;8   Communications;CPI all households;1998 September;110.9;0.0;1.6;1862
2219;8   Communications;CPI all households;1998 October;111.7;0.7;2.4;1862
2220;8   Communications;CPI all households;1998 November;111.7;0.0;2.4;1862
2221;8   Communications;CPI all households;1998 December;109.9;-1.6;2.4;1862
2222;8   Communications;CPI all households;1998;110.1;;0.9;1862
2223;8   Communications;CPI all households;1999 January;107.1;-2.5;-1.8;1862
2224;8   Communications;CPI all households;1999 February;107.1;0.0;-1.8;1862
2225;8   Communications;CPI all households;1999 March;107.2;0.1;-1.7;1862
2226;8   Communications;CPI all households;1999 April;107.1;-0.1;-1.8;1862
2227;8   Communications;CPI all households;1999 May;107.1;0.0;-1.8;1862
2228;8   Communications;CPI all households;1999 June;106.4;-0.7;-2.5;1862
2229;8   Communications;CPI all households;1999 July;102.7;-3.5;-7.4;1862
2230;8   Communications;CPI all households;1999 August;103.4;0.7;-6.8;1862
2231;8   Communications;CPI all households;1999 September;102.7;-0.7;-7.4;1862
2232;8   Communications;CPI all households;1999 October;103.0;0.3;-7.8;1862
2233;8   Communications;CPI all households;1999 November;101.9;-1.1;-8.8;1862
2234;8   Communications;CPI all households;1999 December;100.0;-1.9;-9.0;1862
2235;8   Communications;CPI all households;1999;104.6;;-5.0;1862
2236;8   Communications;CPI all households;2000 January;100.1;0.1;-6.5;1862
2237;8   Communications;CPI all households;2000 February;100.1;0.0;-6.5;1862
2238;8   Communications;CPI all households;2000 March;100.0;-0.1;-6.7;1862
2239;8   Communications;CPI all households;2000 April;99.2;-0.8;-7.4;1862
2240;8   Communications;CPI all households;2000 May;99.2;0.0;-7.4;1862
2241;8   Communications;CPI all households;2000 June;99.2;0.0;-6.8;1862
2242;8   Communications;CPI all households;2000 July;98.0;-1.2;-4.6;1862
2243;8   Communications;CPI all households;2000 August;98.4;0.4;-4.8;1862
2244;8   Communications;CPI all households;2000 September;98.4;0.0;-4.2;1862
2245;8   Communications;CPI all households;2000 October;96.7;-1.7;-6.1;1862
2246;8   Communications;CPI all households;2000 November;96.7;0.0;-5.1;1862
2247;8   Communications;CPI all households;2000 December;95.3;-1.4;-4.7;1862
2248;8   Communications;CPI all households;2000;98.5;;-5.8;1862
2249;8   Communications;CPI all households;2001 January;95.7;0.4;-4.4;1862
2250;8   Communications;CPI all households;2001 February;95.7;0.0;-4.4;1862
2251;8   Communications;CPI all households;2001 March;95.7;0.0;-4.3;1862
2252;8   Communications;CPI all households;2001 April;97.1;1.5;-2.1;1862
2253;8   Communications;CPI all households;2001 May;96.8;-0.3;-2.4;1862
2254;8   Communications;CPI all households;2001 June;96.8;0.0;-2.4;1862
2255;8   Communications;CPI all households;2001 July;97.5;0.7;-0.5;1862
2256;8   Communications;CPI all households;2001 August;97.6;0.1;-0.8;1862
2257;8   Communications;CPI all households;2001 September;97.6;0.0;-0.8;1862
2258;8   Communications;CPI all households;2001 October;95.2;-2.5;-1.6;1862
2259;8   Communications;CPI all households;2001 November;94.9;-0.3;-1.9;1862
2260;8   Communications;CPI all households;2001 December;93.3;-1.7;-2.1;1862
2261;8   Communications;CPI all households;2001;96.2;;-2.3;1862
2262;8   Communications;CPI all households;2002 January;95.4;2.3;-0.3;1862
2263;8   Communications;CPI all households;2002 February;95.4;0.0;-0.3;1862
2264;8   Communications;CPI all households;2002 March;95.2;-0.2;-0.5;1862
2265;8   Communications;CPI all households;2002 April;95.4;0.2;-1.8;1862
2266;8   Communications;CPI all households;2002 May;95.4;0.0;-1.4;1862
2267;8   Communications;CPI all households;2002 June;95.4;0.0;-1.4;1862
2268;8   Communications;CPI all households;2002 July;95.4;0.0;-2.2;1862
2269;8   Communications;CPI all households;2002 August;96.6;1.3;-1.0;1862
2270;8   Communications;CPI all households;2002 September;96.4;-0.2;-1.2;1862
2271;8   Communications;CPI all households;2002 October;98.4;2.1;3.4;1862
2272;8   Communications;CPI all households;2002 November;98.6;0.2;3.9;1862
2273;8   Communications;CPI all households;2002 December;97.0;-1.6;4.0;1862
2274;8   Communications;CPI all households;2002;96.2;;0.0;1862
2275;8   Communications;CPI low income households;1996 January;108.9;;;1655
2276;8   Communications;CPI low income households;1996 February;108.9;0.0;;1655
2277;8   Communications;CPI low income households;1996 March;108.9;0.0;;1655
2278;8   Communications;CPI low income households;1996 April;108.9;0.0;;1655
2279;8   Communications;CPI low income households;1996 May;108.9;0.0;;1655
2280;8   Communications;CPI low income households;1996 June;108.9;0.0;;1655
2281;8   Communications;CPI low income households;1996 July;108.9;0.0;;1655
2282;8   Communications;CPI low income households;1996 August;108.9;0.0;;1655
2283;8   Communications;CPI low income households;1996 September;108.9;0.0;;1655
2284;8   Communications;CPI low income households;1996 October;108.9;0.0;;1655
2285;8   Communications;CPI low income households;1996 November;108.9;0.0;;1655
2286;8   Communications;CPI low income households;1996 December;108.0;-0.8;;1655
2287;8   Communications;CPI low income households;1996;108.8;;;1655
2288;8   Communications;CPI low income households;1997 January;109.2;1.1;0.3;1655
2289;8   Communications;CPI low income households;1997 February;109.2;0.0;0.3;1655
2290;8   Communications;CPI low income households;1997 March;109.2;0.0;0.3;1655
2291;8   Communications;CPI low income households;1997 April;109.2;0.0;0.3;1655
2292;8   Communications;CPI low income households;1997 May;109.2;0.0;0.3;1655
2293;8   Communications;CPI low income households;1997 June;109.1;-0.1;0.2;1655
2294;8   Communications;CPI low income households;1997 July;109.1;0.0;0.2;1655
2295;8   Communications;CPI low income households;1997 August;109.1;0.0;0.2;1655
2296;8   Communications;CPI low income households;1997 September;109.1;0.0;0.2;1655
2297;8   Communications;CPI low income households;1997 October;109.1;0.0;0.2;1655
2298;8   Communications;CPI low income households;1997 November;109.1;0.0;0.2;1655
2299;8   Communications;CPI low income households;1997 December;107.7;-1.3;-0.3;1655
2300;8   Communications;CPI low income households;1997;109.0;;0.2;1655
2301;8   Communications;CPI low income households;1998 January;109.1;1.3;-0.1;1655
2302;8   Communications;CPI low income households;1998 February;109.1;0.0;-0.1;1655
2303;8   Communications;CPI low income households;1998 March;109.1;0.0;-0.1;1655
2304;8   Communications;CPI low income households;1998 April;109.1;0.0;-0.1;1655
2305;8   Communications;CPI low income households;1998 May;109.1;0.0;-0.1;1655
2306;8   Communications;CPI low income households;1998 June;109.1;0.0;0.0;1655
2307;8   Communications;CPI low income households;1998 July;110.9;1.6;1.6;1655
2308;8   Communications;CPI low income households;1998 August;110.9;0.0;1.6;1655
2309;8   Communications;CPI low income households;1998 September;110.9;0.0;1.6;1655
2310;8   Communications;CPI low income households;1998 October;111.8;0.8;2.5;1655
2311;8   Communications;CPI low income households;1998 November;111.7;-0.1;2.4;1655
2312;8   Communications;CPI low income households;1998 December;110.3;-1.3;2.4;1655
2313;8   Communications;CPI low income households;1998;110.1;;1.0;1655
2314;8   Communications;CPI low income households;1999 January;107.0;-3.0;-1.9;1655
2315;8   Communications;CPI low income households;1999 February;107.0;0.0;-1.9;1655
2316;8   Communications;CPI low income households;1999 March;107.1;0.1;-1.8;1655
2317;8   Communications;CPI low income households;1999 April;106.9;-0.2;-2.0;1655
2318;8   Communications;CPI low income households;1999 May;106.9;0.0;-2.0;1655
2319;8   Communications;CPI low income households;1999 June;106.2;-0.7;-2.7;1655
2320;8   Communications;CPI low income households;1999 July;102.5;-3.5;-7.6;1655
2321;8   Communications;CPI low income households;1999 August;103.2;0.7;-6.9;1655
2322;8   Communications;CPI low income households;1999 September;102.5;-0.7;-7.6;1655
2323;8   Communications;CPI low income households;1999 October;102.8;0.3;-8.1;1655
2324;8   Communications;CPI low income households;1999 November;101.6;-1.2;-9.0;1655
2325;8   Communications;CPI low income households;1999 December;100.1;-1.5;-9.2;1655
2326;8   Communications;CPI low income households;1999;104.5;;-5.1;1655
2327;8   Communications;CPI low income households;2000 January;99.8;-0.3;-6.7;1655
2328;8   Communications;CPI low income households;2000 February;99.8;0.0;-6.7;1655
2329;8   Communications;CPI low income households;2000 March;99.7;-0.1;-6.9;1655
2330;8   Communications;CPI low income households;2000 April;98.9;-0.8;-7.5;1655
2331;8   Communications;CPI low income households;2000 May;98.9;0.0;-7.5;1655
2332;8   Communications;CPI low income households;2000 June;98.9;0.0;-6.9;1655
2333;8   Communications;CPI low income households;2000 July;97.7;-1.2;-4.7;1655
2334;8   Communications;CPI low income households;2000 August;98.1;0.4;-4.9;1655
2335;8   Communications;CPI low income households;2000 September;98.1;0.0;-4.3;1655
2336;8   Communications;CPI low income households;2000 October;96.4;-1.7;-6.2;1655
2337;8   Communications;CPI low income households;2000 November;96.4;0.0;-5.1;1655
2338;8   Communications;CPI low income households;2000 December;95.2;-1.2;-4.9;1655
2339;8   Communications;CPI low income households;2000;98.2;;-6.0;1655
2340;8   Communications;CPI low income households;2001 January;95.4;0.2;-4.4;1655
2341;8   Communications;CPI low income households;2001 February;95.4;0.0;-4.4;1655
2342;8   Communications;CPI low income households;2001 March;95.3;-0.1;-4.4;1655
2343;8   Communications;CPI low income households;2001 April;96.8;1.6;-2.1;1655
2344;8   Communications;CPI low income households;2001 May;96.4;-0.4;-2.5;1655
2345;8   Communications;CPI low income households;2001 June;96.4;0.0;-2.5;1655
2346;8   Communications;CPI low income households;2001 July;97.0;0.6;-0.7;1655
2347;8   Communications;CPI low income households;2001 August;97.1;0.1;-1.0;1655
2348;8   Communications;CPI low income households;2001 September;97.1;0.0;-1.0;1655
2349;8   Communications;CPI low income households;2001 October;94.7;-2.5;-1.8;1655
2350;8   Communications;CPI low income households;2001 November;94.4;-0.3;-2.1;1655
2351;8   Communications;CPI low income households;2001 December;93.2;-1.3;-2.1;1655
2352;8   Communications;CPI low income households;2001;95.8;;-2.4;1655
2353;8   Communications;CPI low income households;2002 January;94.9;1.8;-0.5;1655
2354;8   Communications;CPI low income households;2002 February;94.9;0.0;-0.5;1655
2355;8   Communications;CPI low income households;2002 March;94.6;-0.3;-0.7;1655
2356;8   Communications;CPI low income households;2002 April;94.9;0.3;-2.0;1655
2357;8   Communications;CPI low income households;2002 May;94.8;-0.1;-1.7;1655
2358;8   Communications;CPI low income households;2002 June;94.9;0.1;-1.6;1655
2359;8   Communications;CPI low income households;2002 July;94.9;0.0;-2.2;1655
2360;8   Communications;CPI low income households;2002 August;96.1;1.3;-1.0;1655
2361;8   Communications;CPI low income households;2002 September;95.9;-0.2;-1.2;1655
2362;8   Communications;CPI low income households;2002 October;97.9;2.1;3.4;1655
2363;8   Communications;CPI low income households;2002 November;98.2;0.3;4.0;1655
2364;8   Communications;CPI low income households;2002 December;96.8;-1.4;3.9;1655
2365;8   Communications;CPI low income households;2002;95.7;;-0.1;1655
2366;8   Communications;CPI high income households;1996 January;108.7;;;1377
2367;8   Communications;CPI high income households;1996 February;108.7;0.0;;1377
2368;8   Communications;CPI high income households;1996 March;108.7;0.0;;1377
2369;8   Communications;CPI high income households;1996 April;108.7;0.0;;1377
2370;8   Communications;CPI high income households;1996 May;108.7;0.0;;1377
2371;8   Communications;CPI high income households;1996 June;108.7;0.0;;1377
2372;8   Communications;CPI high income households;1996 July;108.7;0.0;;1377
2373;8   Communications;CPI high income households;1996 August;108.7;0.0;;1377
2374;8   Communications;CPI high income households;1996 September;108.7;0.0;;1377
2375;8   Communications;CPI high income households;1996 October;108.7;0.0;;1377
2376;8   Communications;CPI high income households;1996 November;108.7;0.0;;1377
2377;8   Communications;CPI high income households;1996 December;107.4;-1.2;;1377
2378;8   Communications;CPI high income households;1996;108.6;;;1377
2379;8   Communications;CPI high income households;1997 January;109.4;1.9;0.6;1377
2380;8   Communications;CPI high income households;1997 February;109.4;0.0;0.6;1377
2381;8   Communications;CPI high income households;1997 March;109.4;0.0;0.6;1377
2382;8   Communications;CPI high income households;1997 April;109.4;0.0;0.6;1377
2383;8   Communications;CPI high income households;1997 May;109.4;0.0;0.6;1377
2384;8   Communications;CPI high income households;1997 June;109.2;-0.2;0.5;1377
2385;8   Communications;CPI high income households;1997 July;109.2;0.0;0.5;1377
2386;8   Communications;CPI high income households;1997 August;109.2;0.0;0.5;1377
2387;8   Communications;CPI high income households;1997 September;109.2;0.0;0.5;1377
2388;8   Communications;CPI high income households;1997 October;109.2;0.0;0.5;1377
2389;8   Communications;CPI high income households;1997 November;109.2;0.0;0.5;1377
2390;8   Communications;CPI high income households;1997 December;107.0;-2.0;-0.4;1377
2391;8   Communications;CPI high income households;1997;109.1;;0.5;1377
2392;8   Communications;CPI high income households;1998 January;109.2;2.1;-0.2;1377
2393;8   Communications;CPI high income households;1998 February;109.2;0.0;-0.2;1377
2394;8   Communications;CPI high income households;1998 March;109.2;0.0;-0.2;1377
2395;8   Communications;CPI high income households;1998 April;109.2;0.0;-0.2;1377
2396;8   Communications;CPI high income households;1998 May;109.2;0.0;-0.2;1377
2397;8   Communications;CPI high income households;1998 June;109.2;0.0;0.0;1377
2398;8   Communications;CPI high income households;1998 July;110.9;1.6;1.6;1377
2399;8   Communications;CPI high income households;1998 August;110.9;0.0;1.6;1377
2400;8   Communications;CPI high income households;1998 September;110.9;0.0;1.6;1377
2401;8   Communications;CPI high income households;1998 October;112.1;1.1;2.7;1377
2402;8   Communications;CPI high income households;1998 November;112.1;0.0;2.7;1377
2403;8   Communications;CPI high income households;1998 December;109.8;-2.1;2.6;1377
2404;8   Communications;CPI high income households;1998;110.2;;1.0;1377
2405;8   Communications;CPI high income households;1999 January;107.8;-1.8;-1.3;1377
2406;8   Communications;CPI high income households;1999 February;107.8;0.0;-1.3;1377
