ID;SexOfEmployee;TypeOfEmploymentContract;JobCharacterics;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
6523;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2019;114.0;98.0;23.81;2982.0;2931.0;40690.0;35780.0;4910.0;300.0;32.8;32.4;1477.0;1717.0
6524;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2020;119.0;102.0;24.91;3095.0;3055.0;41980.0;37140.0;4840.0;320.0;32.7;32.4;1472.0;1719.0
6525;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2021;124.0;107.0;25.08;3143.0;3100.0;42960.0;37720.0;5240.0;340.0;32.7;32.4;1483.0;1729.0
6526;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2022;132.0;113.0;25.96;3251.0;3210.0;44560.0;39010.0;5550.0;370.0;32.7;32.4;1484.0;1731.0
6527;Total;Total;Working hours: 30 to 34 hours a week;A-F Agriculture and industry;2023;142.0;122.0;27.73;3451.0;3411.0;47030.0;41410.0;5620.0;400.0;32.7;32.4;1476.0;1723.0
6528;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2009;7.0;6.0;13.87;1798.0;1699.0;23550.0;21580.0;1980.0;120.0;33.5;32.3;1470.0;1667.0
6529;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2010 before change of method;6.0;5.0;13.2;1649.0;1608.0;21660.0;19790.0;1880.0;110.0;32.9;32.2;1462.0;1647.0
6530;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2010 after change of method;6.0;5.0;13.22;1652.0;1612.0;21700.0;19830.0;1870.0;120.0;32.9;32.2;1463.0;1648.0
6531;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2011;6.0;6.0;13.77;1777.0;1699.0;23360.0;21330.0;2030.0;140.0;33.4;32.3;1481.0;1686.0
6532;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2012;6.0;5.0;14.15;1801.0;1731.0;23540.0;21620.0;1930.0;150.0;33.3;32.3;1468.0;1681.0
6533;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2013;6.0;5.0;14.41;1819.0;1757.0;23760.0;21830.0;1930.0;150.0;33.4;32.3;1463.0;1684.0
6534;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2014;6.0;5.0;14.84;1892.0;1820.0;24550.0;22710.0;1840.0;170.0;33.4;32.3;1471.0;1696.0
6535;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2015;6.0;5.0;15.13;1923.0;1847.0;25010.0;23080.0;1930.0;140.0;33.4;32.3;1465.0;1698.0
6536;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2016;7.0;6.0;15.27;1953.0;1876.0;25340.0;23440.0;1900.0;130.0;33.5;32.4;1475.0;1713.0
6537;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2017;6.0;5.0;15.71;1975.0;1920.0;25740.0;23700.0;2030.0;160.0;33.0;32.2;1466.0;1703.0
6538;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2018;6.0;5.0;16.43;2045.0;1996.0;26600.0;24540.0;2060.0;160.0;32.9;32.2;1458.0;1696.0
6539;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2019;7.0;6.0;16.99;2124.0;2076.0;27700.0;25480.0;2220.0;170.0;32.9;32.2;1467.0;1710.0
6540;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2020;7.0;6.0;18.13;2250.0;2208.0;29500.0;27000.0;2500.0;190.0;32.7;32.2;1461.0;1715.0
6541;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2021;7.0;6.0;18.13;2276.0;2226.0;29780.0;27310.0;2470.0;190.0;32.8;32.2;1473.0;1721.0
6542;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2022;7.0;6.0;18.76;2348.0;2303.0;30980.0;28180.0;2800.0;200.0;32.7;32.2;1473.0;1721.0
6543;Total;Total;Working hours: 30 to 34 hours a week;A Agriculture, forestry and fishing;2023;8.0;7.0;20.33;2526.0;2485.0;33200.0;30310.0;2890.0;220.0;32.7;32.2;1467.0;1715.0
6544;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2009;111.0;99.0;19.92;2556.0;2465.0;34890.0;30680.0;4210.0;310.0;33.5;32.6;1485.0;1676.0
6545;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2010 before change of method;102.0;91.0;19.9;2516.0;2463.0;34350.0;30200.0;4150.0;280.0;33.2;32.6;1485.0;1668.0
6546;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2010 after change of method;103.0;92.0;19.91;2518.0;2464.0;34360.0;30210.0;4150.0;290.0;33.2;32.6;1485.0;1668.0
6547;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2011;110.0;97.0;20.16;2607.0;2522.0;35200.0;31280.0;3910.0;270.0;33.5;32.7;1501.0;1691.0
6548;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2012;110.0;98.0;20.7;2649.0;2571.0;35820.0;31780.0;4040.0;280.0;33.5;32.7;1490.0;1679.0
6549;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2013;90.0;79.0;21.51;2699.0;2641.0;36960.0;32380.0;4580.0;280.0;33.1;32.5;1474.0;1694.0
6550;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2014;95.0;83.0;21.49;2739.0;2655.0;37360.0;32870.0;4500.0;290.0;33.3;32.5;1483.0;1700.0
6551;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2015;93.0;81.0;23.0;2903.0;2820.0;39450.0;34830.0;4610.0;240.0;33.2;32.4;1471.0;1699.0
6552;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2016;94.0;81.0;22.97;2914.0;2832.0;40040.0;34960.0;5080.0;240.0;33.2;32.5;1479.0;1709.0
6553;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2017;94.0;82.0;23.23;2929.0;2864.0;40120.0;35150.0;4960.0;280.0;33.0;32.4;1480.0;1712.0
6554;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2018;100.0;86.0;23.68;2956.0;2903.0;40530.0;35480.0;5050.0;290.0;32.8;32.4;1471.0;1707.0
6555;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2019;107.0;92.0;24.25;3037.0;2986.0;41520.0;36440.0;5080.0;310.0;32.8;32.4;1478.0;1718.0
6556;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2020;112.0;96.0;25.35;3150.0;3110.0;42790.0;37800.0;4990.0;330.0;32.7;32.4;1472.0;1719.0
6557;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2021;117.0;100.0;25.51;3198.0;3155.0;43790.0;38370.0;5420.0;340.0;32.7;32.4;1484.0;1729.0
6558;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2022;125.0;107.0;26.39;3305.0;3265.0;45380.0;39660.0;5710.0;380.0;32.7;32.4;1484.0;1732.0
6559;Total;Total;Working hours: 30 to 34 hours a week;B-F Industry and energy;2023;134.0;115.0;28.15;3504.0;3464.0;47820.0;42050.0;5780.0;410.0;32.7;32.4;1477.0;1724.0
6560;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2009;84.0;74.0;19.53;2513.0;2422.0;35000.0;30150.0;4850.0;190.0;33.6;32.7;1488.0;1671.0
6561;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2010 before change of method;80.0;72.0;19.63;2492.0;2437.0;34570.0;29900.0;4670.0;180.0;33.2;32.7;1490.0;1664.0
6562;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2010 after change of method;80.0;72.0;19.63;2491.0;2437.0;34560.0;29890.0;4670.0;190.0;33.2;32.7;1490.0;1664.0
6563;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2011;87.0;78.0;20.01;2595.0;2510.0;35470.0;31140.0;4330.0;180.0;33.6;32.7;1506.0;1682.0
6564;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2012;88.0;79.0;20.54;2636.0;2559.0;36070.0;31640.0;4440.0;180.0;33.5;32.8;1495.0;1672.0
6565;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2013;71.0;62.0;21.55;2710.0;2652.0;37680.0;32520.0;5160.0;180.0;33.1;32.5;1477.0;1692.0
6566;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2014;76.0;67.0;21.54;2752.0;2668.0;37980.0;33020.0;4960.0;180.0;33.3;32.6;1486.0;1696.0
6567;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2015;75.0;65.0;23.39;2961.0;2876.0;40650.0;35530.0;5120.0;160.0;33.3;32.5;1475.0;1695.0
6568;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2016;76.0;66.0;23.3;2961.0;2878.0;41190.0;35530.0;5660.0;160.0;33.2;32.5;1482.0;1703.0
6569;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2017;75.0;65.0;23.56;2974.0;2908.0;41220.0;35680.0;5540.0;180.0;33.0;32.5;1481.0;1712.0
6570;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2018;79.0;68.0;24.02;3001.0;2947.0;41670.0;36020.0;5650.0;190.0;32.9;32.4;1472.0;1708.0
6571;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2019;84.0;72.0;24.63;3087.0;3035.0;42730.0;37040.0;5690.0;200.0;32.9;32.4;1479.0;1718.0
6572;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2020;88.0;75.0;25.87;3218.0;3178.0;44190.0;38620.0;5580.0;210.0;32.8;32.4;1474.0;1719.0
6573;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2021;91.0;78.0;26.03;3266.0;3221.0;45260.0;39190.0;6070.0;210.0;32.8;32.4;1485.0;1729.0
6574;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2022;95.0;82.0;26.89;3372.0;3329.0;46900.0;40470.0;6430.0;220.0;32.8;32.4;1485.0;1732.0
6575;Total;Total;Working hours: 30 to 34 hours a week;B-E Industry (no construction), energy;2023;102.0;88.0;28.81;3588.0;3546.0;49580.0;43060.0;6530.0;250.0;32.7;32.4;1477.0;1724.0
6576;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2009;1.0;0.0;32.66;4110.0;4025.0;59970.0;49320.0;10650.0;620.0;33.3;32.6;1479.0;1708.0
6577;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2010 before change of method;1.0;0.0;35.43;4390.0;4335.0;64010.0;52680.0;11330.0;710.0;32.9;32.4;1468.0;1680.0
6578;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2010 after change of method;1.0;0.0;35.42;4390.0;4335.0;63940.0;52690.0;11260.0;710.0;32.9;32.4;1469.0;1680.0
6579;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2011;1.0;1.0;39.62;4962.0;4891.0;70520.0;59540.0;10970.0;640.0;33.1;32.4;1481.0;1708.0
6580;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2012;1.0;1.0;36.38;4539.0;4463.0;65040.0;54470.0;10570.0;590.0;33.1;32.4;1472.0;1701.0
6581;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2013;1.0;1.0;36.93;4653.0;4562.0;69840.0;55840.0;14010.0;640.0;33.3;32.7;1482.0;1735.0
6582;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2014;1.0;1.0;37.32;4769.0;4632.0;70320.0;57230.0;13090.0;550.0;33.7;32.7;1489.0;1746.0
6583;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2015;1.0;1.0;40.48;5071.0;4983.0;75190.0;60850.0;14350.0;450.0;33.3;32.6;1477.0;1743.0
6584;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2016;1.0;1.0;38.63;4858.0;4786.0;74740.0;58290.0;16440.0;370.0;33.2;32.6;1487.0;1749.0
6585;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2017;1.0;1.0;37.06;4661.0;4604.0;68570.0;55930.0;12640.0;350.0;33.2;32.7;1491.0;1772.0
6586;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2018;1.0;1.0;36.88;4615.0;4570.0;69100.0;55380.0;13730.0;350.0;33.1;32.7;1487.0;1767.0
6587;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2019;1.0;1.0;37.36;4701.0;4655.0;69720.0;56410.0;13310.0;340.0;33.1;32.8;1495.0;1778.0
6588;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2020;1.0;1.0;36.39;4548.0;4515.0;67070.0;54580.0;12490.0;280.0;33.0;32.8;1489.0;1775.0
6589;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2021;1.0;1.0;36.04;4538.0;4503.0;66390.0;54460.0;11940.0;390.0;32.9;32.7;1499.0;1793.0
6590;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2022;1.0;1.0;36.9;4646.0;4599.0;70520.0;55750.0;14770.0;360.0;33.0;32.7;1496.0;1792.0
6591;Total;Total;Working hours: 30 to 34 hours a week;B Mining and quarrying ;2023;1.0;1.0;40.12;5029.0;4983.0;76190.0;60350.0;15840.0;410.0;33.0;32.7;1491.0;1793.0
6592;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2009;77.0;69.0;19.13;2463.0;2374.0;34310.0;29560.0;4750.0;170.0;33.6;32.7;1490.0;1670.0
6593;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2010 before change of method;74.0;67.0;19.19;2441.0;2387.0;33820.0;29290.0;4530.0;170.0;33.3;32.7;1492.0;1663.0
6594;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2010 after change of method;74.0;67.0;19.19;2440.0;2386.0;33810.0;29280.0;4530.0;170.0;33.3;32.7;1492.0;1663.0
6595;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2011;80.0;72.0;19.52;2536.0;2453.0;34590.0;30430.0;4160.0;170.0;33.6;32.8;1508.0;1679.0
6596;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2012;80.0;72.0;19.98;2568.0;2493.0;35070.0;30810.0;4260.0;160.0;33.5;32.8;1497.0;1669.0
6597;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2013;64.0;56.0;20.96;2639.0;2582.0;36610.0;31670.0;4940.0;160.0;33.1;32.5;1478.0;1689.0
6598;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2014;69.0;61.0;20.99;2681.0;2602.0;36930.0;32180.0;4760.0;160.0;33.3;32.6;1487.0;1692.0
6599;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2015;68.0;59.0;22.88;2897.0;2815.0;39680.0;34770.0;4910.0;140.0;33.2;32.5;1477.0;1692.0
6600;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2016;69.0;60.0;22.84;2904.0;2823.0;40310.0;34850.0;5460.0;150.0;33.2;32.5;1483.0;1700.0
6601;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2017;68.0;59.0;23.15;2924.0;2856.0;40490.0;35090.0;5400.0;160.0;33.0;32.5;1481.0;1709.0
6602;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2018;72.0;62.0;23.6;2950.0;2894.0;40930.0;35400.0;5520.0;170.0;32.9;32.4;1472.0;1705.0
6603;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2019;77.0;66.0;24.24;3040.0;2986.0;42010.0;36480.0;5520.0;180.0;32.9;32.4;1478.0;1716.0
6604;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2020;79.0;68.0;25.48;3173.0;3128.0;43420.0;38080.0;5350.0;200.0;32.8;32.4;1473.0;1714.0
6605;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2021;82.0;70.0;25.65;3218.0;3173.0;44560.0;38620.0;5940.0;200.0;32.8;32.4;1484.0;1725.0
6606;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2022;86.0;74.0;26.53;3328.0;3283.0;46120.0;39930.0;6180.0;210.0;32.8;32.4;1485.0;1728.0
6607;Total;Total;Working hours: 30 to 34 hours a week;C Manufacturing;2023;92.0;79.0;28.43;3542.0;3498.0;48790.0;42500.0;6290.0;230.0;32.7;32.4;1476.0;1719.0
6608;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2009;2.0;2.0;25.35;3181.0;3107.0;45130.0;38170.0;6960.0;600.0;32.8;32.3;1471.0;1740.0
6609;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2010 before change of method;2.0;2.0;25.25;3121.0;3081.0;43990.0;37450.0;6540.0;510.0;32.6;32.3;1464.0;1726.0
6610;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2010 after change of method;2.0;2.0;25.25;3121.0;3082.0;44000.0;37460.0;6540.0;510.0;32.6;32.3;1465.0;1726.0
6611;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2011;3.0;2.0;26.34;3310.0;3247.0;46230.0;39720.0;6500.0;560.0;32.8;32.3;1479.0;1748.0
6612;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2012;3.0;3.0;28.55;3557.0;3496.0;49160.0;42680.0;6480.0;530.0;32.8;32.4;1469.0;1730.0
6613;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2013;3.0;3.0;27.85;3438.0;3402.0;48560.0;41250.0;7310.0;470.0;32.7;32.4;1466.0;1738.0
6614;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2014;3.0;3.0;28.26;3529.0;3472.0;49860.0;42340.0;7520.0;490.0;32.8;32.4;1474.0;1743.0
6615;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2015;3.0;3.0;29.2;3616.0;3564.0;50590.0;43390.0;7200.0;460.0;32.7;32.4;1465.0;1733.0
6616;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2016;3.0;3.0;28.65;3555.0;3515.0;50190.0;42660.0;7530.0;370.0;32.7;32.4;1472.0;1744.0
6617;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2017;3.0;3.0;28.44;3580.0;3557.0;50120.0;42960.0;7170.0;470.0;32.6;32.4;1501.0;1768.0
6618;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2018;3.0;3.0;29.41;3675.0;3662.0;51260.0;44100.0;7150.0;450.0;32.5;32.4;1494.0;1761.0
6619;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2019;3.0;3.0;29.93;3728.0;3715.0;52930.0;44740.0;8190.0;440.0;32.4;32.3;1489.0;1760.0
6620;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2020;4.0;3.0;31.22;3842.0;3891.0;55170.0;46100.0;9070.0;450.0;32.6;32.5;1495.0;1789.0
6621;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2021;4.0;4.0;31.66;3982.0;3965.0;55620.0;47790.0;7840.0;450.0;32.5;32.3;1503.0;1785.0
6622;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2022;5.0;4.0;32.4;4072.0;4062.0;58120.0;48870.0;9260.0;460.0;32.5;32.4;1504.0;1789.0
6623;Total;Total;Working hours: 30 to 34 hours a week;D Electricity and gas supply;2023;5.0;4.0;34.27;4288.0;4276.0;60640.0;51450.0;9180.0;500.0;32.4;32.3;1497.0;1783.0
6624;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2009;4.0;3.0;22.4;2885.0;2746.0;39440.0;34620.0;4810.0;270.0;33.9;32.5;1471.0;1662.0
6625;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2010 before change of method;3.0;3.0;23.24;2899.0;2831.0;40350.0;34790.0;5560.0;250.0;33.1;32.4;1462.0;1662.0
6626;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2010 after change of method;3.0;3.0;23.25;2899.0;2831.0;40350.0;34790.0;5560.0;250.0;33.1;32.4;1462.0;1662.0
6627;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2011;4.0;4.0;22.42;2921.0;2781.0;40180.0;35050.0;5130.0;230.0;34.1;32.5;1489.0;1707.0
6628;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2012;4.0;4.0;23.03;2977.0;2836.0;41180.0;35730.0;5460.0;220.0;34.1;32.5;1478.0;1696.0
6629;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2013;3.0;2.0;24.0;3012.0;2924.0;41740.0;36140.0;5610.0;270.0;33.6;32.5;1462.0;1693.0
6630;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2014;3.0;3.0;22.99;2998.0;2818.0;40740.0;35980.0;4770.0;230.0;34.5;32.5;1471.0;1712.0
6631;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2015;3.0;3.0;23.53;3042.0;2869.0;41290.0;36500.0;4780.0;220.0;34.4;32.5;1463.0;1723.0
6632;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2016;3.0;3.0;23.55;3040.0;2884.0;41310.0;36490.0;4820.0;240.0;34.2;32.5;1470.0;1727.0
6633;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2017;3.0;2.0;24.43;3056.0;2981.0;41890.0;36670.0;5220.0;280.0;33.2;32.4;1464.0;1709.0
6634;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2018;3.0;3.0;24.97;3094.0;3032.0;42300.0;37130.0;5170.0;280.0;33.0;32.4;1457.0;1710.0
6635;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2019;3.0;3.0;25.54;3176.0;3119.0;43330.0;38120.0;5210.0;270.0;33.0;32.4;1465.0;1721.0
6636;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2020;3.0;3.0;26.16;3231.0;3181.0;44050.0;38780.0;5270.0;270.0;32.9;32.4;1460.0;1721.0
6637;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2021;4.0;3.0;26.05;3263.0;3204.0;44950.0;39160.0;5800.0;270.0;33.0;32.5;1476.0;1736.0
6638;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2022;4.0;4.0;26.21;3267.0;3220.0;45950.0;39200.0;6750.0;270.0;32.9;32.5;1474.0;1738.0
6639;Total;Total;Working hours: 30 to 34 hours a week;E Water supply and waste management;2023;5.0;4.0;27.91;3456.0;3409.0;48020.0;41470.0;6550.0;310.0;32.8;32.4;1466.0;1748.0
6640;Total;Total;Working hours: 30 to 34 hours a week;F Construction;2009;28.0;24.0;21.1;2688.0;2595.0;34560.0;32260.0;2300.0;670.0;33.4;32.5;1476.0;1691.0
6641;Total;Total;Working hours: 30 to 34 hours a week;F Construction;2010 before change of method;22.0;19.0;20.9;2605.0;2554.0;33520.0;31260.0;2260.0;620.0;32.9;32.4;1466.0;1682.0
6642;Total;Total;Working hours: 30 to 34 hours a week;F Construction;2010 after change of method;23.0;20.0;20.93;2612.0;2562.0;33640.0;31350.0;2290.0;650.0;33.0;32.4;1469.0;1683.0
