ID;TripCharacteristics;Population;ModesOfTravel;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
6513;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2021;0.43;4.97
6514;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2022;0.41;4.86
6515;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Drenthe (PV);2023;0.51;5.61
6516;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2018;0.47;5.19
6517;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2019;0.47;5.39
6518;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2020;0.43;5.26
6519;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2021;0.45;5.17
6520;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2022;0.47;5.69
6521;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Overijssel (PV);2023;0.46;5.82
6522;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2018;0.43;5.34
6523;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2019;0.42;5.23
6524;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2020;0.43;5.3
6525;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2021;0.45;5.64
6526;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2022;0.46;6.36
6527;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Flevoland (PV);2023;0.46;6.22
6528;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2018;0.46;5.65
6529;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2019;0.47;5.73
6530;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2020;0.44;5.52
6531;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2021;0.46;6.1
6532;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2022;0.47;5.9
6533;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Gelderland (PV);2023;0.48;6.19
6534;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2018;0.46;5.88
6535;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2019;0.44;5.41
6536;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2020;0.44;6.11
6537;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2021;0.45;5.97
6538;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2022;0.47;6.25
6539;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Utrecht (PV);2023;0.47;6.3
6540;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2018;0.46;6.1
6541;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2019;0.45;6.29
6542;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2020;0.45;6.2
6543;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2021;0.45;6.83
6544;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2022;0.46;6.81
6545;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2023;0.46;6.95
6546;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;0.45;6.34
6547;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;0.46;6.37
6548;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;0.45;6.73
6549;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;0.45;6.67
6550;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;0.47;6.71
6551;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;0.47;7.08
6552;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2018;0.42;4.95
6553;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2019;0.44;4.78
6554;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2020;0.44;5.14
6555;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2021;0.43;5.16
6556;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2022;0.41;5.1
6557;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Zeeland (PV);2023;0.45;5.02
6558;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;0.46;5.83
6559;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;0.46;6.03
6560;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;0.45;5.78
6561;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;0.45;5.85
6562;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;0.48;6.2
6563;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;0.47;6.23
6564;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2018;0.46;6.09
6565;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2019;0.47;6.13
6566;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2020;0.46;5.87
6567;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2021;0.43;6.2
6568;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2022;0.46;6.34
6569;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2023;0.46;6.01
6570;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2018;0.45;6.48
6571;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2019;0.45;6.75
6572;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2020;0.44;6.83
6573;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2021;0.44;6.99
6574;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2022;0.46;7.09
6575;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2023;0.45;7.23
6576;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2018;0.47;6.18
6577;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2019;0.47;6.17
6578;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2020;0.45;6.24
6579;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2021;0.46;6.55
6580;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2022;0.48;6.77
6581;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2023;0.48;6.68
6582;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2018;0.46;5.65
6583;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2019;0.47;5.85
6584;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2020;0.46;5.8
6585;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2021;0.46;5.7
6586;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2022;0.48;6.03
6587;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2023;0.48;6.25
6588;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2018;0.46;5.48
6589;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2019;0.46;5.51
6590;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2020;0.45;5.51
6591;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2021;0.46;5.6
6592;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2022;0.46;5.63
6593;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2023;0.48;5.91
6594;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2018;0.44;4.95
6595;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2019;0.45;5.07
6596;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2020;0.45;5.11
6597;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2021;0.42;4.98
6598;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2022;0.44;4.93
6599;Distance: 0 to <1 km;Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2023;0.45;5.27
6600;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2018;0.48;6.23
6601;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2019;0.48;6.58
6602;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2020;0.47;6.57
6603;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2021;0.47;6.91
6604;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2022;0.48;6.81
6605;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2023;0.49;6.99
6606;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;0.48;5.91
6607;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;0.49;6.57
6608;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;0.5;6.55
6609;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;0.48;7.99
6610;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;0.47;6.55
6611;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;0.5;6.8
6612;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;0.49;5.95
6613;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;0.5;6.19
6614;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;0.47;6.43
6615;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;0.48;6.76
6616;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;0.49;6.78
6617;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;0.5;6.89
6618;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2018;0.48;6.48
6619;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2019;0.47;6.86
6620;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2020;0.46;6.99
6621;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2021;0.46;7.25
6622;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2022;0.48;7.14
6623;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2023;0.48;7.45
6624;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;0.48;6.44
6625;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;0.49;6.96
6626;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;0.48;6.33
6627;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;0.47;6.78
6628;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;0.5;6.8
6629;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;0.49;6.68
6630;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2018;0.47;5.91
6631;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2019;0.5;6.83
6632;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2020;0.51;6.77
6633;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2021;0.48;6.38
6634;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2022;0.46;6.54
6635;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2023;0.5;7.44
6636;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2018;0.49;6.01
6637;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2019;0.5;7.42
6638;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2020;0.51;6.99
6639;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2021;0.49;11.78
6640;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2022;0.5;6.21
6641;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2023;0.5;6.49
6642;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2018;0.53;6.62
6643;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2019;0.52;6.26
6644;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2020;0.52;7.06
6645;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2021;0.5;6.11
6646;Distance: 0 to <1 km;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2022;0.47;8.26
