ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
4256;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2017;84390;0.48
4257;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2018;78510;0.45
4258;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2019;72765;0.41
4259;Total male and female;10000;Total background and generation;N07C Antivertigo preparations;2020;66960;0.38
4260;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2006;965;0.01
4261;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2007;1130;0.01
4262;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2008;1205;0.01
4263;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2009;1285;0.01
4264;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2010;1430;0.01
4265;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2011;1545;0.01
4266;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2012;1580;0.01
4267;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2013;1725;0.01
4268;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2014;2770;0.02
4269;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2015;3795;0.02
4270;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2016;5785;0.03
4271;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2017;6755;0.04
4272;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2018;6785;0.04
4273;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2019;4640;0.03
4274;Total male and female;10000;Total background and generation;N07X Other nervous system drugs;2020;5600;0.03
4275;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2006;180690;1.09
4276;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2007;181200;1.09
4277;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2008;185420;1.11
4278;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2009;190505;1.13
4279;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2010;197150;1.16
4280;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2011;205700;1.21
4281;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2012;206985;1.21
4282;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2013;204960;1.2
4283;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2014;211735;1.23
4284;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2015;205675;1.19
4285;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2016;202760;1.17
4286;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2017;202810;1.16
4287;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2018;202995;1.15
4288;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2019;203405;1.15
4289;Total male and female;10000;Total background and generation;P Antiparasitics,insecticides,repellents;2020;189355;1.06
4290;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2006;171060;1.03
4291;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2007;170670;1.02
4292;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2008;178715;1.07
4293;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2009;182470;1.08
4294;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2010;187365;1.11
4295;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2011;194490;1.14
4296;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2012;195225;1.14
4297;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2013;190885;1.11
4298;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2014;194090;1.13
4299;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2015;185255;1.07
4300;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2016;178430;1.03
4301;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2017;173305;0.99
4302;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2018;172165;0.98
4303;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2019;170360;0.96
4304;Total male and female;10000;Total background and generation;P01 Antiprotozoals;2020;153615;0.86
4305;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2006;136580;0.82
4306;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2007;144015;0.86
4307;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2008;147525;0.88
4308;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2009;151365;0.9
4309;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2010;153995;0.91
4310;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2011;158040;0.93
4311;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2012;156760;0.92
4312;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2013;149885;0.87
4313;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2014;150180;0.87
4314;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2015;139845;0.81
4315;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2016;132005;0.76
4316;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2017;125710;0.72
4317;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2018;124455;0.71
4318;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2019;120855;0.68
4319;Total male and female;10000;Total background and generation;P01A Amoebiasis / other protozoal dis.;2020;106440;0.6
4320;Total male and female;10000;Total background and generation;P01B Antimalarials;2006;34860;0.21
4321;Total male and female;10000;Total background and generation;P01B Antimalarials;2007;26880;0.16
4322;Total male and female;10000;Total background and generation;P01B Antimalarials;2008;31475;0.19
4323;Total male and female;10000;Total background and generation;P01B Antimalarials;2009;31400;0.19
4324;Total male and female;10000;Total background and generation;P01B Antimalarials;2010;33735;0.2
4325;Total male and female;10000;Total background and generation;P01B Antimalarials;2011;36785;0.22
4326;Total male and female;10000;Total background and generation;P01B Antimalarials;2012;38765;0.23
4327;Total male and female;10000;Total background and generation;P01B Antimalarials;2013;41315;0.24
4328;Total male and female;10000;Total background and generation;P01B Antimalarials;2014;44275;0.26
4329;Total male and female;10000;Total background and generation;P01B Antimalarials;2015;45715;0.26
4330;Total male and female;10000;Total background and generation;P01B Antimalarials;2016;46765;0.27
4331;Total male and female;10000;Total background and generation;P01B Antimalarials;2017;47925;0.27
4332;Total male and female;10000;Total background and generation;P01B Antimalarials;2018;48130;0.27
4333;Total male and female;10000;Total background and generation;P01B Antimalarials;2019;49915;0.28
4334;Total male and female;10000;Total background and generation;P01B Antimalarials;2020;47560;0.27
4335;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2006;110;0.0
4336;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2007;150;0.0
4337;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2008;160;0.0
4338;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2009;175;0.0
4339;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2010;185;0.0
4340;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2011;195;0.0
4341;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2012;210;0.0
4342;Total male and female;10000;Total background and generation;P01C Leishmaniasis and trypanosomiasis;2013;205;0.0
