ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
4804;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2002;4906
4805;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2003;5413
4806;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2004;6490
4807;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2005;6716
4808;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2006;3316
4809;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2007;3590
4810;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2008;3932
4811;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2009;4104
4812;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2010;4225
4813;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2011;4504
4814;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2012;4669
4815;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2013;4413
4816;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2014;4303
4817;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2015;4350
4818;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2016;4390
4819;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2017;4451
4820;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2018;4523
4821;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2019;4503
4822;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2020;4458
4823;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2021;4259
4824;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health, social care and welfare;2022;4372
4825;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;1998;3263
4826;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;1999;3528
4827;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2000;3738
4828;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2001;4179
4829;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2002;4822
4830;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2003;5321
4831;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2004;6383
4832;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2005;6604
4833;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2006;3309
4834;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2007;3583
4835;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2008;3932
4836;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2009;4104
4837;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2010;4225
4838;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2011;4504
4839;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2012;4669
4840;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2013;4413
4841;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2014;4303
4842;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2015;4350
4843;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2016;4390
4844;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2017;4451
4845;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2018;4523
4846;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2019;4503
4847;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2020;4458
4848;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2021;4259
4849;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total current expenditure on healthcare;2022;4372
4850;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;1998;0
4851;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;1999;0
4852;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2000;0
4853;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2001;0
4854;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2002;0
4855;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2003;0
4856;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2004;0
4857;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2005;0
4858;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2006;0
4859;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2007;0
4860;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2008;0
4861;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2009;0
4862;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2010;0
4863;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2011;0
4864;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2012;0
4865;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2013;0
4866;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2014;0
4867;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2015;0
4868;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2016;0
4869;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2017;0
4870;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2018;0
4871;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2019;0
4872;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2020;0
4873;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2021;0
4874;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Total health related expenditure;2022;0
4875;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;1998;52
4876;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;1999;59
4877;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2000;61
4878;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2001;71
4879;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2002;84
4880;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2003;92
4881;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2004;107
4882;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2005;112
4883;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2006;7
4884;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2007;8
4885;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2008;0
4886;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2009;0
4887;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2010;0
4888;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2011;0
4889;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2012;0
4890;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2013;0
4891;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2014;0
4892;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2015;0
4893;Total financing of residents;FS.5.1 Voluntary prepayment from ind...;Other goods and services;2016;0
