ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
4397;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2020 1st quarter;40.0;
4398;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2020 2nd quarter;44.0;
4399;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2020 3rd quarter;39.0;
4400;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2020 4th quarter;36.0;
4401;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2020;36.0;
4402;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2021 1st quarter;38.0;
4403;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2021 2nd quarter;30.0;
4404;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2021 3rd quarter;53.0;
4405;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2021 4th quarter;41.0;
4406;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2021;41.0;
4407;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2022 1st quarter;37.0;
4408;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2022 2nd quarter;20.0;
4409;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2022 3rd quarter;17.0;
4410;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2022 4th quarter;6.0;
4411;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2022;6.0;
4412;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2023 1st quarter;17.0;
4413;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2023 2nd quarter;34.0;
4414;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2023 3rd quarter;34.0;
4415;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2023 4th quarter;31.0;
4416;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2023;31.0;
4417;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2024 1st quarter;33.0;
4418;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2024 2nd quarter;32.0;
4419;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2024 3rd quarter;28.0;
4420;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2024 4th quarter;25.0;
4421;General government;AF22 Transferable deposits;Households including NPISHs;Face value;2024;25.0;
4422;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1995;200.0;
4423;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1996;200.0;
4424;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1997;200.0;
4425;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1998;200.0;
4426;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1999 1st quarter;;
4427;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1999 2nd quarter;;
4428;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1999 3rd quarter;;
4429;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1999 4th quarter;200.0;
4430;General government;AF22 Transferable deposits;Households including NPISHs;Market value;1999;200.0;
4431;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2000 1st quarter;;
4432;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2000 2nd quarter;;
4433;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2000 3rd quarter;;
4434;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2000 4th quarter;200.0;
4435;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2000;200.0;
4436;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2001 1st quarter;;
4437;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2001 2nd quarter;;
4438;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2001 3rd quarter;;
4439;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2001 4th quarter;279.0;
4440;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2001;279.0;
4441;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2002 1st quarter;;
4442;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2002 2nd quarter;;
4443;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2002 3rd quarter;;
4444;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2002 4th quarter;132.0;
4445;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2002;132.0;
4446;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2003 1st quarter;;
4447;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2003 2nd quarter;;
4448;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2003 3rd quarter;;
4449;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2003 4th quarter;103.0;
4450;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2003;103.0;
4451;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2004 1st quarter;;
4452;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2004 2nd quarter;;
4453;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2004 3rd quarter;;
4454;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2004 4th quarter;72.0;
4455;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2004;72.0;
4456;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2005 1st quarter;;
4457;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2005 2nd quarter;;
4458;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2005 3rd quarter;;
4459;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2005 4th quarter;92.0;
4460;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2005;92.0;
4461;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2006 1st quarter;;
4462;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2006 2nd quarter;;
4463;General government;AF22 Transferable deposits;Households including NPISHs;Market value;2006 3rd quarter;;
