ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
1392;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2009;1111;1112;23.34;3557;3496;50530;42690;7840;1230;40.0;39.3;1798;1798
1393;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2010 before change of method;1133;1133;23.48;3570;3503;50650;42850;7810;1180;40.0;39.2;1790;1790
1394;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2010 after change of method;1131;1131;23.51;3576;3509;50890;42910;7970;1190;40.0;39.2;1791;1791
1395;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2011;1110;1110;23.94;3661;3598;52330;43930;8390;1150;39.9;39.1;1803;1803
1396;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2012;1103;1104;24.53;3734;3670;53070;44810;8260;1200;40.0;39.3;1796;1795
1397;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2013;1092;1092;24.82;3805;3730;54860;45660;9210;1170;40.4;39.6;1803;1803
1398;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2014;1079;1079;25.15;3871;3801;55330;46450;8880;1100;40.4;39.6;1814;1814
1399;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2015;1091;1091;25.91;3964;3891;56700;47570;9120;960;40.4;39.5;1802;1802
1400;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2016;1127;1127;25.73;3958;3883;56710;47490;9220;930;40.4;39.6;1810;1810
1401;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2017;1150;1150;25.67;3970;3887;56860;47640;9220;960;40.5;39.6;1817;1817
1402;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2018;1198;1198;26.08;4021;3936;57390;48250;9140;990;40.6;39.7;1811;1811
1403;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2019;1226;1226;26.55;4104;4022;58720;49250;9470;1020;40.5;39.7;1818;1818
1404;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2020;1211;1211;27.62;4244;4169;60420;50920;9500;1070;40.4;39.7;1811;1811
1405;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2021;1223;1223;28.01;4333;4254;62570;52000;10570;1070;40.4;39.6;1822;1822
1406;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2022;1257;1257;28.86;4462;4384;65010;53550;11470;1090;40.4;39.6;1823;1823
1407;Sex: Male;Type of employment contract: full-time;Cao-sector: private companies;100 or more employed persons;2023;1285;1285;30.74;4722;4644;68280;56660;11620;1170;40.3;39.6;1813;1813
1408;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2009;200;200;20.71;2926;2906;40040;35110;4930;180;37.0;36.8;1683;1683
1409;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2010 before change of method;200;200;21.46;3016;2997;41230;36190;5050;200;36.9;36.7;1676;1676
1410;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2010 after change of method;201;201;21.46;3017;2999;41270;36200;5070;200;36.9;36.8;1677;1677
1411;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2011;196;196;21.8;3092;3076;42490;37100;5380;210;37.0;36.8;1693;1693
1412;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2012;189;189;22.54;3174;3158;43550;38090;5460;210;37.0;36.8;1681;1681
1413;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2013;181;181;23.18;3256;3238;44990;39070;5910;200;37.1;36.9;1676;1676
1414;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2014;178;178;23.11;3262;3247;45020;39140;5880;190;37.1;36.9;1686;1686
1415;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2015;175;175;24.2;3409;3394;46740;40900;5840;180;37.2;37.0;1682;1682
1416;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2016;170;170;24.31;3448;3432;47680;41380;6300;180;37.3;37.1;1694;1694
1417;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2017;161;161;24.8;3535;3516;48780;42420;6370;210;37.4;37.3;1701;1701
1418;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2018;161;161;25.29;3596;3577;49560;43150;6400;230;37.5;37.3;1697;1697
1419;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2019;160;160;25.85;3696;3676;51040;44350;6690;260;37.6;37.4;1706;1706
1420;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2020;156;156;26.85;3834;3814;53150;46010;7140;280;37.6;37.5;1704;1704
1421;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2021;156;156;27.32;3933;3912;54590;47200;7390;290;37.7;37.5;1719;1719
1422;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2022;156;156;28.16;4063;4041;56600;48750;7850;320;37.8;37.6;1722;1722
1423;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2023;155;155;29.8;4285;4262;59420;51430;8000;370;37.8;37.6;1716;1716
1424;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2009;6;6;23.73;3452;3443;45460;41430;4030;1180;38.0;37.9;1741;1741
1425;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 before change of method;7;7;32.13;4702;4693;61120;56420;4710;1620;38.3;38.2;1753;1753
1426;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 after change of method;7;7;32.22;4718;4710;61320;56620;4710;1640;38.4;38.3;1754;1754
1427;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2011;7;7;33.81;5038;5030;65510;60450;5060;1710;38.7;38.6;1785;1785
1428;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2012;7;7;33.27;4936;4929;64080;59240;4840;1550;38.9;38.8;1778;1778
1429;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2013;6;6;34.17;5079;5071;67160;60950;6210;1560;39.1;39.0;1781;1781
1430;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2014;6;6;33.5;5024;5017;65550;60290;5270;1420;39.3;39.2;1797;1797
1431;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2015;8;8;43.23;6524;6520;82350;78290;4060;1290;39.6;39.6;1810;1810
1432;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2016;8;8;43.47;6610;6604;83120;79320;3800;1330;39.7;39.7;1823;1823
1433;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2017;8;8;42.89;6500;6492;82390;78000;4400;1350;39.7;39.6;1816;1816
1434;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2018;8;8;43.56;6591;6581;82860;79090;3770;1430;39.8;39.7;1813;1813
1435;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2019;9;9;43.97;6690;6678;84010;80280;3730;1600;39.9;39.7;1823;1823
1436;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2020;8;8;43.58;6629;6616;83380;79550;3830;1640;40.0;39.8;1822;1822
1437;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2021;9;9;43.0;6563;6553;82760;78750;4010;1620;39.8;39.7;1829;1829
1438;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2022;9;9;43.12;6566;6558;82920;78790;4140;1720;39.7;39.6;1825;1825
1439;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2023;9;9;45.41;6886;6877;87300;82630;4670;1880;39.7;39.6;1817;1817
1440;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2009;16;16;21.84;3121;3098;42780;37450;5330;530;37.4;37.2;1702;1702
1441;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 before change of method;15;15;23.18;3303;3284;45270;39630;5640;540;37.5;37.2;1700;1700
1442;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 after change of method;15;15;23.18;3306;3288;45360;39670;5690;550;37.5;37.3;1702;1702
1443;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2011;15;15;23.24;3364;3345;46300;40370;5920;550;37.8;37.5;1727;1727
1444;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2012;15;15;23.95;3463;3442;47400;41560;5840;560;38.0;37.8;1724;1723
1445;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2013;13;13;24.51;3559;3534;49090;42710;6380;550;38.3;38.0;1730;1730
1446;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2014;14;14;23.76;3487;3467;48120;41850;6270;490;38.5;38.3;1751;1751
1447;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2015;14;14;24.13;3518;3497;48390;42210;6180;450;38.4;38.2;1739;1739
1448;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2016;15;15;23.69;3483;3458;48140;41800;6340;430;38.6;38.3;1752;1752
1449;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2017;15;15;24.11;3584;3557;49950;43000;6950;530;38.9;38.6;1770;1770
1450;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2018;15;15;24.85;3689;3661;50800;44260;6530;590;39.0;38.7;1768;1768
1451;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2019;16;16;25.52;3797;3771;52580;45570;7010;690;39.0;38.7;1773;1773
1452;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2020;16;16;26.16;3876;3850;53580;46510;7060;700;39.0;38.7;1766;1766
1453;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2021;16;16;26.85;4013;3992;55720;48160;7560;750;39.0;38.8;1784;1784
1454;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2022;17;17;27.62;4121;4098;57310;49450;7850;760;39.0;38.7;1781;1781
1455;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2023;17;17;29.4;4356;4330;60160;52270;7880;850;38.9;38.7;1767;1767
1456;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2009;178;178;20.5;2889;2869;39600;34670;4930;120;36.9;36.7;1679;1679
1457;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2010 before change of method;178;178;20.85;2922;2903;40070;35060;5010;110;36.8;36.6;1671;1671
1458;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2010 after change of method;178;178;20.84;2922;2903;40090;35060;5030;110;36.8;36.7;1671;1671
1459;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2011;173;173;21.15;2988;2972;41210;35860;5350;110;36.8;36.7;1686;1686
1460;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2012;168;168;21.94;3075;3059;42360;36910;5450;120;36.8;36.7;1673;1673
1461;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2013;161;161;22.61;3160;3143;43780;37920;5860;120;36.9;36.7;1668;1668
1462;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2014;157;157;22.6;3171;3156;43920;38050;5870;110;36.9;36.7;1676;1676
1463;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2015;153;153;23.16;3239;3224;44770;38870;5900;100;36.9;36.8;1671;1671
1464;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2016;148;148;23.27;3277;3261;45760;39320;6430;100;37.0;36.9;1681;1681
1465;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2017;138;138;23.72;3353;3335;46660;40240;6420;100;37.1;37.0;1687;1687
1466;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2018;137;137;24.14;3403;3384;47390;40840;6550;120;37.2;37.0;1682;1682
1467;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2019;135;135;24.66;3495;3475;48780;41940;6840;130;37.3;37.1;1691;1691
1468;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2020;132;132;25.79;3651;3630;51160;43810;7360;140;37.3;37.1;1689;1689
1469;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2021;131;131;26.26;3748;3727;52570;44980;7590;150;37.4;37.2;1703;1703
1470;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2022;129;129;27.11;3879;3856;54660;46540;8110;170;37.5;37.3;1707;1707
1471;Sex: Male;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2023;129;129;28.72;4098;4074;57410;49170;8240;200;37.5;37.3;1702;1702
1472;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2009;398;398;24.8;3511;3487;49360;42140;7230;40;37.1;36.9;1687;1687
1473;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2010 before change of method;396;396;25.1;3536;3513;50090;42430;7650;40;37.0;36.8;1679;1679
1474;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2010 after change of method;402;402;25.04;3531;3508;50010;42370;7630;40;37.1;36.8;1681;1681
1475;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2011;382;382;24.95;3544;3527;50130;42530;7600;40;37.0;36.8;1696;1696
1476;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2012;371;371;25.57;3604;3586;51150;43250;7900;40;37.1;36.9;1683;1683
1477;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2013;366;366;25.67;3603;3583;51430;43240;8200;30;37.1;36.9;1675;1675
1478;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2014;367;367;25.71;3618;3603;51380;43420;7960;30;37.0;36.9;1681;1681
1479;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2015;360;360;26.62;3724;3709;52830;44690;8150;20;37.1;36.9;1672;1672
1480;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2016;355;355;27.24;3840;3827;54520;46080;8440;20;37.2;37.1;1686;1686
1481;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2017;338;338;26.85;3885;3870;55380;46620;8750;20;37.7;37.6;1730;1730
1482;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2018;332;332;27.67;3987;3972;56370;47840;8520;20;37.7;37.6;1722;1722
1483;Sex: Male;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2019;332;332;27.96;4067;4052;58080;48810;9270;20;37.8;37.7;1739;1739
