ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
3971;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;7;2012;;;;;;;;
3972;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2001;59.0;47.0;46.0;2.0;12.0;80.1;77.5;3.2
3973;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2002;57.0;48.0;47.0;2.0;9.0;83.6;80.9;3.2
3974;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2003;67.0;54.0;51.0;3.0;12.0;81.9;77.0;5.9
3975;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2004;52.0;41.0;38.0;3.0;11.0;78.6;72.9;7.3
3976;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2005;44.0;36.0;33.0;3.0;8.0;82.2;75.6;8.1
3977;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2006;46.0;38.0;35.0;3.0;9.0;81.2;74.6;8.2
3978;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2007;46.0;37.0;36.0;;9.0;80.6;77.7;
3979;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2008;57.0;46.0;44.0;3.0;10.0;81.8;77.2;5.7
3980;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2009;64.0;52.0;47.0;5.0;12.0;81.5;73.0;10.4
3981;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2010;62.0;48.0;44.0;4.0;14.0;78.0;70.9;9.1
3982;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2011;65.0;51.0;46.0;5.0;15.0;77.4;70.5;9.0
3983;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;8;2012;;;;;;;;
3984;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2001;;;;;;;;
3985;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2002;;;;;;;;
3986;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2003;;;;;;;;
3987;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2004;;;;;;;;
3988;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2005;;;;;;;;
3989;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2006;;;;;;;;
3990;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2007;;;;;;;;
3991;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2008;;;;;;;;
3992;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2009;;;;;;;;
3993;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2010;;;;;;;;
3994;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2011;;;;;;;;
3995;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;9;2012;;;;;;;;
3996;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2001;48.0;30.0;27.0;2.0;19.0;61.3;56.8;7.4
3997;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2002;60.0;40.0;38.0;3.0;19.0;67.5;63.1;6.6
3998;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2003;51.0;35.0;33.0;2.0;16.0;68.7;63.9;7.0
3999;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2004;41.0;29.0;26.0;2.0;12.0;69.9;64.1;8.3
4000;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2005;46.0;30.0;26.0;4.0;16.0;65.9;57.0;13.5
4001;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2006;52.0;37.0;33.0;4.0;15.0;71.4;64.5;9.7
4002;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2007;56.0;40.0;38.0;2.0;16.0;71.3;67.9;4.7
4003;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2008;70.0;50.0;47.0;2.0;21.0;70.5;67.5;4.3
4004;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2009;81.0;57.0;53.0;4.0;24.0;70.1;65.3;6.9
4005;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2010;80.0;53.0;48.0;5.0;27.0;66.6;60.6;9.0
4006;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2011;69.0;48.0;43.0;4.0;22.0;69.0;62.6;9.3
4007;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Health and welfare;2012;;;;;;;;
4008;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2001;19.0;15.0;15.0;;3.0;82.2;79.1;
4009;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2002;18.0;16.0;15.0;;2.0;86.5;80.9;
4010;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2003;17.0;14.0;13.0;;3.0;83.4;77.3;
4011;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2004;;;;;;;;
4012;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2005;;;;;;;;
4013;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2006;15.0;12.0;11.0;;3.0;78.1;70.7;
4014;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2007;;;;;;;;
4015;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2008;17.0;14.0;13.0;;3.0;80.5;74.1;
4016;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2009;17.0;13.0;12.0;;4.0;79.2;73.4;
4017;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2010;15.0;12.0;10.0;;4.0;76.3;67.5;
4018;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2011;16.0;12.0;11.0;;4.0;77.4;68.9;
4019;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Personal, transport services, logistics;2012;;;;;;;;
4020;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2001;;;;;;;;
4021;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2002;;;;;;;;
4022;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2003;;;;;;;;
4023;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2004;92.0;57.0;49.0;8.0;35.0;62.2;53.0;14.8
4024;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2005;140.0;94.0;81.0;12.0;46.0;66.8;58.1;13.1
4025;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2006;147.0;97.0;86.0;11.0;50.0;66.1;58.5;11.4
4026;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2007;151.0;101.0;90.0;11.0;50.0;66.9;59.7;10.8
4027;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2008;69.0;47.0;44.0;4.0;22.0;68.5;63.2;7.8
4028;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2009;22.0;15.0;13.0;2.0;8.0;65.8;56.8;13.8
4029;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2010;25.0;17.0;15.0;2.0;8.0;68.5;60.7;11.4
4030;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2011;22.0;15.0;13.0;;7.0;67.4;61.2;
4031;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 2 en 3;Unknown field of education;2012;;;;;;;;
4032;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2001;178.0;141.0;135.0;6.0;37.0;79.4;75.9;4.4
4033;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2002;180.0;142.0;136.0;7.0;38.0;79.1;75.4;4.7
4034;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2003;198.0;156.0;145.0;11.0;42.0;78.8;73.3;6.9
4035;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2004;227.0;178.0;162.0;16.0;49.0;78.3;71.3;8.9
4036;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2005;239.0;190.0;174.0;16.0;48.0;79.8;72.9;8.6
4037;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2006;237.0;192.0;177.0;15.0;45.0;80.9;74.7;7.7
4038;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2007;240.0;194.0;184.0;11.0;45.0;81.1;76.7;5.5
4039;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2008;242.0;200.0;190.0;10.0;43.0;82.4;78.4;4.8
4040;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2009;255.0;207.0;194.0;14.0;47.0;81.4;76.1;6.5
4041;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2010;267.0;211.0;194.0;18.0;56.0;79.1;72.6;8.3
4042;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2011;269.0;219.0;201.0;18.0;51.0;81.2;74.6;8.1
4043;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;1;2012;277.0;227.0;201.0;27.0;50.0;81.9;72.3;11.7
4044;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2001;;;;;;;;
4045;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2002;;;;;;;;
4046;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2003;;;;;;;;
4047;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2004;;;;;;;;
4048;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2005;;;;;;;;
4049;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2006;;;;;;;;
4050;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2007;;;;;;;;
4051;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2008;;;;;;;;
4052;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2009;;;;;;;;
4053;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2010;;;;;;;;
4054;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2011;;;;;;;;
4055;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;2;2012;;;;;;;;
4056;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2001;;;;;;;;
4057;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2002;;;;;;;;
4058;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2003;;;;;;;;
4059;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2004;;;;;;;;
4060;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2005;;;;;;;;
4061;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2006;;;;;;;;
4062;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2007;;;;;;;;
4063;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2008;;;;;;;;
4064;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2009;;;;;;;;
4065;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2010;;;;;;;;
4066;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2011;;;;;;;;
4067;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;3;2012;;;;;;;;
4068;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2001;;;;;;;;
4069;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2002;;;;;;;;
4070;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2003;;;;;;;;
4071;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2004;;;;;;;;
4072;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2005;;;;;;;;
4073;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2006;;;;;;;;
4074;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2007;;;;;;;;
4075;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2008;;;;;;;;
4076;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2009;;;;;;;;
4077;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2010;;;;;;;;
4078;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2011;;;;;;;;
4079;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;4;2012;;;;;;;;
4080;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2001;65.0;54.0;52.0;2.0;11.0;83.1;80.1;3.6
4081;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2002;62.0;50.0;48.0;3.0;11.0;81.7;77.1;5.6
4082;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2003;66.0;54.0;50.0;3.0;12.0;81.7;76.6;6.2
4083;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2004;74.0;59.0;53.0;5.0;15.0;79.5;72.4;8.9
4084;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2005;77.0;63.0;56.0;7.0;14.0;82.0;72.9;11.2
4085;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2006;70.0;58.0;52.0;6.0;12.0;83.2;75.3;9.5
4086;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2007;79.0;66.0;62.0;4.0;13.0;83.2;78.0;6.3
4087;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2008;80.0;68.0;64.0;4.0;12.0;85.2;80.4;5.7
4088;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2009;89.0;74.0;69.0;6.0;15.0;83.2;77.0;7.4
4089;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2010;92.0;75.0;67.0;7.0;18.0;80.9;73.0;9.7
4090;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2011;91.0;74.0;66.0;8.0;17.0;81.2;72.5;10.7
4091;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;5;2012;;;;;;;;
4092;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2001;;;;;;;;
4093;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2002;;;;;;;;
4094;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2003;;;;;;;;
4095;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2004;;;;;;;;
4096;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2005;;;;;;;;
4097;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2006;;;;;;;;
4098;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2007;;;;;;;;
4099;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2008;;;;;;;;
4100;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2009;;;;;;;;
4101;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2010;;;;;;;;
4102;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2011;;;;;;;;
4103;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;6;2012;;;;;;;;
4104;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2001;;;;;;;;
4105;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2002;;;;;;;;
4106;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2003;;;;;;;;
4107;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2004;;;;;;;;
4108;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2005;;;;;;;;
4109;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2006;;;;;;;;
4110;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2007;;;;;;;;
4111;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2008;;;;;;;;
4112;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2009;;;;;;;;
4113;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2010;;;;;;;;
4114;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2011;;;;;;;;
4115;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;7;2012;;;;;;;;
4116;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2001;48.0;39.0;37.0;2.0;9.0;81.4;77.5;4.7
4117;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2002;48.0;39.0;38.0;2.0;9.0;81.3;77.9;4.3
4118;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2003;51.0;40.0;37.0;3.0;11.0;79.1;73.4;7.2
4119;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2004;58.0;47.0;42.0;5.0;11.0;81.5;73.4;10.0
4120;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2005;59.0;48.0;46.0;3.0;10.0;82.5;77.7;5.9
4121;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2006;58.0;48.0;46.0;3.0;9.0;83.6;79.0;5.5
4122;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2007;56.0;47.0;46.0;2.0;9.0;84.6;81.5;3.6
4123;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2008;64.0;55.0;53.0;2.0;9.0;86.3;82.5;4.4
4124;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2009;61.0;51.0;48.0;3.0;10.0;84.1;78.6;6.6
4125;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2010;58.0;46.0;43.0;3.0;11.0;80.6;74.7;7.3
4126;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2011;64.0;55.0;51.0;4.0;9.0;85.2;79.1;7.2
4127;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;8;2012;;;;;;;;
4128;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2001;;;;;;;;
4129;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2002;;;;;;;;
4130;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2003;;;;;;;;
4131;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2004;;;;;;;;
4132;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2005;;;;;;;;
4133;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2006;;;;;;;;
4134;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2007;;;;;;;;
4135;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2008;;;;;;;;
4136;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2009;;;;;;;;
4137;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2010;;;;;;;;
4138;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2011;;;;;;;;
4139;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;9;2012;;;;;;;;
4140;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2001;38.0;27.0;26.0;;11.0;70.7;67.9;
4141;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2002;42.0;31.0;30.0;;11.0;73.8;70.7;
4142;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2003;50.0;38.0;35.0;3.0;13.0;75.0;69.0;7.9
4143;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2004;54.0;40.0;37.0;3.0;14.0;73.7;68.5;7.0
4144;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2005;51.0;38.0;36.0;2.0;13.0;74.9;70.2;6.2
4145;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2006;53.0;41.0;38.0;3.0;12.0;76.9;71.6;6.9
4146;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2007;48.0;38.0;36.0;2.0;10.0;78.4;74.4;5.1
4147;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2008;50.0;39.0;37.0;2.0;11.0;78.4;75.1;4.2
4148;Total men and women;Total aged 15 to 65 years;Foreign background;Mbo 4;Health and welfare;2009;53.0;40.0;39.0;2.0;13.0;76.2;73.1;4.2
