ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
2384;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2007;0.0
2385;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2008;0.0
2386;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2009;0.0
2387;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2010;0.0
2388;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2011;0.0
2389;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2012;0.0
2390;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2013;0.0
2391;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2014;0.0
2392;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2015;0.0
2393;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2016;0.0
2394;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2017;0.0
2395;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2018;0.0
2396;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2019;0.0
2397;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2020;0.0
2398;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2021;0.0
2399;HCR1: Long-term care (social);HF21: Voluntary health insurance schemes;2022;0.0
2400;HCR1: Long-term care (social);HF22: Financing schemes NPISH;1998;0.0
2401;HCR1: Long-term care (social);HF22: Financing schemes NPISH;1999;0.0
2402;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2000;0.0
2403;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2001;0.0
2404;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2002;0.0
2405;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2003;0.0
2406;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2004;0.0
2407;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2005;0.0
2408;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2006;0.0
2409;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2007;0.0
2410;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2008;0.0
2411;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2009;0.0
2412;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2010;0.0
2413;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2011;0.0
2414;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2012;0.0
2415;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2013;0.0
2416;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2014;0.0
2417;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2015;0.0
2418;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2016;0.0
2419;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2017;0.0
2420;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2018;0.0
2421;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2019;0.0
2422;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2020;0.0
2423;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2021;0.0
2424;HCR1: Long-term care (social);HF22: Financing schemes NPISH;2022;0.0
2425;HCR1: Long-term care (social);HF23: Enterprise financing schemes;1998;0.0
2426;HCR1: Long-term care (social);HF23: Enterprise financing schemes;1999;0.0
2427;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2000;0.0
2428;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2001;0.0
2429;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2002;0.0
2430;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2003;0.0
2431;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2004;0.0
2432;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2005;0.0
2433;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2006;0.0
2434;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2007;0.0
2435;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2008;0.0
2436;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2009;0.0
2437;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2010;0.0
2438;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2011;0.0
2439;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2012;0.0
2440;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2013;0.0
2441;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2014;0.0
2442;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2015;0.0
2443;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2016;0.0
2444;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2017;0.0
2445;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2018;0.0
2446;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2019;0.0
2447;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2020;0.0
2448;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2021;0.0
2449;HCR1: Long-term care (social);HF23: Enterprise financing schemes;2022;0.0
2450;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;1998;269.0
2451;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;1999;277.0
2452;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2000;277.0
2453;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2001;274.0
2454;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2002;282.0
2455;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2003;290.0
2456;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2004;343.0
2457;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2005;364.0
2458;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2006;254.0
2459;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2007;377.0
2460;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2008;387.0
2461;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2009;422.0
2462;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2010;502.0
2463;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2011;566.0
2464;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2012;573.0
2465;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2013;605.0
2466;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2014;615.0
2467;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2015;681.0
2468;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2016;622.0
2469;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2017;559.0
2470;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2018;555.0
2471;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2019;508.0
2472;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2020;554.0
2473;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2021;546.0
2474;HCR1: Long-term care (social);HF3: Household out-of-pocket payments;2022;569.0
2475;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;1998;0.0
2476;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;1999;0.0
2477;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2000;0.0
2478;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2001;0.0
2479;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2002;0.0
2480;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2003;0.0
2481;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2004;0.0
2482;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2005;0.0
2483;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2006;0.0
2484;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2007;0.0
2485;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2008;0.0
2486;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2009;0.0
2487;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2010;0.0
2488;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2011;0.0
2489;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2012;0.0
2490;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2013;0.0
2491;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2014;0.0
2492;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2015;0.0
2493;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2016;0.0
2494;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2017;0.0
2495;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2018;0.0
2496;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2019;0.0
2497;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2020;0.0
2498;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2021;0.0
2499;HCR1: Long-term care (social);HF31: Out-of-pocket excl cost sharing;2022;0.0
2500;HCR1: Long-term care (social);HF32: Cost sharing;1998;269.0
2501;HCR1: Long-term care (social);HF32: Cost sharing;1999;277.0
2502;HCR1: Long-term care (social);HF32: Cost sharing;2000;277.0
2503;HCR1: Long-term care (social);HF32: Cost sharing;2001;274.0
2504;HCR1: Long-term care (social);HF32: Cost sharing;2002;282.0
2505;HCR1: Long-term care (social);HF32: Cost sharing;2003;290.0
2506;HCR1: Long-term care (social);HF32: Cost sharing;2004;343.0
2507;HCR1: Long-term care (social);HF32: Cost sharing;2005;364.0
2508;HCR1: Long-term care (social);HF32: Cost sharing;2006;254.0
2509;HCR1: Long-term care (social);HF32: Cost sharing;2007;377.0
2510;HCR1: Long-term care (social);HF32: Cost sharing;2008;387.0
2511;HCR1: Long-term care (social);HF32: Cost sharing;2009;422.0
2512;HCR1: Long-term care (social);HF32: Cost sharing;2010;502.0
2513;HCR1: Long-term care (social);HF32: Cost sharing;2011;566.0
2514;HCR1: Long-term care (social);HF32: Cost sharing;2012;573.0
2515;HCR1: Long-term care (social);HF32: Cost sharing;2013;605.0
2516;HCR1: Long-term care (social);HF32: Cost sharing;2014;615.0
2517;HCR1: Long-term care (social);HF32: Cost sharing;2015;681.0
2518;HCR1: Long-term care (social);HF32: Cost sharing;2016;622.0
2519;HCR1: Long-term care (social);HF32: Cost sharing;2017;559.0
2520;HCR1: Long-term care (social);HF32: Cost sharing;2018;555.0
2521;HCR1: Long-term care (social);HF32: Cost sharing;2019;508.0
2522;HCR1: Long-term care (social);HF32: Cost sharing;2020;554.0
2523;HCR1: Long-term care (social);HF32: Cost sharing;2021;546.0
2524;HCR1: Long-term care (social);HF32: Cost sharing;2022;569.0
2525;HCR1: Long-term care (social);"Rest of the world; exports";1998;0.0
2526;HCR1: Long-term care (social);"Rest of the world; exports";1999;0.0
2527;HCR1: Long-term care (social);"Rest of the world; exports";2000;0.0
2528;HCR1: Long-term care (social);"Rest of the world; exports";2001;0.0
2529;HCR1: Long-term care (social);"Rest of the world; exports";2002;0.0
2530;HCR1: Long-term care (social);"Rest of the world; exports";2003;0.0
2531;HCR1: Long-term care (social);"Rest of the world; exports";2004;0.0
2532;HCR1: Long-term care (social);"Rest of the world; exports";2005;0.0
2533;HCR1: Long-term care (social);"Rest of the world; exports";2006;0.0
2534;HCR1: Long-term care (social);"Rest of the world; exports";2007;0.0
2535;HCR1: Long-term care (social);"Rest of the world; exports";2008;0.0
2536;HCR1: Long-term care (social);"Rest of the world; exports";2009;0.0
2537;HCR1: Long-term care (social);"Rest of the world; exports";2010;0.0
2538;HCR1: Long-term care (social);"Rest of the world; exports";2011;0.0
2539;HCR1: Long-term care (social);"Rest of the world; exports";2012;0.0
2540;HCR1: Long-term care (social);"Rest of the world; exports";2013;0.0
2541;HCR1: Long-term care (social);"Rest of the world; exports";2014;0.0
2542;HCR1: Long-term care (social);"Rest of the world; exports";2015;0.0
2543;HCR1: Long-term care (social);"Rest of the world; exports";2016;0.0
2544;HCR1: Long-term care (social);"Rest of the world; exports";2017;0.0
2545;HCR1: Long-term care (social);"Rest of the world; exports";2018;0.0
2546;HCR1: Long-term care (social);"Rest of the world; exports";2019;0.0
2547;HCR1: Long-term care (social);"Rest of the world; exports";2020;0.0
2548;HCR1: Long-term care (social);"Rest of the world; exports";2021;0.0
2549;HCR1: Long-term care (social);"Rest of the world; exports";2022;0.0
2550;HCR11:In-kind long-term social care;Total financ schemes health,social care;1998;3034.0
2551;HCR11:In-kind long-term social care;Total financ schemes health,social care;1999;3231.0
2552;HCR11:In-kind long-term social care;Total financ schemes health,social care;2000;3486.0
2553;HCR11:In-kind long-term social care;Total financ schemes health,social care;2001;3856.0
2554;HCR11:In-kind long-term social care;Total financ schemes health,social care;2002;4296.0
2555;HCR11:In-kind long-term social care;Total financ schemes health,social care;2003;4688.0
2556;HCR11:In-kind long-term social care;Total financ schemes health,social care;2004;4909.0
2557;HCR11:In-kind long-term social care;Total financ schemes health,social care;2005;5221.0
2558;HCR11:In-kind long-term social care;Total financ schemes health,social care;2006;5116.0
2559;HCR11:In-kind long-term social care;Total financ schemes health,social care;2007;5089.0
2560;HCR11:In-kind long-term social care;Total financ schemes health,social care;2008;4686.0
2561;HCR11:In-kind long-term social care;Total financ schemes health,social care;2009;5377.0
2562;HCR11:In-kind long-term social care;Total financ schemes health,social care;2010;5684.0
2563;HCR11:In-kind long-term social care;Total financ schemes health,social care;2011;5938.0
2564;HCR11:In-kind long-term social care;Total financ schemes health,social care;2012;6281.0
2565;HCR11:In-kind long-term social care;Total financ schemes health,social care;2013;5931.0
2566;HCR11:In-kind long-term social care;Total financ schemes health,social care;2014;5934.0
