ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
4347;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2021;7744.0
4348;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2022;1602.0
4349;Total government expenditure;4.1 General economic, commercial and l..;Social security funds;2023;587.0
4350;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;1995;970.0
4351;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;1996;1020.0
4352;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;1997;1779.0
4353;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;1998;1502.0
4354;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;1999;1301.0
4355;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2000;1445.0
4356;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2001;1512.0
4357;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2002;1392.0
4358;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2003;1627.0
4359;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2004;1247.0
4360;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2005;1125.0
4361;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2006;1275.0
4362;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2007;1146.0
4363;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2008;1212.0
4364;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2009;1321.0
4365;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2010;1480.0
4366;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2011;1301.0
4367;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2012;1146.0
4368;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2013;1137.0
4369;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2014;1116.0
4370;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2015;972.0
4371;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2016;852.0
4372;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2017;926.0
4373;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2018;932.0
4374;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2019;1024.0
4375;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2020;1421.0
4376;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2021;1493.0
4377;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2022;1544.0
4378;Total government expenditure;4.2 Agriculture, forestry, fishing and..;General government;2023;1674.0
4379;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;1995;982.0
4380;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;1996;1035.0
4381;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;1997;1780.0
4382;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;1998;1485.0
4383;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;1999;1271.0
4384;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2000;1422.0
4385;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2001;1576.0
4386;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2002;1353.0
4387;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2003;1564.0
4388;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2004;1199.0
4389;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2005;1073.0
4390;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2006;1236.0
4391;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2007;1186.0
4392;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2008;1243.0
4393;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2009;1249.0
4394;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2010;1288.0
4395;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2011;1330.0
4396;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2012;1250.0
4397;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2013;1312.0
4398;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2014;1130.0
4399;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2015;1033.0
4400;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2016;1092.0
4401;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2017;837.0
4402;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2018;865.0
4403;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2019;951.0
4404;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2020;1338.0
4405;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2021;1487.0
4406;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2022;1741.0
4407;Total government expenditure;4.2 Agriculture, forestry, fishing and..;Central government;2023;1827.0
4408;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;1995;591.0
4409;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;1996;664.0
4410;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;1997;1377.0
4411;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;1998;1192.0
4412;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;1999;1034.0
4413;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;2000;1264.0
4414;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;2001;1361.0
4415;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;2002;1179.0
4416;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;2003;1344.0
4417;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;2004;1004.0
4418;Total government expenditure;4.2 Agriculture, forestry, fishing and..;The State;2005;871.0
