ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
5961;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2009;155.0
5962;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2010;158.0
5963;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2011;163.0
5964;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2012;166.0
5965;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2013;165.0
5966;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2014;167.0
5967;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Male;2015;
5968;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2008;38.0
5969;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2009;38.0
5970;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2010;40.0
5971;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2011;41.0
5972;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2012;43.0
5973;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2013;44.0
5974;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2014;46.0
5975;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Sex: Female;2015;
5976;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2008;59.0
5977;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2009;55.0
5978;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2010;55.0
5979;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2011;55.0
5980;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2012;57.0
5981;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2013;57.0
5982;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2014;57.0
5983;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 15 to 34 years;2015;
5984;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2008;114.0
5985;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2009;115.0
5986;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2010;118.0
5987;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2011;121.0
5988;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2012;123.0
5989;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2013;121.0
5990;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2014;123.0
5991;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 35 to 54 years;2015;
5992;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2008;24.0
5993;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2009;24.0
5994;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2010;25.0
5995;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2011;28.0
5996;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2012;29.0
5997;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2013;30.0
5998;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2014;33.0
5999;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Age: 55 years or older;2015;
6000;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2008;8.0
6001;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2009;8.0
6002;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2010;8.0
6003;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2011;9.0
6004;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2012;9.0
6005;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2013;10.0
6006;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2014;10.0
6007;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: low (among lowest 30 percent);2015;
6008;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2008;68.0
6009;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2009;68.0
6010;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2010;68.0
6011;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2011;71.0
6012;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2012;70.0
6013;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2013;70.0
6014;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2014;71.0
6015;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: middle;2015;
6016;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2008;121.0
6017;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2009;118.0
6018;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2010;121.0
6019;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2011;124.0
6020;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2012;129.0
6021;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2013;128.0
6022;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2014;132.0
6023;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Wage: high (among highest 20 percent);2015;
6024;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2008;188.0
6025;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2009;185.0
6026;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2010;188.0
6027;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2011;193.0
6028;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2012;198.0
6029;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2013;197.0
6030;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2014;201.0
6031;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Dutch;2015;
6032;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2008;
6033;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2009;
6034;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2010;
6035;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2011;
6036;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2012;
6037;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2013;
6038;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2014;
6039;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Belgian;2015;
6040;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2008;
6041;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2009;
6042;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2010;
6043;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2011;
6044;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2012;
6045;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2013;
6046;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2014;
6047;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: British;2015;
6048;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2008;2.0
6049;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2009;2.0
6050;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2010;2.0
6051;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2011;3.0
6052;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2012;3.0
6053;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2013;3.0
6054;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2014;2.0
6055;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: German;2015;
6056;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2008;
6057;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2009;
6058;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2010;
6059;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2011;
6060;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2012;1.0
6061;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2013;1.0
6062;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2014;1.0
6063;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Polish;2015;
6064;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2008;
6065;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2009;
6066;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2010;
6067;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2011;
6068;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2012;
6069;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2013;
6070;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2014;
6071;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: Indian;2015;
6072;Total domestic and foreign;B-F Manufacturing and energy;300 Higher education;Nationality: other;2008;4.0
