ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
4566;HC14: Services of curative home care;HF23: Enterprise financing schemes;2014;0.0
4567;HC14: Services of curative home care;HF23: Enterprise financing schemes;2015;0.0
4568;HC14: Services of curative home care;HF23: Enterprise financing schemes;2016;0.0
4569;HC14: Services of curative home care;HF23: Enterprise financing schemes;2017;0.0
4570;HC14: Services of curative home care;HF23: Enterprise financing schemes;2018;0.0
4571;HC14: Services of curative home care;HF23: Enterprise financing schemes;2019;0.0
4572;HC14: Services of curative home care;HF23: Enterprise financing schemes;2020;0.0
4573;HC14: Services of curative home care;HF23: Enterprise financing schemes;2021;0.0
4574;HC14: Services of curative home care;HF23: Enterprise financing schemes;2022;0.0
4575;HC14: Services of curative home care;HF3: Household out-of-pocket payments;1998;33.0
4576;HC14: Services of curative home care;HF3: Household out-of-pocket payments;1999;27.0
4577;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2000;28.0
4578;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2001;29.0
4579;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2002;36.0
4580;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2003;44.0
4581;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2004;44.0
4582;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2005;51.0
4583;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2006;39.0
4584;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2007;37.0
4585;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2008;33.0
4586;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2009;40.0
4587;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2010;41.0
4588;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2011;41.0
4589;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2012;41.0
4590;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2013;39.0
4591;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2014;41.0
4592;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2015;32.0
4593;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2016;29.0
4594;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2017;26.0
4595;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2018;26.0
4596;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2019;26.0
4597;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2020;26.0
4598;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2021;27.0
4599;HC14: Services of curative home care;HF3: Household out-of-pocket payments;2022;26.0
4600;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;1998;33.0
4601;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;1999;27.0
4602;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2000;28.0
4603;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2001;29.0
4604;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2002;36.0
4605;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2003;44.0
4606;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2004;44.0
4607;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2005;51.0
4608;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2006;39.0
4609;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2007;37.0
4610;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2008;33.0
4611;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2009;40.0
4612;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2010;41.0
4613;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2011;41.0
4614;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2012;41.0
4615;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2013;39.0
4616;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2014;41.0
4617;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2015;32.0
4618;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2016;29.0
4619;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2017;26.0
4620;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2018;26.0
4621;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2019;26.0
4622;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2020;26.0
4623;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2021;27.0
4624;HC14: Services of curative home care;HF31: Out-of-pocket excl cost sharing;2022;26.0
4625;HC14: Services of curative home care;HF32: Cost sharing;1998;0.0
4626;HC14: Services of curative home care;HF32: Cost sharing;1999;0.0
4627;HC14: Services of curative home care;HF32: Cost sharing;2000;0.0
4628;HC14: Services of curative home care;HF32: Cost sharing;2001;0.0
4629;HC14: Services of curative home care;HF32: Cost sharing;2002;0.0
4630;HC14: Services of curative home care;HF32: Cost sharing;2003;0.0
4631;HC14: Services of curative home care;HF32: Cost sharing;2004;0.0
4632;HC14: Services of curative home care;HF32: Cost sharing;2005;0.0
4633;HC14: Services of curative home care;HF32: Cost sharing;2006;0.0
4634;HC14: Services of curative home care;HF32: Cost sharing;2007;0.0
4635;HC14: Services of curative home care;HF32: Cost sharing;2008;0.0
4636;HC14: Services of curative home care;HF32: Cost sharing;2009;0.0
4637;HC14: Services of curative home care;HF32: Cost sharing;2010;0.0
4638;HC14: Services of curative home care;HF32: Cost sharing;2011;0.0
4639;HC14: Services of curative home care;HF32: Cost sharing;2012;0.0
4640;HC14: Services of curative home care;HF32: Cost sharing;2013;0.0
4641;HC14: Services of curative home care;HF32: Cost sharing;2014;0.0
4642;HC14: Services of curative home care;HF32: Cost sharing;2015;0.0
4643;HC14: Services of curative home care;HF32: Cost sharing;2016;0.0
4644;HC14: Services of curative home care;HF32: Cost sharing;2017;0.0
4645;HC14: Services of curative home care;HF32: Cost sharing;2018;0.0
4646;HC14: Services of curative home care;HF32: Cost sharing;2019;0.0
4647;HC14: Services of curative home care;HF32: Cost sharing;2020;0.0
4648;HC14: Services of curative home care;HF32: Cost sharing;2021;0.0
4649;HC14: Services of curative home care;HF32: Cost sharing;2022;0.0
4650;HC14: Services of curative home care;"Rest of the world; exports";1998;0.0
4651;HC14: Services of curative home care;"Rest of the world; exports";1999;0.0
4652;HC14: Services of curative home care;"Rest of the world; exports";2000;0.0
4653;HC14: Services of curative home care;"Rest of the world; exports";2001;0.0
4654;HC14: Services of curative home care;"Rest of the world; exports";2002;0.0
4655;HC14: Services of curative home care;"Rest of the world; exports";2003;0.0
4656;HC14: Services of curative home care;"Rest of the world; exports";2004;0.0
4657;HC14: Services of curative home care;"Rest of the world; exports";2005;0.0
4658;HC14: Services of curative home care;"Rest of the world; exports";2006;0.0
4659;HC14: Services of curative home care;"Rest of the world; exports";2007;0.0
4660;HC14: Services of curative home care;"Rest of the world; exports";2008;0.0
4661;HC14: Services of curative home care;"Rest of the world; exports";2009;0.0
4662;HC14: Services of curative home care;"Rest of the world; exports";2010;0.0
4663;HC14: Services of curative home care;"Rest of the world; exports";2011;0.0
4664;HC14: Services of curative home care;"Rest of the world; exports";2012;0.0
4665;HC14: Services of curative home care;"Rest of the world; exports";2013;0.0
4666;HC14: Services of curative home care;"Rest of the world; exports";2014;0.0
4667;HC14: Services of curative home care;"Rest of the world; exports";2015;0.0
4668;HC14: Services of curative home care;"Rest of the world; exports";2016;0.0
4669;HC14: Services of curative home care;"Rest of the world; exports";2017;0.0
4670;HC14: Services of curative home care;"Rest of the world; exports";2018;0.0
4671;HC14: Services of curative home care;"Rest of the world; exports";2019;0.0
4672;HC14: Services of curative home care;"Rest of the world; exports";2020;0.0
4673;HC14: Services of curative home care;"Rest of the world; exports";2021;0.0
4674;HC14: Services of curative home care;"Rest of the world; exports";2022;0.0
4675;HC.2:Services of rehabilitative care;Total financ schemes health,social care;1998;1206.0
4676;HC.2:Services of rehabilitative care;Total financ schemes health,social care;1999;1318.0
4677;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2000;1382.0
4678;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2001;1528.0
4679;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2002;1673.0
4680;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2003;1803.0
4681;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2004;1832.0
4682;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2005;1909.0
4683;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2006;2067.0
4684;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2007;2224.0
4685;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2008;2169.0
4686;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2009;2287.0
4687;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2010;2384.0
4688;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2011;2522.0
4689;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2012;2542.0
4690;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2013;2626.0
4691;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2014;2762.0
4692;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2015;2969.0
4693;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2016;3170.0
4694;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2017;3181.0
4695;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2018;3303.0
4696;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2019;3337.0
4697;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2020;3285.0
4698;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2021;3566.0
4699;HC.2:Services of rehabilitative care;Total financ schemes health,social care;2022;3602.0
4700;HC.2:Services of rehabilitative care;Total financing of residents;1998;1206.0
4701;HC.2:Services of rehabilitative care;Total financing of residents;1999;1318.0
4702;HC.2:Services of rehabilitative care;Total financing of residents;2000;1382.0
4703;HC.2:Services of rehabilitative care;Total financing of residents;2001;1528.0
4704;HC.2:Services of rehabilitative care;Total financing of residents;2002;1673.0
4705;HC.2:Services of rehabilitative care;Total financing of residents;2003;1803.0
4706;HC.2:Services of rehabilitative care;Total financing of residents;2004;1832.0
4707;HC.2:Services of rehabilitative care;Total financing of residents;2005;1909.0
4708;HC.2:Services of rehabilitative care;Total financing of residents;2006;2067.0
4709;HC.2:Services of rehabilitative care;Total financing of residents;2007;2224.0
4710;HC.2:Services of rehabilitative care;Total financing of residents;2008;2169.0
4711;HC.2:Services of rehabilitative care;Total financing of residents;2009;2287.0
4712;HC.2:Services of rehabilitative care;Total financing of residents;2010;2384.0
4713;HC.2:Services of rehabilitative care;Total financing of residents;2011;2522.0
4714;HC.2:Services of rehabilitative care;Total financing of residents;2012;2542.0
4715;HC.2:Services of rehabilitative care;Total financing of residents;2013;2626.0
4716;HC.2:Services of rehabilitative care;Total financing of residents;2014;2762.0
