ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
4511;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2016 2nd quarter;10.4
4512;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2016 3rd quarter;10.3
4513;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2016 4th quarter;10.4
4514;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2016;10.3
4515;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2017 1st quarter;10.9
4516;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2017 2nd quarter;11.3
4517;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2017 3rd quarter;11.4
4518;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2017 4th quarter;11.4
4519;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;America;2017;11.2
4520;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2010 1st quarter;5.0
4521;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2010 2nd quarter;5.1
4522;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2010 3rd quarter;5.1
4523;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2010 4th quarter;5.1
4524;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2010;5.1
4525;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2011 1st quarter;5.3
4526;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2011 2nd quarter;5.4
4527;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2011 3rd quarter;5.5
4528;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2011 4th quarter;5.6
4529;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2011;5.4
4530;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2012 1st quarter;5.8
4531;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2012 2nd quarter;5.9
4532;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2012 3rd quarter;6.0
4533;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2012 4th quarter;5.9
4534;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2012;5.9
4535;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2013 1st quarter;6.6
4536;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2013 2nd quarter;6.5
4537;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2013 3rd quarter;6.5
4538;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2013 4th quarter;6.6
4539;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2013;6.6
4540;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2014 1st quarter;6.9
4541;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2014 2nd quarter;7.0
4542;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2014 3rd quarter;7.0
4543;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2014 4th quarter;7.1
4544;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2014;7.0
4545;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2015 1st quarter;7.7
4546;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2015 2nd quarter;7.8
4547;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2015 3rd quarter;7.6
4548;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2015 4th quarter;7.8
4549;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2015;7.8
4550;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2016 1st quarter;8.0
4551;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2016 2nd quarter;8.2
4552;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2016 3rd quarter;8.2
4553;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2016 4th quarter;8.5
4554;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2016;8.2
4555;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2017 1st quarter;8.8
4556;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2017 2nd quarter;9.1
4557;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2017 3rd quarter;9.3
4558;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2017 4th quarter;9.8
4559;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Asia;2017;9.3
4560;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2010 1st quarter;16.3
4561;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2010 2nd quarter;16.4
4562;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2010 3rd quarter;16.6
4563;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2010 4th quarter;16.7
4564;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2010;16.5
4565;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2011 1st quarter;17.2
4566;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2011 2nd quarter;17.2
4567;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2011 3rd quarter;17.8
4568;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2011 4th quarter;18.1
4569;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2011;17.6
4570;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2012 1st quarter;18.8
4571;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2012 2nd quarter;18.9
4572;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2012 3rd quarter;19.5
4573;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2012 4th quarter;19.0
4574;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2012;19.1
4575;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2013 1st quarter;20.3
4576;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2013 2nd quarter;20.4
4577;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2013 3rd quarter;20.1
4578;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2013 4th quarter;20.2
4579;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2013;20.3
4580;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2014 1st quarter;20.9
4581;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2014 2nd quarter;21.1
4582;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2014 3rd quarter;20.9
4583;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2014 4th quarter;21.1
4584;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2014;21.0
4585;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2015 1st quarter;22.7
4586;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2015 2nd quarter;22.7
4587;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2015 3rd quarter;22.4
4588;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2015 4th quarter;22.7
4589;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2015;22.6
4590;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2016 1st quarter;23.5
4591;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2016 2nd quarter;23.9
4592;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2016 3rd quarter;23.8
4593;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2016 4th quarter;24.3
4594;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2016;23.9
4595;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2017 1st quarter;25.6
4596;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2017 2nd quarter;26.3
4597;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2017 3rd quarter;26.9
4598;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2017 4th quarter;27.4
4599;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Europe (excluding Dutch background);2017;26.6
4600;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2010 1st quarter;1.7
4601;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2010 2nd quarter;1.7
4602;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2010 3rd quarter;1.7
4603;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2010 4th quarter;1.7
4604;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2010;1.7
4605;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2011 1st quarter;1.7
4606;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2011 2nd quarter;1.8
4607;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2011 3rd quarter;1.8
4608;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2011 4th quarter;1.9
4609;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2011;1.8
4610;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2012 1st quarter;1.9
4611;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2012 2nd quarter;1.9
4612;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2012 3rd quarter;2.0
4613;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2012 4th quarter;2.0
4614;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2012;2.0
4615;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2013 1st quarter;2.2
4616;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2013 2nd quarter;2.2
4617;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2013 3rd quarter;2.2
4618;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2013 4th quarter;2.2
4619;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2013;2.2
4620;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2014 1st quarter;2.4
4621;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2014 2nd quarter;2.4
4622;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2014 3rd quarter;2.4
4623;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2014 4th quarter;2.5
4624;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2014;2.4
4625;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2015 1st quarter;2.8
4626;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2015 2nd quarter;2.8
4627;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;GIPS countries (European Union);2015 3rd quarter;2.8
