ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
5924;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2017;1.7
5925;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2018 1st quarter;1.8
5926;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2018 2nd quarter;1.9
5927;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2018 3rd quarter;1.9
5928;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2018 4th quarter;2.1
5929;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2018;1.9
5930;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2019 1st quarter;2.2
5931;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2019 2nd quarter;2.2
5932;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2019 3rd quarter;2.3
5933;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2019 4th quarter;2.4
5934;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2019;2.3
5935;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2020 1st quarter;2.4
5936;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2020 2nd quarter;2.4
5937;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2020 3rd quarter;2.5
5938;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2020 4th quarter;2.5
5939;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Spain;2020;2.5
5940;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 1st quarter;3.0
5941;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 2nd quarter;2.9
5942;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 3rd quarter;2.9
5943;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010 4th quarter;2.9
5944;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2010;2.9
5945;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 1st quarter;3.0
5946;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 2nd quarter;3.0
5947;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 3rd quarter;3.0
5948;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011 4th quarter;3.1
5949;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2011;3.0
5950;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 1st quarter;3.1
5951;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 2nd quarter;3.1
5952;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 3rd quarter;3.1
5953;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012 4th quarter;3.0
5954;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2012;3.1
5955;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 1st quarter;3.0
5956;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 2nd quarter;3.0
5957;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 3rd quarter;3.0
5958;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013 4th quarter;3.0
5959;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2013;3.0
5960;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 1st quarter;2.9
5961;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 2nd quarter;2.9
5962;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 3rd quarter;2.9
5963;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014 4th quarter;2.9
5964;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2014;2.9
5965;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 1st quarter;3.0
5966;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 2nd quarter;3.0
5967;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 3rd quarter;2.9
5968;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015 4th quarter;3.0
5969;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2015;3.0
5970;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 1st quarter;3.0
5971;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 2nd quarter;3.0
5972;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 3rd quarter;3.0
5973;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016 4th quarter;3.1
5974;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2016;3.0
5975;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 1st quarter;3.1
5976;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 2nd quarter;3.2
5977;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 3rd quarter;3.2
5978;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017 4th quarter;3.3
5979;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2017;3.2
5980;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2018 1st quarter;3.4
5981;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2018 2nd quarter;3.5
5982;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2018 3rd quarter;3.5
5983;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2018 4th quarter;3.6
5984;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2018;3.5
5985;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2019 1st quarter;3.7
5986;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2019 2nd quarter;3.7
5987;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2019 3rd quarter;3.8
5988;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2019 4th quarter;3.8
5989;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2019;3.8
5990;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2020 1st quarter;3.8
5991;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2020 2nd quarter;3.8
5992;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2020 3rd quarter;3.8
5993;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2020 4th quarter;3.9
5994;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;United Kingdom;2020;3.8
5995;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 1st quarter;9.8
5996;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 2nd quarter;9.7
5997;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 3rd quarter;9.5
5998;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010 4th quarter;9.8
5999;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2010;9.7
6000;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 1st quarter;10.1
6001;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 2nd quarter;10.1
6002;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 3rd quarter;10.2
6003;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011 4th quarter;10.4
6004;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2011;10.2
6005;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 1st quarter;11.0
6006;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 2nd quarter;11.1
6007;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 3rd quarter;11.2
6008;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012 4th quarter;11.2
6009;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2012;11.1
6010;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 1st quarter;12.0
6011;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 2nd quarter;12.0
6012;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 3rd quarter;11.6
6013;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013 4th quarter;11.7
6014;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2013;11.8
6015;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 1st quarter;12.1
6016;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 2nd quarter;12.1
6017;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 3rd quarter;11.9
6018;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014 4th quarter;12.0
6019;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2014;12.0
6020;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 1st quarter;13.1
6021;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 2nd quarter;13.4
6022;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 3rd quarter;13.2
6023;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015 4th quarter;13.4
6024;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2015;13.3
6025;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 1st quarter;13.9
6026;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 2nd quarter;14.2
6027;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 3rd quarter;14.3
6028;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016 4th quarter;14.8
6029;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2016;14.3
6030;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 1st quarter;15.3
6031;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 2nd quarter;15.8
6032;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 3rd quarter;16.2
6033;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017 4th quarter;16.5
6034;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2017;15.9
6035;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2018 1st quarter;17.2
6036;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2018 2nd quarter;17.9
6037;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2018 3rd quarter;18.4
6038;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2018 4th quarter;18.9
6039;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2018;18.1
6040;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2019 1st quarter;19.6
6041;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2019 2nd quarter;20.2
6042;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2019 3rd quarter;20.5
6043;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2019 4th quarter;21.0
6044;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 20 to 24 euro;Other Europe (excl. Dutch background);2019;20.3
